G01T1/38	粒子弁別および相対質量の測定，例．距離に関するエネルギー損失の測定によるもの（ｄＥ／ｄＸ）　｛（そのための半導体検出器の構造的詳細　Ｈ０１Ｌ３１／００）｝
G01T1/40	スペクトロメータの安定化　｛（シンチレーション検出器に特に適合する回路　Ｇ０１Ｔ１／２０８）｝　
G01T3/00	中性子線の測定　（Ｇ０１Ｔ５／００　が優先；　｛そのための計数管　Ｈ０１Ｊ４７／１２；　そのような計数管をもつ回路　Ｇ０１Ｔ１／１８；　短い時間間隔を測定するもの　Ｇ０４Ｆ１０／００；　パルス特性を測定するもの　Ｇ０１Ｒ２９／０２；　中性子チョッパ　Ｇ２１Ｋ１／０４；　偏極計　Ｇ０１Ｔ１／３２）｝
G01T3/001	｛発光法　（Ｇ０１Ｔ１／３６Ｄ３(ＥＣＬＡ)，Ｇ０１Ｔ３／００　を除く　Ｇ０１Ｔ１／３６からＧ０１Ｔ１／３６８も暫定的に参照；　他のＧ０１Ｔ３／００のサブグループが優先）｝
G01T3/003	｛リコイルスペクトロメータ（軽核リコイル電離管それ自体　Ｈ０１Ｊ４７／１２７７）｝　
G01T3/005	｛飛行時間型分光器　（暫定的にＧ０１Ｔ３／００　も参照）｝
G01T3/006	｛自己出力検出器を使用するもの　（ＹまたはＸ線用だけでなく中性子線用の），　例．　コンプトン効果　（コンプトンダイオード）または光電子放射または（ｎ，Ｂ）核反応　（光起電半導体　Ｈ０１Ｌ３１／００；　フォトチューブ　Ｈ０１Ｊ４０／００；　熱電子発電機　Ｈ０１Ｊ４５／００；　原子力電池　Ｇ２１Ｈ１／００，　例．　Ｇ２１Ｈ１／０２，　Ｇ２１Ｈ１／０４）｝
G01T3/008	｛液体または固体，　例．　凍った液体，　誘電体　で満たされた電離箱を使用するもの　（Ｇ０１Ｔ３／００６　が優先）｝
G01T3/02	他の放射線の遮蔽によるもの
G01T3/04	熱量計を用いるもの
G01T3/06	シンチレーション検出器をもつもの
G01T3/065	｛発光法｝
G01T3/08	半導体検出器をもつもの　（半導体検出器それ自体　Ｈ０１Ｌ３１／００）
G01T3/085	｛発光法｝
G01T5/00	粒子の移動または飛跡の記録　（スパークチェンバー　Ｈ０１Ｊ４７／００）；　その飛跡の処理または解析
G01T5/002	｛飛跡記録装置のいろいろな動作の組合せを用いるもの　（記録チェンバーに関連しこれらのチェンバーのトリガーに役立つだけの検出器，　適切なチェンバーのグループ　例．　Ｇ０１Ｔ５／０４　から　Ｇ０１Ｔ５／０８　参照；　暫定的に　Ｇ０１Ｔ５／００　及び他のサブグループも参照）｝
G01T5/004	｛多線または平行板チェンバーの非電気的読み出し　（そのようなチェンバーにおける非電気的読み出しそれ自体　Ｈ０１Ｊ４７／２２　）｝　
G01T5/006	｛光学的方法によるもの｝
G01T5/008	｛音響的方法によるもの｝
G01T5/02	飛跡の処理；飛跡の解析　｛（核物理学用の専用計算機　Ｇ０６Ｆ１５／５２(ＥＣＬＡ)）｝
G01T5/04	霧箱，例．ウイルソン霧箱
G01T5/06	泡箱
G01T5/08	シンチレーション箱　（放電管　Ｈ０１Ｊ４０／００，　Ｈ０１Ｊ４７／００；‐導体装置　Ｈ０１Ｌ）　
G01T5/10	核粒子の飛跡が後処理により可視的に表現される板またはブロック，　例．　写真乳剤を用いるもの，　マイカを用いるもの
G01T5/12	多重線または平行板をもつ箱，　例．　スパークチェンバー，　を有する回路装置　（管それ自体Ｈ０１Ｊ４７／００）　
G01T5/122	｛個々の線から読み出すためのもの；　（そのようなチェンバーにおける読み出しそれ自体　Ｈ０１Ｊ４７／１６）；　出力信号を処理するためのもの｝　
G01T5/125	｛遅延線の使用によるもの｝
G01T5/127	｛磁歪遅延線路の使用によるもの｝
G01T7/00	放射線測定装置の細部
G01T7/005	
G01T7/02	検査すべき試料を受入れまたは蓄積するための収集手段　｛そして試料を計測装置へ直接運べるもの；　特に放射性液体を調査するためのもの　（サンプリング，　調査のための試験片の準備一般　Ｇ０１Ｎ１／００，　Ｇ０１Ｎ１／０２；　操作装置と構造的に結合された遮蔽セルまたは部屋　Ｇ２１Ｆ；　クロマトグラフィ的に分離された試料を測定するもの　Ｇ０１Ｎ３０／００　〜Ｇ０１Ｎ３０／９６）｝
G01T7/04	フィルタによるもの
G01T7/06	静電的沈殿によるもの　（Ｇ０１Ｔ７／０４　が優先）
G01T7/08	受け入れた試料を移送する手段　｛（すなわち　試料交換器　Ｇ０１Ｎ３５／００）｝
G01T7/10	回転台を用いるもの
G01T7/12	警報装置作動用の装備
G01T7/125	｛ＵＶ検出器としても機能する，電離箱，≧例計数管またはガイガー・ミュラー計数管を使用する警報または制御回路　（計数管を用いる放射線強度測定　Ｇ０１Ｔ１／１８；　電離箱を用いる放射線強度測定　Ｇ０１Ｔ１／１８５；　粒子の放射線の，　例．　赤外線の，　イオンの，　存在により作動する火災報知器　Ｇ０８Ｂ７／１２(ＥＣＬＡ)；　燃焼装置の炎のモニタ　Ｆ２３Ｑ７／００，　Ｆ２３Ｎ；　放電管それ自体　Ｈ０１Ｊ４７／００）｝　
