B29D1/00	ねじ山を有する物品の製造
B29D29/106	｛歯のついた駆動ベルト｝
B29D30/00	空気タイヤもしくは中実タイヤまたはその部品の製造（インナーチューブの製造Ｂ２９Ｄ２３／２４；タイヤまたはその部品の構造上の形状Ｂ６０Ｃ；膨張可能な弾性体への弁と取付けＢ６０Ｃ２９／００；タイヤの検査Ｇ０１Ｍ１７／０２）
B29D30/0005	｛タイヤまたはその部品の前処理，例．予備加熱，光照射，予備硬化｝
B29D2030/0011	｛タイヤまたはその部品の表面活性化，例．プラズマ処理｝
B29D30/0016	｛タイヤまたはその部品の取り扱い，例．供給、貯蔵、運搬（Ｂ２９Ｄ３０／２６０７が優先；加硫プレス機の加圧または除圧Ｂ２９Ｄ３０／０６０３）｝
B29D2030/0022	｛生タイヤの取り扱い，例．タイヤ製造工程間の移送または貯蔵｝
B29D2030/0027	｛硬化したタイヤの取り扱い，例．加硫後の移送または貯蔵｝
B29D2030/0033	｛タイヤまたはその構成部品，例．カーカス，ベルト−トレッドのセット，ビードおよび類似のもの，をその軸の周りで回転させるもの．すなわち，変形防止のためのもの｝
B29D2030/0038	｛ビードを除く，タイヤの部品または半完成部品の取り扱い，例，貯蔵，運搬，移送（Ｂ２９Ｄ２０３０／００４４が優先）｝
B29D2030/0044	｛タイヤビードの取り扱い，例，貯蔵，運搬，移送および円環状の支持体またはドラムへの供給｝
B29D30/005	｛タイヤまたはその部品の加工のための製造設備の一般的な配置またはレイアウト（シングルステージのタイヤ製造工程のための円形コアまたは円筒状ドラムの配置Ｂ２９Ｄ３０／１０，Ｂ２９Ｄ３０／２０；加硫成形Ｂ２９Ｄ３０／０６０１）｝
B29D2030/0055	｛タイヤ製造工程のサイクルタイムの最適化，例．加硫工程へのタイヤ組立て工程の適応｝
B29D30/0061	｛他に分類されない付属品，細部または補助操作｝
B29D2030/0066	｛製造中のタイヤの品質管理｝
B29D2030/0072	｛タイヤへの留め具の取り付け，例．パッチ，タイヤに機器を接続するためのもの｝
