E05C9/08	固定手段を作動させるための回転棒をもつもの　｛（Ｅ０５Ｂ６５／１６Ｂ(ＥＣＬＡ)　およびＥ０５Ｂ６５／４６８が優先；複数のひき出し用Ｅ０５Ｂ６５／４６５）｝
E05C9/085	｛扉に垂直な軸を旋回するもの（ウイングの平面に垂直な軸の周りを旋回する鎖錠棒またはそれに類するものＥ０５Ｃ１９／００５）｝
E05C9/10	棒の作動機構　｛（Ｅ０５Ｃ９／０２から　Ｅ０５Ｃ９／０６が優先）｝
E05C9/12	歯車とラックをもつもの
E05C9/14	みぞ穴に係合するピンをもつもの
E05C9/16	クランクピンと連結棒をもつもの
E05C9/18	棒の端部の固定手段または保持手段の細部
E05C9/1808	｛止め金｝
E05C2009/1816	ねじ式締結具なしにスナップ取り付けされるもの
E05C9/1825	｛固定装置（現在この分類は使用していない，他のサブグループおよびＥ０５Ｃ９／１８を参照）｝
E05C9/1833	｛滑動するもの（現在この分類は使用していない，他のサブグループおよびＥ０５Ｃ９／１８を参照）｝
E05C9/1841	｛作動棒に垂直なもの（未完；Ｅ０５Ｃ９／００からＥ０５Ｃ９／０６３およびＥ０５Ｃ９／１８を参照）｝
E05C9/185	｛作動棒と平行なもの（未完，Ｅ０５Ｃ９／００からＥ０５Ｃ９／０６３，およびＥ０５Ｃ９／１８を参照）｝
E05C9/1858	｛ローラーボルト形のもの｝
E05C2009/1866	鍵穴スロット形のもの
E05C9/1875	｛旋回するもの（Ｅ０５Ｃ９／０８が優先；未完；Ｅ０５Ｃ９／００からＥ０５Ｃ９／０６３およびＥ０５Ｃ９／１８参照）｝
E05C9/1883	｛作動棒上を旋回するもの（未完；Ｅ０５Ｃ９／００からＥ０５Ｃ９／０６３およびＥ０５Ｃ９／１８参照）｝
E05C9/1891	｛棒に平行な軸の周り（未完；Ｅ０５Ｃ９／００からＥ０５Ｃ９／０６３およびＥ０５Ｃ９／１８を参照）｝
E05C9/20	滑り棒，ロッド，またはケーブルの結合手段　｛（作動ロッド間の車両ドア鎖錠用の接合手段Ｅ０５Ｂ６５／２０Ｇ(ＥＣＬＡ)）｝
E05C9/22	滑り棒，ロッド，またはケーブルの案内（コーナー案内９／２４）
E05C9/24	縦方向と横方向の滑り棒，ロッド，またはケーブル間の運動を伝える手段，例．コーナー案内（開放または閉鎖位置へウィングを移動するために縦方向と横方向の滑り棒，ロッドまたはケーブル間の運動を伝える手段Ｅ０５Ｆ７／０８）
E05C17/00	ウィングを開放状態に保持する装置；フレームとウィングとの間に伸びる移動可能な部材によってウィングの開放を制限またはウィングを開放状態に保持する装置；これらと組み合わされた制動装置，停止具または緩衝器（蝶番と組み合わされたものＥ０５Ｄ１１／００；ウィング用の操作装置と結合したものＥ０５Ｆ；他の制動装置，停止具，緩衝器Ｅ０５Ｆ５／００）
E05C17/003	車両ドアの開放を規制するための電動装置
E05C17/006	ドア外側の障害物検知用の手段を有するもの
E05C17/02	機械的手段によるもの（Ｅ０５Ｃ１７／６０が優先）
E05C17/025	｛蝶着された端と枠間に作用する手段（Ｅ０５Ｃ１７／２０３が優先）｝
E05C17/04	台枠とウィングの間に伸びる可動の棒または同効の部材をもつもの　｛（Ｅ０５Ｃ１７／０２５が優先）｝
E05C17/042	｛超過寸法の物品を運搬中に車のトランクリッドを係止するためのもの（Ｅ０５Ｃ１７／３６が優先）｝
E05C17/045	｛蝶番（一般Ｆ１６Ｃ１１／０４，Ｅ０５Ｄ）．．．<br><br><u>｛注</u><br><br>．．．，未完，Ｅ０５Ｃ１７／０４からＥ０５Ｃ１７／３４まで参照）｝　｝
E05C17/047	｛可搬棒またはそれに類するもの，すなわち，完全に移動可能なもの（Ｅ０５Ｃ１７／０４２が優先）｝
E05C17/08	解除用に特殊手段をもつもの，例．拡大開口により自動的に解除するもの　｛現在この分類は使用していない，Ｅ０５Ｃ１７／００およびサブグループ参照｝
E05C17/085	｛拡大開口により自動的に離れるもの｝
E05C17/12	単一のロッドからなるもの　｛（現在この分類は使用していない，サブグループおよびＥ０５Ｃ１７／０４参照）｝
E05C17/14	鈎（かぎ）および留め孔または同等のもの
E05C17/16	ただ一端で枢着され長いみぞをもつもの
E05C17/163	｛枢着点においてつかみまたは係止手段をもつもの，例．フリクションヒンジ｝
E05C17/166	｛安全装置｝
E05C17/18	ただ一端で枢着され，一列の孔，刻み目またはピンをもつもの
E05C17/20	案内を通って滑動するもの（Ｅ０５Ｃ１７／１８が優先）
E05C17/203	｛隠されたもの，例．車両用｝
E05C17/206	｛ばね型のもの（現在この分類は使用していない，サブグループ参照）｝
E05C17/22	案内中に制動，つかみまたは係止手段をもつもの　｛Ｅ０５Ｃ１７／２０３が優先）｝
E05C17/24	ただ一端で枢着され他端は案内部材に沿って動くもの
E05C17/26	ロッドの枢着点において制動，つかみまたは係止手段をもつもの
E05C17/28	案内部材との連結点において制動，つかみまたは係止手段をもつもの
E05C17/30	伸縮可能のもの，例．望遠鏡式のもの（可とう部材Ｅ０５Ｃ１７／３６；　｛伸縮自在の方式の鎖錠一般Ｆ１６Ｂ７／１０；　鎖錠可能な伸縮自在のガスばねＦ１６Ｆ９／０２５４｝）
E05C17/305	｛液圧錠を有するもの｝
E05C17/32	二個またはそれ以上の枢着されたロッドからなるもの
E05C17/34	一つ以上の位置に保持する手段をもつもの
E05C17/345	｛摩擦を用いるもの，例．フリクションヒンジ｝
E05C17/36	可とう部材から成るもの，例．鎖
E05C17/365	｛安全鎖｝
E05C17/38	ウィング上の部材に係合すべく台枠に固着された湾曲軌条をもつもの，またはその逆のもの
E05C17/40	閉じるとき互いに逆方向へ移動する，左側のウィングと右側ウィングを連絡した棒またはその類似部材
E05C17/42	内外のウィングを連絡するもの
E05C17/44	固定の平面と摩擦または同様の係合をするためにウィング上に保持される装置をもつもの，例．引き込み可能の足部材　｛ウイングを閉じたままにするためのもの（くさびを有するものＥ０５Ｃ１７／５４）｝
E05C17/443	｛支持レバーまたは偏心器型のもの，例．すべり窓用｝
E05C17/446	｛格納式滑動脚型のもの（滑動ウイング用の類似装置Ｅ０５Ｃ１７／６４）｝
E05C17/46	ウィングまたはウィング上に取り付けられた部材が固定位置において可動の固定部材により係止されるもの；ウィング上の可動の固定部材が静止部材に係止するもの　｛（ボルト用の多数の位置を有する撃鉄Ｅ０５Ｂ１５／０２１）｝
E05C17/48	滑動する止め部材からなるもの
E05C17/50	単一の枢着された止め部材からなるもの
E05C17/505	ノブまたはハンドルに直接作用するもの
E05C17/52	止め金（スナップ），キャッチまたはその類似物からなるもの
E05C17/525	｛吸引カップを構成するもの｝
E05C17/54	形態可能な器具，例．くさび　｛ウイングを開放または閉じたままにするためのくさび（Ｅ０５Ｃ１７／０４７が優先；くさび作用を有するラッチＥ０５Ｃ１９／００７）｝
E05C17/56	磁力または電磁力の吸引によるもの　｛または電気または電磁気手段によって操作されるもの（閉じたウイング用Ｅ０５Ｃ１９／１６）｝；（電気または電磁気手段による鎖錠または固定具の操作Ｅ０５Ｂ４７／００）
E05C17/58	遠隔的に操作または制御されるもの　｛例．気体によるもの（Ｅ０５Ｃ１７／５６が優先）｝
E05C17/60	滑動ウィングを開放状態に保持するもの　｛（Ｅ０５Ｃ１７／４４３，Ｅ０５Ｃ１７／５４　が優先）｝
E05C17/62	切り欠きを用いるもの
E05C17/64	摩擦によるもの
E05C19/00	ウイング係止用に特別に設計されたその他の装置，　｛例．吸引カップを有するもの｝（ボルト締めに付加的に用いられる着脱自在なすきま密閉具Ｅ０６Ｂ７／１８）
E05C19/001	｛最低一方のウイングの全長に沿って延伸するボルトを有するもの（着脱可能な密封片Ｅ０６Ｂ７／１８）｝
E05C19/002	｛縦軸の周りを回転するもの｝
E05C19/003	｛鎖錠棒，横棒またはセキュリティ・バー（滑動ウイング用Ｅ０５Ｂ６５／０８８８；複数個のひき出し用Ｅ０５Ｂ６５／４６７）｝　
E05C19/004	｛扉と床または壁の間の角度にあるもの｝
E05C19/005	｛ウイングの平面に垂直な状態でウイング上の軸の周りを旋回するもの｝
E05C19/006	｛ウイング自身の平面内を実質上ウイングが転置することによるもの（Ｅ０５Ｆ７／０２が優先；滑動前に滑動ウイングを水平に引き上げるためのつり下げ装置Ｅ０５Ｄ１５／０６Ｂ２(ＥＣＬＡ)）｝
E05C19/007	｛くさび作用を有するラッチ（ウイング自身と固定面間のくさびＥ０５Ｃ１７／５４）｝
E05C19/008	｛チルトプレートラッチ｝
E05C19/009	｛浮動ボルトを有するラッチ，例．リング，ボール｝
E05C19/02	自動キャッチ，すなわちウィングを押し引きすることにより解除されるもの（Ｅ０５Ｃ１９／０６が優先；　｛鎖錠手段を有するものＥ０５Ｂ６３／２２｝）
E05C19/022	｛閉鎖方向に押すことにより解除されるもの｝
E05C19/024	｛二又のラッチを有するもの｝
E05C19/026	｛２つの旋回ボルト間に止め金を有するもの｝
E05C19/028	｛滑動ボルトを有するもの｝
E05C19/04	ボールまたはローラキャッチ
E05C19/06	係止部材がばねで作られるかまたはばねで保持され，そしてばねの変形によってのみ動くもの，例．スナップ
E05C19/063	｛ウイング上を押すまたは圧力をかけることにより解除されるもの（Ｅ０５Ｃ１９／０２２が優先）｝
E05C19/066	｛合成樹脂製のもの，例．ＶＥＬＣＲＯ｝
E05C19/08	掛け金；掛け金固定具；そこに用いるばねキャッチ
E05C19/10	鈎式固定具；環状部材が固定された鈎状部材に係合する固定具　｛（旋回または回動的に動くボルトを有する固定装置Ｅ０５Ｃ３／００）｝　
E05C19/105	
E05C19/12	枢着されたもの　｛現在この分類は使用していない，Ｅ０５Ｃ１９／１０およびサブグループ参照｝
E05C19/14	トグル作用をもつもの　｛（他のトグル装置Ａ４３Ｃ１１／１４０６，Ｂ６５Ｄ４５／０６，Ｂ６５Ｄ４５／２４，Ｅ０５Ｂ６５／０８１７，Ｅ０５Ｂ６５／１９Ｈ２(ＥＣＬＡ)，Ｆ１６Ｇ１１／２０(ＥＣＬＡ)）｝
E05C19/145	｛埋込み｝
E05C19/16	磁力または電磁力による吸引によりウィングを保持する装置　｛（Ｅ０５Ｃ１７／５６が優先）｝
E05C19/161	｛磁気ガスケット｝
E05C19/163	｛永久磁石により撃鉄の中に保持されている可動ボルト｝
E05C19/165	｛閉鎖方向に押すことにより解除されるもの｝
E05C19/166	｛電磁的のもの｝
E05C19/168	｛電磁力の吸引により撃鉄の中に電磁的に保持されている可動ボルト｝
E05C19/18	特にウィング係止用に使用される携帯可能な装置（｛Ｅ０５Ｃ１７／５４，Ｅ０５Ｃ１９／００３，Ｅ０５Ｂ６５／０８９４，Ｅ０５Ｂ６７／００が優先｝；ハンドルの操作を防ぐものＥ０５Ｂ１３／００）
E05C19/182	｛ウイングと台枠間の溝，または錠とその撃鉄間の溝に挿入可能なもの，例．撃鉄を用いる連携用｝
E05C19/184	｛ウイングを鎖錠するために，ウイングまたは台枠上の固定部材または開口部と連携する携帯可能な部材｝
E05C19/186	｛一対の鈎を有するもの，鈎は，台枠上のものと同様にウイング上のものを掴むか，または二重扉を形成する各ウイング上のものを掴むために互いの方向に移動可能｝
E05C19/188	｛取り外し自在に取り付けられた安全装置，例．ウイングまたは台枠に締め付けられた装置（Ｅ０５Ｃ１９／１８２からＥ０５Ｃ１９／１８６が優先）｝　
E05C21/00	先行する一つのメイングループに分類されないウィングの固定，係止または保持装置の配置またはその組み合わせ；　｛鎖錠用具一式｝
E05C21/005	
