G21F9/20	液体廃棄物処分
G21F9/22	タンクまたは他の容器内での貯蔵によるもの
G21F9/24	地中貯蔵によるもの；水中貯蔵によるもの，例．海洋貯蔵
G21F9/26	水中への稀釈によるもの，例．海洋，川への稀釈
G21F9/28	固体の処理
G21F9/30	処理方法（同一化学元素の異なる同位体分離Ｂ０１Ｄ５９／００）
G21F9/301	｛安定した固体媒体中に固定することによるもの｝
G21F9/302	｛無機マトリックスに含まれるもの｝
G21F9/304	｛セメントまたはセメント状マトリクス（組成的側面Ｃ０４Ｂ）｝
G21F9/305	｛ガラスまたはガラス状マトリクス（Ｃ０３Ｂ５／００５が優先；組成的側面Ｃ０３Ｃ）｝
G21F9/307	｛ポリマー・マトリクス，例．樹脂，タール，に含まれるもの｝
G21F9/308	｛廃棄物溶解によるもの（Ｇ２１Ｆ９／３０５，Ｇ２１Ｆ９／３２が優先）｝
G21F9/32	焼却によるもの
G21F9/34	固体廃棄物処分
G21F9/36	かん詰によるもの；包装によるもの
