D06N7/0065	｛積み重ねに特徴のあるもの｝
D06N7/0068	｛一次裏地または繊維最上層に特徴のあるもの｝
D06N7/0071	｛それらの裏打ち，例．事前被覆，裏被覆，二次裏打ち，クッション裏打ち，に特徴のあるもの｝
D06N7/0073	｛裏被覆または事前被覆が水分散液またはラテックスとして適用されたもの｝
D06N7/0076	｛裏被覆または事前被覆が熱可塑性樹脂として適用されたもの，例．抽出被覆，粉末被覆または熱可塑性フィルムの積層｝
D06N7/0078	｛裏被覆または事前被覆がホットメルトとして適用されたもの｝
D06N7/0081	｛少なくとも一つの裏打ちとしての追加的な繊維層のあるもの，例．安定化繊維層，繊維質の二次裏打ち｝
D06N7/0084	｛顆粒を同時に焼結または結合して得た少なくとも一つの層のあるもの｝
D06N7/0086	｛クッションの裏打ち，例．発泡ポリウレタン，に特徴のあるもの｝
D06N7/0089	｛下地層｝
D06N7/0092	｛繊維基材上の非連続重合体被覆，例．繊維状の樹脂ドット｝
D06N7/0094	｛繊維材料が一つの表面上に被覆された少なくとも一つの層が無機材料からなりかつ少なくとも一つの層が高分子材料からなるもの｝
D06N7/0097	｛ウェブが繊維で被覆されたもの，例．植毛されたもの｝
D06N2201/00	繊維，より糸または糸の化学的構成
D06N2201/02	剛性高分子繊維
D06N2201/0209	ラストマー性の，弾性繊維，例．スパンデックス，ライクラ
D06N2201/0218	ビニル樹脂繊維
D06N2201/0227	芳香族ビニル樹脂，例．スチレン［共］重合体
D06N2201/0236	ハロゲン化ビニル，例．ＰＶＣ，ＰＶＤＣ，ＰＶＦ，ＰＶＤＦ
D06N2201/0245	アクリル樹脂繊維
D06N2201/0254	ポリオレフィン繊維
D06N2201/0263	ポリアミド繊維
D06N2201/0272	芳香族ポリアミド繊維
D06N2201/0281	ポリウレタン繊維
D06N2201/029	ふっ素重合体
D06N2201/04	植物繊維
D06N2201/042	セルロース繊維，例．綿
D06N2201/045	リグノセルロース繊維，例．ジュート，サイザル，大麻，亜麻，竹
D06N2201/047	木繊維
D06N2201/06	動物繊維，例．毛，羊毛，絹
D06N2201/08	無機繊維
D06N2201/082	ガラス繊維
D06N2201/085	金属繊維
D06N2201/087	炭素繊維
D06N2201/10	複合繊維，例．芯鞘形，並列形
D06N2201/12	繊維がテープ，紐またはリボンの形状であるもの
D06N2203/00	被覆層の高分子材料
D06N2203/02	天然高分子化合物またはその誘導体
D06N2203/022	天然ゴム
D06N2203/024	多糖類またはその誘導体
D06N2203/026	セルロースまたはその誘導体
D06N2203/028	澱粉またはその誘導体
D06N2203/04	炭素―炭素間不飽和結合のみが関与する反応によって得られる高分子化合物によるもの
D06N2203/041	ポリアクリル
D06N2203/042	ポリオレフィン［共］重合体
D06N2203/044	ふっ素重合体
