A23C11/04	非乳脂肪を含有するが非乳蛋白質を含有しないもの（Ａ２３Ｃ１１／０８，Ａ２３Ｃ１１／１０が優先）
A23C11/045	粉状の非脂肪成分と脂肪とを混合して得られたものまたはその成分を乾燥混合して得られたもの
A23C11/06	非乳蛋白質を含有するもの（Ａ２３Ｃ１１／０８，Ａ２３Ｃ１１／１０が優先）
A23C11/065	微生物蛋白質，不活性酵母または動物性蛋白
A23C11/08	カゼイン化合物を含有するが他の乳蛋白質あるいは乳脂肪のいずれも含有しないもの
A23C11/10	ラクトースを含有するかあるいはしないが，脂肪，炭水化物または蛋白質源としての他のいかなる乳成分も含有しないもの，例．豆乳
A23C11/103	豆類，脂肪種子またはナッツより採取した蛋白質のみを含有するもの，例．大豆またはナッツミルク
A23C11/106	微生物の添加，または微生物を用いた処理　（Ａ２３Ｃ２０／０２５とＡ２３Ｌ１／２１１８が優先）　
A23C13/00	クリーム；クリーム調製品；その製造（コーヒーホワイトナー組成物Ａ２３Ｃ１１／００；クリーム代用品Ａ２３Ｌ１／１９）
A23C13/12	クリーム調製品（アイスクリームＡ２３Ｇ９／００）
A23C13/125	粉状，粒状または固体状のもの
A23C13/14	乳製品を含有するもの　｛非脂肪｝乳成分
A23C13/16	微生物，酵素または抗生物質を含有するもの，あるいはこれらで処理されたもの；サワークリーム
A23C13/165	化学的または物理的手段のみで製造されたサワークリーム
A23C15/00	バター；バター調製品；その製造（バター代用品Ａ２３Ｄ）
A23C15/02	その製造
A23C15/04	バターオイルまたは無水バターからのもの
A23C15/06	クリームの処理　｛または乳｝相転換以前
A23C15/065	微生物または酵素を含有した処理の付与；培養した乳製品の添加
A23C15/12	バター調製品
A23C15/123	微生物または培養した乳製品の添加；酵素の添加；留出物以外のスターター培養物の添加
A23C15/126	少量の植物油を含有するバター；脂肪酸を有するバターの栄養強化
A23C15/14	粉末バター；バターオイル，すなわち溶融バター，例．ギイー　｛無水バター｝
A23C15/145	ステロイドの除去，例．コレステロールまたは遊離酸；溶媒結晶化以外の溶媒を有するかまたは超臨界ガスを有するかまたは蒸留による抽出による無水乳脂の分留
A23C15/16	脂肪含量を減らしたバター
A23C15/165	微生物の添加により製造されるもの；培養されたスプレッド
A23C17/00	バターミルク；バターミルク調製品（Ａ２３Ｃ９／１４が優先；保存Ａ２３Ｃ３／００）
A23C17/02	微生物または酵素を含有するもの，あるいはこれらで処理されたもの
A23C19/00	チーズ；チーズ調製品；その製造（チーズ代用品Ａ２３Ｃ２０／００；カゼインＡ２３Ｊ１／２０）
A23C19/02	チーズカードの製造
A23C19/024	連続処理を使用するもの
A23C19/0245	固定化酵素または微生物を有するもの
A23C19/028	凝固乳からの実質的なホエー分離を行なわないもの
A23C19/0285	透析または限外濾過によるもの
A23C19/032	特定の微生物，または微生物起源の酵素の使用によって特徴づけられたもの
A23C19/0321	プロピオン酸菌
A23C19/0323	乳酸菌のみを用いるもの，例．ペディオコッカスとロイコノストック種；ビフィズス菌；微生物スターター一般　（カビを用いたものＡ２３Ｃ１９／０６８２）
A23C19/0325	他の細菌を用いることなく，酵母を用いるもの，乳酸菌または菌類の単独または組合せで用いるもの
A23C19/0326	発酵によって製造されたレンネット，例．微生物レンネット；　遺伝学工学によって製造されたレンネット
A23C19/0328	凝乳酵素以外の酵素，例．リパーゼ，β-ガラクトシダーゼ
A23C19/04	植物または動物起源の特定酵素の使用によって特徴づけられたもの（Ａ２３Ｃ１９／０３２が優先）
A23C19/041	植物または野菜から採取した蛋白質分解または凝乳酵素，例．パパイン，フィシン，ブロメライン
A23C19/043	蛋白質分解酵素または凝乳酵素以外の酵素，例．リパーゼ，リゾチーム
A23C19/045	レンネットまたはレンネット代用品を使用しない乳の凝固　｛ホエーの分離後のもの｝
A23C19/0455	乳を発酵せずに直接酸性化した凝固，例．化学的または物理的手段によるもの
A23C19/05	凝固前の乳の処理；カードからのホエー分離（１９／０９７，　｛Ａ２３Ｃ１９／０４５｝が優先）
A23C19/051	酸発酵の組合せそして化学的または物理的手段による酸性化
A23C19/052	化学的または物理的手段のみによる酸性化
A23C19/053	ホエー，ホエー成分，分離したホエーから採取された物質，乳から分離または濃縮した蛋白質を有する乳の栄養強化
A23C19/054	酸性化剤，ＮａＣｌ，ＣａＣｌ２，乳製品，蛋白質，脂肪，酵素または微生物以外の添加物
A23C19/055	非乳脂肪または非乳蛋白質の添加　｛ポリオール脂肪酸ポリエステルまたは鉱油｝
A23C19/06	ホエー分離後のチーズカードの処理；それにより得られた製品（Ａ２３Ｃ１９／０９７が優先）
A23C19/061	微生物の添加，または微生物による処理（Ａ２３Ｃ１９／０６８２が優先）
A23C19/062	乳酸菌のみを用いたもの，例．ペディオコッカス，ロイコノストックまたは　ビフィズス種，またはプロピオン酸菌；非特定の酸性化した細菌培養物による処理
A23C19/063	酵素または微生物の無細胞抽出物による処理，または添加
A23C19/064	加塩
A23C19/068	チーズの特定のタイプ
A23C19/0682	カビ熟成させたまたは菌を表面に付与して熟成させたチーズ
A23C19/0684	ソフトタイプの未加工のイタリアンチーズ，例．モッツァレラ，リコッタ，パスタ・フィラータチーズ；他の類似するストレッチチーズ
A23C19/0686	ホエーから採取したチーズ，例．ミスオスト
A23C19/0688	ハードまたはセミハードタイプのチーズで穴のあるものまたは無いもの（Ａ２３Ｃ１９／０７２が優先）
A23C19/072	チェダータイプ　｛または類似したハードタイプのチーズで穴の無いもの｝
A23C19/076	軟質の未熟成チーズ，例．カテージまたはクリームチーズ
A23C19/0765	酸性化剤，乳製品，ゼラチンを除いた蛋白質，脂肪，酵素，微生物，ＮａＣｌ，ＣａＣｌ２またはＫＣＬ以外のカードへ添加する添加剤；泡状のフレッシュチーズ製品
A23C19/08	プロセスチーズ調製品；その製造，例．融解，乳化，殺菌
A23C19/081	表面溶融
A23C19/082	融解中またはそれ以前のカードへの物質の添加；融解塩
A23C19/084	融解後のカードの処理またはそれに物質を添加するもの（非乳成分を添加するものＡ２３Ｃ１９／０９３）
A23C19/086	粉末チーズ；乾燥されたチーズ調製品
A23C19/09	他のチーズ調製品；他の食品とチーズとの混合物（保存Ａ２３Ｃ１９／０９７）
A23C19/0904	液状チーズ製品，　例．飲料，ソース
A23C19/0908	スライスチーズ；多層のまたは詰め物をしたチーズ；チーズローフ
A23C19/0912	フライ，ベイクまたはローストしたチーズ製品，例．　チーズケーキ；泡状チーズ製品，例．スフレ；膨張した固形のチーズ
A23C19/0917	ホエー，ホエー成分，分離したホエーから採取された物質，乳から分離または濃縮した蛋白質の，チーズまたはカードへの，添加
