C07H15/02	環式構造により置換されていない非環式基　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６，　Ｃ０７Ｈ１５／００Ｆ(ＥＣＬＡ)　が優先）｝　
C07H15/04	糖類基の酸素原子に結合しているもの　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６　が優先）｝　
C07H15/06	１個のヒドロキシアルキル基が１個の脂肪酸によってエステル化されたもの，　｛すなわち，イメージ　｝
C07H15/08	ポリオキシアルキレン誘導体（ポリオールのポリオキシアルキレン誘導体一般Ｃ０７Ｃ４１／００，Ｃ０７Ｃ４３／００）
C07H15/10	不飽和炭素―炭素結合を含有するもの　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６　が優先）｝　
C07H15/12	糖類基の窒素原子に結合するもの　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６，　Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)　が優先）｝　
C07H15/14	糖類基の硫黄，セレンまたはテルル原子に結合するもの　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６，　Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)　が優先）｝　
C07H15/16	リンコマイシン；その誘導体　｛６−デオキシ−６−（置換されてもよい）　アミノ誘導体，例．　リンコサミン，セレストサミン，クリンダマイシン｝
C07H15/18	炭素環で置換された非環式基　｛カルコンまたは水素添加カルコンで，１−ベンゾピラン−４−オン基で置換された糖類基から誘導されたものは　Ｃ０７Ｈ１７／０７に分類する；　（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６，　Ｃ０７Ｈ１５／００Ｆ(ＥＣＬＡ)，　Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)　が優先）｝　
C07H15/20	炭素環　｛（Ｃ０７Ｈ１５／００Ｆ(ＥＣＬＡ)，　Ｃ０７Ｈ１５／１０Ｄ２(ＥＣＬＡ)　が優先）｝　
C07H15/203	シクロヘキサン環以外の単環式炭素環　｛またはシクロヘキセンまたはシクロヘキサジエン｝　環；　シクロヘキセン，シクロヘキサジエン；　二環式炭素環系
C07H15/207	シクロヘキサン環　｛およびシクロヘキセンおよびシクロヘキサジエン環｝　窒素原子で置換されないもの，例．カスガマイシン
C07H15/22	窒素原子で置換されたシクロヘキサン環．．<br><br><u>｛注</u><br><br>　−　２ドットのサブディビジョン用:　．．画像．．　−　３ドットのサブディビジョン用:　（Ｃ０７Ｈ１５／２２Ｂ(ＥＣＬＡ)および　Ｃ０７Ｈ１５／２２２）　｝
C07H15/222	少なくとも２個の窒素原子で置換されたシクロヘキサン環　｛少なくとも２個のグアニジン基　Ｃ０７Ｈ１５／２３８｝
C07H15/224	シクロヘキサン環に直接結合した１個の糖類基のみを有するもの，例．デストマイシン，ホーティマイシン，ネアミン
C07H15/226	｛シクロヘキサン環に直接結合した少なくとも２個の糖類基を有するもの｝
C07H15/228	｛隣接するシクロヘキサン環の環炭素原子に結合したもの｝
C07H15/23	分子中に糖類基を２個有するもの，例．アンブチロシン，ブチロシン，キシロスタチン，リボスタマイシン　｛抗生物質　ＳＦ−７３３，　Ｂｕ−１９７５，　ＢＢ−Ｋ−１３７，　ＢＢ−Ｋ−１８６｝
C07H15/232	分子中に糖類基を少なくとも３個有するもの，例．リビドマイシン，ネオマイシン，パロモマイシン　｛ジゴマイシン；　ハイブリマイシン；　キントマイシン，　フラジオマイシン；　フラマイセチン｝
C07H15/234	シクロヘキサン環の隣接しない環炭素原子に結合したもの，例．カナマイシン，トブラマイシン，ネブラマイシン，ゲンタマイシンＡ２　｛Ｃ０７Ｈ１５／２３６Ｋ(ＥＣＬＡ)を参照｝
C07H15/236	３位が１個のアルキルアミノ基で置換され４位が水素以外の２個の置換基で置換された糖類基，例．ゲンタマイシン複合体，シソマイシン，ベルダマイシン　｛ムタマイシン；　抗生物質　ＸＫ　６２−２，　６６−４０，　Ｇ−４１８，　Ｇ−５２｝
C07H15/238	２個のグアニジン基で置換されたシクロヘキサン環，例．ストレプトマイシン
C07H15/24	３個以上の環をもつ縮合環系（ステロイドグリコシドＣ０７Ｊ）
C07H15/244	アントラキノン基，例．センノシド
C07H15/248	コルヒチン基，例．コルコヒシド
C07H15/252	ナフタセン基　．．．<br><br><u>｛注</u><br><br>．　[Ｎ９８０９｝サブクラスのタイトルの後の注９　に注意　｝
C07H15/256	ポリテルペン基，　｛例．　アエシン；　サポニン；　グリシルレチン酸誘導体｝
