D07B2201/2046	充填剤からなるもの
D07B2201/2047	芯
D07B2201/2048	その断面形状に特徴のあるもの
D07B2201/2049	ストランドまたはワイヤの間にスペーサとして機能する径方向に延在する突起をもつもの
D07B2201/2051	与えられた寸法の値または範囲に特徴のあるもの
D07B2201/2052	その構造に特徴のあるもの
D07B2201/2053	均質であるもの
D07B2201/2054	発泡材料からなるもの
D07B2201/2055	フィラメントまたは繊維からなるもの
D07B2201/2056	軸に平行に配置されたもの
D07B2201/2057	より構造をもたらすもの
D07B2201/2058	充填剤からなるもの
D07B2201/2059	ワイヤからなるもの
D07B2201/206	軸に平行に配置されたもの
D07B2201/2061	より構造をもたらすもの
D07B2201/2062	充填剤からなるもの
D07B2201/2063	中空であるもの
D07B2201/2064	長手方向に不連続であるもの
D07B2201/2065	被覆からなるもの
D07B2201/2066	用いられる材料に特徴のあるもの
D07B2201/2067	伸びまたは張力の挙動に特徴のあるもの
D07B2201/2068	耐荷重機能をもつもの
D07B2201/2069	弾性であるもの
D07B2201/207	粘性であるもの
D07B2201/2071	スペーサ
D07B2201/2072	用いられる材料に特徴のあるもの
D07B2201/2073	周方向におけるもの
D07B2201/2074	径方向におけるもの
D07B2201/2075	充填剤
D07B2201/2076	潤滑機能をもつもの
D07B2201/2077	防錆機能をもつもの
D07B2201/2078	耐荷重機能をもつもの
D07B2201/2079	充填剤の種類または量に特徴のあるもの
D07B2201/208	オープン構造をもつもの
D07B2201/2081	最大の充填量をもつもの
D07B2201/2082	用いられる材料に特徴のあるもの
D07B2201/2083	ジャケットまたは被覆類
D07B2201/2084	その形状に特徴のあるもの
D07B2201/2085	内側の形状に特徴のあるもの
D07B2201/2086	外側の形状に特徴のあるもの
D07B2201/2087	被覆された形式のもの
D07B2201/2088	複数の層をもつもの
D07B2201/2089	包まれた構造からなるもの
D07B2201/209	編組構造からなるもの
D07B2201/20903	織り構造からなるもの
D07B2201/20907	編成構造からなるもの
D07B2201/2091	内部構造に対して移動可能であるもの
D07B2201/2092	用いられる材料に特徴のあるもの
D07B2201/2093	半透明であるもの
D07B2201/2094	発光性または反射性であるもの
D07B2201/2095	補助的な構成要素，例．導電体または光ガイド
D07B2201/2096	光ガイド
D07B2201/2097	結束ワイヤ
D07B2201/2098	結束ワイヤの特別な特性または装置に特徴のあるもの
D07B2205/00	ロープまたはケーブルの材料
D07B2205/10	天然有機材料
D07B2205/103	動物性または植物性の材料
D07B2205/106	マニラ，麻，サイザル
D07B2205/20	有機高分子
D07B2205/2003	熱可塑性樹脂
D07B2205/2007	熱硬化性樹脂
D07B2205/201	ポリオレフィン
D07B2205/2014	高性能ポリオレフィン，例．ダイニーマ，スペクトラ
D07B2205/2017	ポリスチレン
D07B2205/2021	ポリビニルハライド
D07B2205/2025	ポリビニルアセテート
D07B2205/2028	ポリビニルアルコール
D07B2205/2032	ポリアクリル
D07B2205/2035	ポリアセタール
D07B2205/2039	ポリエステル
D07B2205/2042	高性能ポリエステル，例．ベクトラン
D07B2205/2046	ポリアミド，例．ナイロン
D07B2205/205	アラミド
D07B2205/2053	ポリベンジミダゾール［ＰＢＩ］
D07B2205/2057	フェノール樹脂
D07B2205/206	エポキシ樹脂
D07B2205/2064	ポリウレタン樹脂
D07B2205/2067	ビスコースまたは再生セルロース，例．レーヨン
D07B2205/2071	フッ素樹脂
D07B2205/2075	ゴム，すなわち，エラストマー
D07B2205/2078	天然由来であるもの
D07B2205/2082	合成天然物，例．クロロプレン，であるもの
D07B2205/2085	特定の高分子特性をもつもの
D07B2205/2089	熱収縮を示すもの
D07B2205/2092	水溶性に関するもの
D07B2205/2096	ポリ−ｐ−フェニレンベンゾ−ビスオキサゾール［ＰＢＯ］
D07B2205/30	無機材料
D07B2205/3003	ガラス
D07B2205/3007	炭素
D07B2205/301	セラミック
D07B2205/3014	石綿
D07B2205/3017	炭化ケイ素
D07B2205/3021	金属
D07B2205/3025	鋼
D07B2205/3028	ステンレス鋼
D07B2205/3032	オーステナイト
D07B2205/3035	パーライト
D07B2205/3039	マルテンサイト
D07B2205/3042	フェライト
D07B2205/3046	炭素含有量に特徴のあるもの
D07B2205/305	低い炭素含有量，例．それぞれのＮＴワイヤで０．５パーセント以下
D07B2205/3053	中程度の炭素含有量，例．それぞれのＨＴワイヤで０．５パーセント以上０．８パーセント以下
D07B2205/3057	高い炭素含有量，例．それぞれのＳＨＴまたはＵＨＴワイヤで０．８パーセント以上
D07B2205/306	アルミニウム［Ａｌ］
D07B2205/3064	クロム［Ｃｒ］
D07B2205/3067	銅［Ｃｕ］
D07B2205/3071	亜鉛［Ｚｎ］
D07B2205/3075	錫［Ｓｎ］
D07B2205/3078	鉛［Ｐｂ］
D07B2205/3082	タングステン［Ｗ］
D07B2205/3085	合金，すなわち，非鉄
D07B2205/3089	真鍮，すなわち，銅［Ｃｕ］と亜鉛［Ｚｎ］の合金
D07B2205/3092	亜鉛［Ｚｎ］と錫［Ｓｎ］の合金
D07B2205/3096	アモルファス金属
D07B2205/40	超伝導材料
D07B2205/405	セラミック超電導体
D07B2205/50	潤滑剤
D07B2205/502	油
D07B2205/505	グリース
D07B2205/507	固体潤滑剤
D07B2207/00	ロープまたはケーブルを製造する機械
D07B2207/20	機械の形式
D07B2207/201	手動操作システム
D07B2207/202	もろよりの巻戻し
D07B2207/203	フライヤからなるもの
D07B2207/204	もろよりの巻き
D07B2207/205	フライヤからなるもの
D07B2207/206	もろよりよりも少ないよりをもたらすための手段，例．カウンター回転手段，のあるもの
D07B2207/207	順次もろより装置
