G01R13/02	デジタル形で測定された電気的変量を表示するためのもの（｛液晶表示器またはＬＥＤ表示器を用いるものＧ０１Ｒ１３／４０｝；　カウンタ　Ｇ０６Ｍ；　アナログ／デジタル変換一般　Ｈ０３Ｍ１／００）　
G01R13/0209	｛数値形式におけるもの｝　
G01R13/0218	｛そのための回路｝　
G01R13/0227	｛表示器の濃度または色を制御するもの｝　
G01R13/0236	｛２つ以上の変数を表すためのもの｝　
G01R13/0245	｛基準マーカを挿入するためのもの｝　
G01R13/0254	｛起動し同期をとるためのもの｝　
G01R13/0263	｛非再帰的機能，例．過渡現象のためのもの｝　
G01R13/0272	｛サンプリングのためのもの｝　
G01R13/0281	｛電気−光学素子を用いるもの｝　
G01R13/029	｛そのためのソフトウェア｝　
G01R13/04	永久的に記録するためのもの
G01R13/06	過渡じょう乱を記録するための変更，例．記録媒体を発進または加速することによるもの
G01R13/08	機械的に直接書く方法をもつ電気機械的記録方式
G01R13/10	ストロークの長さまたは点の位置により変数を表示する間欠的記録をもつもの
G01R13/12	化学的記録，例．クライドノグラフ　（Ｇ０１Ｒ１３／１４　が優先）
G01R13/14	感光性材料に記録
G01R13/16	磁気材料に記録
G01R13/18	境界の変位を使用するもの
G01R13/20	陰極線オッシロスコープ｛ＣＲＴ以外のスクリーンを有するオッシロスコープ，　例．　液晶表示器；　（陰極線管表示器のための制御装置または回路　Ｇ０９Ｇ１／００｝；　陰極線管　Ｈ０１Ｊ３１／００）　
G01R13/202	｛非電気的表示装置，　例．　目盛板，　マスク　（常設されたマークまたは参照マークを備えたＣＲＴ用のルミネッセントスクリーン　Ｈ０１Ｊ２９／３４；　ＣＲＴの容器と結合された光学または写真装置　Ｈ０１Ｊ２９／８９）｝
G01R13/204	｛永久的レジストレーションを生成するための手段を用いるもの，例．写真　（ＣＲＴ容器と結合された光学装置または写真装置　Ｈ０１Ｊ　２９／８９）｝
G01R13/206	｛３次元表示形態を得るための装置　（立体テレビジョン　Ｈ０４Ｎ１３／００）｝
G01R13/208	｛陰極線オッシロスコープによる測定のための装置，例．ベクトルスコープ｝
G01R13/22	そのための回路（パルスを発生させる回路，例．鋸歯状波，の発生　Ｈ０３Ｋ３／００）
G01R13/225	｛特にストレージオシロスコープに適合したもの｝
G01R13/24	時間軸偏向回路
G01R13/245	｛画面上に重なり合わない２以上の時間間隔を発生するもの｝
G01R13/26	電子ビームの強さを制御するための回路｛または表示器の色におけるもの｝　（輝度調整　Ｈ０１Ｊ２９／９８）　
G01R13/28	２以上の変数の同時または連続的表示のための回路（電子スイッチ　Ｈ０３Ｋ１７／００）
G01R13/30	基準マーカを挿入するための回路，例．時間基準用，目盛の較正用，周波数の目盛づけ用
G01R13/305	｛時間用マーキングのためのもの｝
G01R13/32	過渡状態のような非反覆的関数を表示する回路；トリガー回路；同期回路；時間軸拡大回路
G01R13/325	｛例えば過渡現象のような非再帰的な機能を表示するためのもの｝
G01R13/34	サンプリングにより単一の波形を表現する回路，例．超高周波に対するもの（抽出―保持装置　Ｇ１１Ｃ２７／０２）
G01R13/342	｛高周波信号を周期的に表示するためのもの　（Ｇ０１Ｒ１３／３４５　が優先）｝
