B02C15/06	回転リングの内側に押しつけられるローラを有する粉砕機，例．スプリング作用によるもの（Ｂ０２Ｃ１５／０４が優先）
B02C15/08	環体の内面に対して遠心力により押しつけられるボールまたはローラを有する粉砕機であって，その粉砕機が中心に配置された部材によって駆動されるもの（Ｂ０２Ｃ１５／０２が優先）
B02C15/10	環体の内面に対して遠心力により押しつけられるボールまたはローラを有する粉砕機であって，その粉砕機が中心に配置された部材以外の手段により駆動されるもの
B02C15/12	少なくとも２個の円盤｛または環体｝とボール又はローラを有し，ボール又はローラはベアリング状に取付けられた粉砕機
B02C15/123	｛環体および介在したローラを有するもの｝
B02C2015/126	｛複数段型のもの｝
B02C15/14	エッジランナ，例．チリ硝石粉砕機
B02C2015/143	｛各ランナの旋回支軸が２つ以上のランナを搬送するもの｝
B02C2015/146	｛階段形状のランナ｝
B02C15/16	本質的に異なった周速によるものであって，それが中空シリンダまたは円錐と，内部ローラまたは円錐との形状を有した粉砕部材をもつもの
B02C17/00	円筒型粉砕機による粉砕，すなわち小石またはボールなどの特別な粉砕媒体によるもの，またはこれらによらないで粉砕される原料を入れる容器を有する粉砕機（高速ドラムミルＢ０２Ｃ１９／１１；｛研磨または研削用ドラムＢ２４Ｂ｝）
B02C17/002	｛回転切断部材または打撃部材を有するもの｝
B02C17/005	｛充電が磁力により開始されるもの｝
B02C17/007	｛廃棄物の粉砕に特に適したもの｝
B02C17/02	有孔容器を有するもの
B02C17/04	無孔容器を有するもの
B02C17/06	数個の区画を有するもの
B02C2017/065	｛多坑井ブロックの形状にある複数の区画を有するもの｝
B02C17/07	放射配列のもの
B02C17/08	遊星運動をする容器を有するもの
B02C17/10	容器内に１ないし数個の粉砕媒体を設けたもの
B02C17/14	粉砕されるべき容器内の原料が回転以外の容器の運動によって攪乱される粉砕機，例．動揺，振動，傾斜運動｛（振動機を備えた粉砕機一般Ｂ０２Ｃ１９／１６）｝
B02C17/16	固定された容器内で原料を攪乱する粉砕機
B02C17/161	｛粉砕媒体および粉砕材料を分離するための装置｝
B02C17/163	｛攪拌手段｝
B02C2017/165	｛２つ以上の攪拌体からなる攪拌手段を有するもの｝
B02C17/166	｛環状空隙型のもの｝
B02C17/168	｛粉砕される原料の循環流を伴う，容器の中または上に配置されたバスケット媒体粉砕装置を有するもの｝
B02C17/18	細部
B02C17/1805	｛円筒型粉砕機のための監視装置｝
B02C17/181	｛円筒型粉砕機に特に適した軸受｝
B02C17/1815	｛冷却または加熱装置｝
B02C17/182	｛蓋｝
B02C17/1825	｛持ち上げ装置（容器の裏張りに関連した持ち上げ装置Ｂ０２Ｃ１７／２２）｝
B02C17/183	｛供給または排出装置｝
B02C17/1835	｛材料の選別または分離と組み合わされた排出装置（Ｂ０２Ｃ１７／１８６が優先）｝
B02C17/184	｛破砕区域の排出路内に配置された分離機を有するもの｝
B02C17/1845	｛寸法の超過する原料を破砕区域に戻すもの｝
B02C17/185	｛２つ以上の分離機を有するもの｝
B02C17/1855	｛破砕区域の境界を画定する分離機を有するもの，例．寸法の超過する材料を通さないスクリーン｝
B02C17/186	｛流体を加えるものであって，流体エネルギーによる破砕のため以外のもの｝
B02C17/1865	｛破砕後のもの｝
B02C17/187	｛破砕区域へ原料を再循環させるもの｝
B02C17/1875	｛破砕区域のガスの通過｝
B02C17/188	｛ガスの入口，出口またはガスの流路に特徴のあるもの｝
B02C17/1885	｛ガスが原料の分離に作用するもの（Ｂ０２Ｃ１７／１８９５が優先）｝
B02C17/189	｛寸法の超過する原料を破砕区域に戻すもの（Ｂ０２Ｃ１７／１８９５が優先）｝
B02C17/1895	｛ガスが破砕区域に再循環するもの｝
B02C17/20	粉砕媒体
B02C17/205	｛円筒型粉砕機への粉砕媒体の追加｝
B02C17/22	容器の裏張り
B02C17/225	｛ゴムまたはエラストマー材料を用いるもの｝
B02C17/24	駆動機構
B02C18/00	原料を砕片に切り刻むナイフまたは他の切断または裂断による粉砕｛（樹木の切り株の粉砕Ａ０１Ｇ２３／０６７）｝
B02C18/0007	｛書類の粉砕に特に適したもの｝
B02C2018/0015	｛ＣＤ，ＤＶＤおよび／またはクレジットカードの粉砕のためのもの｝
B02C2018/0023	｛切換え装置｝
B02C2018/003	｛粉砕前のクリップ，ピンまたはステープラ用つづり針の除去｝
B02C2018/0038	｛モータ駆動装置｝
B02C2018/0046	｛枠，筐体またはケーシングの形状または構造｝
B02C2018/0053	｛手動によるもの｝
B02C2018/0061	｛粉砕された材料を減容するための装置を有するもの｝
B02C2018/0069	｛取外し装置を有するもの｝
B02C18/0076	｛無端可撓部材上に固定された部材を切断または裂断する部材を有するもの（部材を切断または裂断しないものＢ０２Ｃ１９／０００６）｝
B02C18/0084	｛ゴミ，廃棄物または下水の分解に特に適したもの｝
B02C18/0092	｛廃水またはゴミのためのもの｝
B02C18/02	往復動ナイフを有するもの
B02C18/04	細部
B02C18/06	回転ナイフを有するもの
B02C18/062	｛同軸的に配置された溝付きのまたは穿孔された環体に径方向にごく接近して軸方向に伸長する回転子部材を有するもの｝
B02C18/065	｛回転可能なボウル内に有するもの，例．肉カッター｝
B02C18/067	｛おけ研削機｝
B02C18/08	垂直容器内に有するもの｛（Ｂ０２Ｃ１８／０６２，Ｂ０２Ｃ１８／０６５が優先）｝
B02C18/083	｛切断ナイフで縁取られた一般に放射状に伸長する溝または開口部をもつ円盤状回転子を有するもの｝
B02C18/086	｛プラスチック，例．映画フィルム，の粉砕に特に適したもの（プラスチック瓶のためのものＢ０２Ｃ１９／００９３，プラスチックの粉砕Ｂ２９Ｂ１７／００）｝
B02C18/10	容器の上方に駆動装置を有するもの｛（Ｂ０２Ｃ１８／０８３が優先）｝
B02C18/12	容器の下方に駆動装置を有するもの｛（Ｂ０２Ｃ１８／０８３が優先）｝
B02C18/14	水平容器内に有するもの｛（Ｂ０２Ｃ１８／０６２，Ｂ０２Ｃ１８／０６５が優先）｝
B02C18/141	｛軸流を有するもの｝
B02C18/142	｛２以上の内側係合回転が可能なカッタアセンブリを有するもの｝
