H02M7/49	複数の変換器の出力電圧を重畳させたもの
H02M7/493	並列動作するように配置された静止型変換器
H02M7/497	位相が異なる複数の電圧波形の重ね合わせにより正弦波状出力電圧が得られるもの
H02M7/501	振幅とパルス幅が異なる複数のパルス電圧波形の重ね合わせにより正弦波状出力電圧が得られるもの
H02M7/505	消弧手段を必要とするサイラトロンまたはサイリスタ型式の装置を用いるもの｛（Ｈ０２Ｍ７／４８０７，Ｈ０２Ｍ７／４８３，Ｈ０２Ｍ７／４９３およびＨ０２Ｍ７／４８２６が優先）｝
H02M7/51	電子管のみを用いるもの
H02M7/515	半導体装置のみを用いるもの
H02M7/5152	｛別個の消弧手段を有するもの｝
H02M7/5155	｛各転流素子が自らの消弧手段を有するもの｝
H02M7/5157	｛各転流素子の消弧が転流インダクタンス手段によるもので，第一の主転流素子と直列の別の主転流素子を起動することによって実現されるもの｝
H02M7/516	自励発振装置
H02M7/517	特殊起動機器を有するもの
H02M7/519	プッシュプル構成におけるもの（Ｈ０２Ｍ７／５１７が優先）
H02M7/521	ブリッジ構成におけるもの
H02M7/523	主回路にＬＣ共振回路を有するもの
H02M7/5233	｛転流素子がプッシュプル装置に内にあるもの｝
H02M7/5236	｛直列プッシュプル装置内における配置｝
H02M7/525	出力波形または周波数の自動制御を有するもの（Ｈ０２Ｍ７／５１７〜Ｈ０２Ｍ７／５２３が優先）
H02M7/527	パルス幅変調によるもの
H02M7/529	デジタル制御を使用するもの
H02M7/53	制御信号の連続的印加を必要とする三極管またはトランジスタ型式の装置を用いるもの｛（Ｈ０２Ｍ７／４８０７，Ｈ０２Ｍ７／４９３およびＨ０２Ｍ７／４８２６が優先）｝
H02M7/533	電子管のみを用いるもの
H02M7/537	半導体装置のみを用いるもの，例．１石型インバータ
H02M7/5375	特殊起動機器を有するもの
H02M7/538	プッシュプル構成におけるもの（Ｈ０２Ｍ７／５３７５が優先；｛発振装置を有するものＨ０２Ｍ７／５３８３２，Ｈ０２Ｍ７／５３８４６｝）
H02M7/53803	｛出力電圧または電流の自動制御を有するもの｝
H02M7/53806	｛並列型のプッシュプル構成におけるもの｝
H02M7/5381	並列型のもの
H02M7/5383	自励発振装置におけるもの（Ｈ０２Ｍ７／５３８が優先）
H02M7/53832	｛プッシュプル装置におけるもの｝
