B81B2201/11	ハードディスクまたは光ディスクのための読み込みヘッド，書き込みヘッドまたはマイクロ位置決め装置
B81B2201/12	ＳＴＭまたはＡＦＭのマイクロティップ
B81B2201/13	機械的なコネクター，すなわち電気コネクターとして機能しないもの
B81B2203/00	基本的なマイクロ電気機械構造
B81B2203/01	懸架された構造，すなわち運動を許容する構造
B81B2203/0109	ブリッジ
B81B2203/0118	カンチレバー
B81B2203/0127	ダイアフラム，すなわち一方から他方への媒体の流れを制御することができる分離構造，メンブレン，すなわちフィルター機能を有するダイアフラム
B81B2203/0136	櫛歯構造
B81B2203/0145	可撓性の支持部材
B81B2203/0154	トーションバー
B81B2203/0163	ばね支持部材
B81B2203/0172	Ｂ８１Ｂ２２０３／０１５４〜Ｂ８１Ｂ２２０３／０１６３に分類されない可撓性の支持部材
B81B2203/0181	シーソー
B81B2203/019	形状に特徴があるもの
B81B2203/03	静的な構造
B81B2203/0307	アンカー
B81B2203/0315	キャビティ
B81B2203/0323	溝
B81B2203/033	トレンチ
B81B2203/0338	通路
B81B2203/0346	Ｂ８１Ｂ２２０３／０３３〜Ｂ８１Ｂ２２０３／０３３８に分類されない溝
B81B2203/0353	穴
B81B2203/0361	ティップ，柱
B81B2203/0369	形状に特徴があるもの
B81B2203/0376	丸い形状
B81B2203/0384	傾斜形状
B81B2203/0392	Ｂ８１Ｂ２２０３／０３７６〜Ｂ８１Ｂ２２０３／０３８４に分類されない形状
B81B2203/04	電極
B81B2203/05	運動のタイプ
B81B2203/051	基板に平行な軸に沿った運動
B81B2203/053	基板に垂直な軸に沿った運動
B81B2203/055	基板に平行な面内の運動，すなわち面内のいかなる方向へも運動可能なもの
B81B2203/056	基板に平行な面内の回転
B81B2203/058	基板に平行な面外への回転
B81B2203/06	相互に移動可能，例．スライド可能または回転可能，な要素からなるデバイス
B81B2207/00	マイクロ構造システムまたはその補助部分｝
B81B2207/01	制御または処理電子部品に結合されたマイクロ機械デバイスからなるもの，すなわちスマートＭＥＭＳ
B81B2207/012	マイクロ機械デバイスおよび制御または処理電子部品が同じパッケージ内にあるもの
B81B2207/015	マイクロ機械デバイスおよび制御または処理電子部品が同じ基板上にあるもの
B81B2207/017	Ｂ８１Ｂ２２０７／０１２〜Ｂ８１Ｂ２２０７／０１５に分類されないスマートＭＥＭＳ
B81B2207/03	応用指向でないマイクロ機械デバイスのための電子回路，例．制御，電力供給，テスト，保護
B81B2207/05	アレイ
B81B2207/053	可動構造物のアレイ
B81B2207/056	静的構造物のアレイ
B81B2207/07	相互連結
B81B2207/09	パッケージ
B81B2207/091	外部電気信号をパッケージ内の機械構造に伝達するための装置
B81B2207/092	基板内または蓋内に埋め込まれた相互結合
B81B2207/093	導電パッケージシール
B81B2207/094	フィードスルー，ビア
B81B2207/095	蓋を通過するもの
B81B2207/096	基板を通過するもの
B81B2207/097	基板または蓋上に配置され，パッケージシールに覆われる相互結合
B81B2207/098	Ｂ８１Ｂ２２０７／０９２〜Ｂ８１Ｂ２２０７／０９７に分類されない装置
B81B2207/11	環境の影響からデバイスを保護するための，パッケージ以外の構造的特徴
B81B2207/115	パッケージング前にデバイスに直接適用される保護層
B81B2207/99	Ｂ８１Ｂ２２０７／０１〜Ｂ８１Ｂ２２０７／１１５に分類されないマイクロ構造システムまたはその補助部分
