B60G13/003	｛緩衝ユニットを車体またはシャーシへ取り付けることを特徴とするもの｝
B60G13/005	｛緩衝ユニットを車軸または懸架腕へ取り付けることを特徴とするもの｝
B60G13/006	｛短車軸上のもの｝
B60G13/008	｛補助シリンダの使用にかかわるもの（Ｂ６０Ｇ１３／００６が優先）｝
B60G13/02	エネルギーを消滅させる，例．摩擦的に，緩衝器をもつもの
B60G13/04	機械的なもの，例．減衰要素として摩擦を生ずるばねをもつもの
B60G13/06	流体式のもの
B60G13/08	液圧によるもの
B60G13/10	気体圧式のもの
B60G13/12	準流体，すなわち粉末の媒介物をもつもの
B60G13/14	利用できるエネルギー，例．圧搾空気，を蓄える緩衝器をもつもの　｛（アキュームレータを有する液体ばねＢ６０Ｇ１１／３０）｝
B60G13/16	主たる緩衝装置として動的緩衝器，すなわち位相のずれた振動をするばね−質量システム，をもつもの
B60G13/18	エネルギー吸収装置と結合したもの
B60G15/00	結合されたばねと振動緩衝器，例．テレスコピック型，の配列，位置または形状に特徴がある弾性的懸架装置（結合されたばねと振動緩衝器それ自体Ｆ１６Ｆ）
B60G15/02	機械的なばねをもつもの
B60G15/04	機械的なばねと機械的な緩衝器をもつもの　｛または動的緩衝器｝
B60G15/06	機械的なばねと流体式緩衝器をもつもの
B60G15/061	｛緩衝器の内部に搭載されたコイルばねをもつもの｝
B60G15/062	｛ばねが緩衝器の囲りに配置されたもの（Ｂ６０Ｇ１５／０６１，Ｂ６０Ｇ１５／０６７，Ｂ６０Ｇ１５／０７が優先）｝
B60G15/063	｛緩衝器にばねを取り付けることを特徴とするもの（Ｂ６０Ｇ１５／０６５，Ｂ６０Ｇ１５／０６６が優先）｝
B60G15/065	｛ばねの結合を用いることを特徴とするもの
B60G15/066	｛コイルばねとは異なるばね（Ｂ６０Ｇ１５／０６５が優先）｝
B60G15/067	｛ばねおよび緩衝ユニットを車体またはシャーシに取り付けることを特徴とするもの｝
B60G15/068	｛マクファーソン式ストラット型懸架装置に特に適したもの｝
B60G15/07	緩衝器が短車軸に連結され，ばねが緩衝器のまわりに配置されるもの　｛（Ｂ６０Ｇ１５／０６８が優先）｝
B60G15/08	流体ばねをもつもの
B60G15/10	流体ばねと機械的な緩衝器｛またはダイナミックダンパー｝をもつもの
B60G15/12	流体ばねと流体式緩衝器をもつもの
B60G15/14	緩衝器が短車軸に連合され，ばねが緩衝器のまわりに配置されるもの
B60G17/00	車両または走行路面の状態の変化，例．速度または荷重による，に合わせて，ばねまたは振動緩衝器の特性を調節したり，車両の支持面と振動部との間隔を調整したり，または使用中の懸架装置をロックしたりする手段をもつ弾性的懸架装置　｛（チッパー用水平化または安定化装置Ｂ６０Ｐ１／０４５）｝
B60G17/002	｛懸架装置の温度調整によるもの，例．熱作動システム｝
B60G17/005	懸架装置をロックするようにしたもの　｛（格納式車輪のためのものＢ６２Ｄ６１／１２）｝
B60G17/015	電気または電子要素からなる調整手段　（｛Ｂ６０Ｇ１７／００２｝，Ｂ６０Ｇ１７／００５が優先）
B60G17/0152	｛特定の型の懸架ユニットの動作を特徴とするもの（Ｂ６０Ｇ１７／０１９４１が優先）｝
B60G17/0155	｛気体圧式ユニット｝
B60G17/0157	｛非流体ユニット，例．電動機｝
B60G17/016	｛ＩＰＣ８｝車両が走行している場合の，特定の動作，特定の状況，または運転者の入力に対する調整手段の反応に特徴のあるもの｛Ｂ６０Ｇ１７／０１７が優先｝
B60G17/0161	｛主に直線動作中のものＢ６０Ｇ１７／０１６４が優先）｝
B60G17/0162	｛主にステアリング操作，例．コーナリング，追い越しを含む動作中のもの（Ｂ６０Ｇ１７／０１６４が優先）｝
B60G17/0163	｛ステアリングジオメトリー，例．４輪ステアリングを含む制御｝
B60G17/0164	｛主に加速中または制動中のもの｝
B60G17/0165	外的条件に対するもの，例．未舗装の路面，横風
B60G17/017	車両が停止している場合の，調整手段の使用に特徴のあるもの，例．荷積み中，エンジンの始動または停止中におけるもの
B60G17/018	特定の信号処理または調整方法の使用に特徴のあるもの
B60G17/0182	｛パラメータ推定を含むもの，例．オブザーバ，カルマンフィルタ｝
B60G17/0185	故障検出のためのもの
B60G17/019	センサーのタイプまたはその配置に特徴のあるもの｛Ｂ６０Ｇ１７／０１９４１が優先｝
B60G17/01908	｛加速センサまたは傾斜センサ（ジャイロスコープを用いることに特徴のあるものＢ６０Ｇ２１／０８）｝
B60G17/01916	｛水銀スイッチ式装置｝
B60G17/01925	｛振り子式装置｝
B60G17/01933	｛速度，例．相対速度−変位センサ｝
B60G17/01941	｛ピエゾ素子，例．センサーまたはアクチュエータ，の使用に特徴のあるもの｝
B60G17/0195	他の車両の制御方式と結合された調整に特徴のあるもの（サスペンションシステムの制御を含む車両のサブユニットの関連制御Ｂ６０Ｗ１０／２２）
B60G17/02	ばねの特性　｛例．機械的なばねおよび機械式調整手段｝（Ｂ６０Ｇ１７／００５，Ｂ６０Ｇ１７／０１５が優先）
B60G17/021	｛コイルばねである機械的なばね（Ｂ６０Ｇ１７／０２７２が優先）｝
B60G17/023	｛板ばねである機械的なばね（Ｂ６０Ｇ１７／０２７５が優先）｝
B60G17/025	｛ねじりばねである機械的なばね（Ｂ６０Ｇ１７／０２７７，Ｂ６０Ｇ２１／０５５３が優先）｝
B60G17/027	流体手段により調整される機械的なばね（Ｂ６０Ｇ１７／０３３が優先）
B60G17/0272	｛コイルばねである機械的なばね｝
B60G17/0275	｛板ばねである機械的なばね｝
B60G17/0277	｛ねじりばねである機械的なばね（Ｂ６０Ｇ２１／０５５３が優先）｝
B60G17/033	２つ以上のばねに作用する調整手段に特徴があるもの
B60G17/04	流体ばねの特性
B60G17/0408	｛細部，例．懸架装置液の凍結防止，ポンプ，遅延手段それ自体｝
B60G17/0416	｛ハイドロニューマティック懸架装置の弾力性の変化により調整されるもの（Ｂ６０Ｇ１７／０４８が優先）｝
B60G17/0424	｛アキュムレータの空気圧の変化によるもの｝
B60G17/0432	｛油圧シリンダに接続されたアキュムレータの数の変化によるもの（Ｂ６０Ｇ１７／０４２４が優先）｝
B60G17/044	セルフポンピング流体ばね（液体用ポンプＦ０４）
B60G17/048	流体ばねの内部に調整手段をもつもの（Ｂ６０Ｇ１７／０４４が優先）
B60G17/0485	｛ばねが弾性壁，例．平均化バルブ，をもつ空気ばねであるもの｝
B60G17/052	空気ばねの特性（Ｂ６０Ｇ１７／０４８が優先　｛；バルブそれ自体Ｆ１６Ｋ｝）
B60G17/0521	｛弾性壁を有するばね｝
B60G17/0523	｛空気ばねの調整分配器またはバルブ｝
B60G17/0525	｛平均化バルブの高さ調整｝
B60G17/0526	｛分配器ユニット，例．格納式車輪のためのもの（格納式車輪をもつ車両それ自体Ｂ６２Ｄ６１／１２）｝
B60G17/0528	｛圧力調整バルブまたは空気充填バルブ｝
B60G17/056	調整分配器または調整弁　｛ハイドロニューマティックシステムのためのもの｝（Ｂ６０Ｇ１７／０４４〜Ｂ６０Ｇ１７／０４８，　｛Ｂ６０Ｇ１７／０４１６｝が優先；[Ｎ:車両の傾きを制御する流体相互接続システムＢ６０Ｇ２１／０６，Ｂ６０Ｇ２１／１０]；バルブそれ自体Ｆ１６Ｋ）
B60G17/0565	｛高さ調節バルブ｝
B60G17/06	緩衝器の特性　｛例．機械的な緩衝器｝（Ｂ６０Ｇ１７／０１５が優先）
B60G17/08	流体式緩衝器の特性（流体式緩衝器の調整一般Ｆ１６Ｆ９／４４〜Ｆ１６Ｆ９／５３）
B60G21/00	２以上の弾性的に懸架された車輪のための相互連結方式，例．加速，減速または遠心力に関して車体を安定させるためのもの（Ｂ６０Ｇ１７／０３３が優先　｛チッパー用水平化または安定化装置Ｂ６０Ｐ１／０４５｝；曲線路上で車体を内方に傾斜させるための手段と結合された転向できる車輪の操向Ｂ６２Ｄ９／０２）
B60G21/002	｛縦方向のもの｝
B60G21/005	｛横方向のもの｝
B60G21/007	｛車輪の傾きを調整する手段｝
B60G21/02	常時相互連結されているもの
B60G21/023	｛縦方向のもの｝
B60G21/026	｛横方向のもの｝
B60G21/04	機械的に相互連結されているもの
B60G21/045	車両の同じ側，すなわち．左側または右側の異なる車軸上の車輪間に相互連結されているもの
B60G21/05	車両の同じ車軸上の左右の異なる側の車輪間に相互連結されているもの，すなわち．相互連結された左右の車輪懸架装置の車輪間に相互連結されているもの
B60G21/051	｛トレーリングアームツイストビーム車軸｝
B60G21/052	｛そのための取付け手段｝
B60G21/053	｛調整可能なもの｝
B60G21/055	スタビライザーバー
B60G21/0551	｛そのための取付け手段｝
B60G21/0553	｛調整可能なもの｝
B60G21/0555	｛車両ロールを誘導するアクチュエータを含むもの｝
B60G21/0556	｛開放可能な結合を含むもの（Ｂ６０Ｇ２１／０５５５が優先）｝
B60G21/0558	｛スタビライザーの剛性を変化させる手段を含むもの（Ｂ６０Ｇ２１／０５５６が優先）｝
B60G21/06	流体的に相互連結されているもの
B60G21/067	車両の同じ側，すなわち．左側または右側の異なる車軸の車輪間に相互連結されているもの
B60G21/073	車両の同じ車軸の左右の車輪間，すなわち．相互連結する左右の車輪懸架装置の車輪間に相互連結されているもの
B60G21/08	ジャイロスコープの使用により特徴づけられたもの（懸架装置を制御しないで車体を安定化するためのジャイロスコープＢ６２Ｄ３７／０６）
B60G21/10	常時相互連結されてはいないもの，例．加速時のみ，減速時のみ，または舵取り装置の非直線位置でのみ作動するもの
B60G21/103	｛縦方向のもの｝
B60G21/106	｛横方向のもの｝
B60G99/00	このサブクラスの他のグループに分類されない主題事項
B60G99/002	｛車両シャシー上の車両ボディーの懸架装置の詳細｝
B60G99/004	｛ゴムばねを有するその他の懸架装置｝
B60G99/006	｛金属ばねを用いたその他の懸架装置｝
B60G99/008	｛流体ばねを用いたその他の懸架装置｝
B60G2200/00	懸架装置の型に関するインデキシングコード
B60G2200/10	独立懸架装置
B60G2200/13	縦アームのみを有するもの
B60G2200/132	単一トレーリングアームを有するもの
B60G2200/1322	ウィッシュボーンアームまたは三角アームを有するもの
B60G2200/1324	弾性トレーリングアームを有するもの
B60G2200/14	横アームを有するもの
B60G2200/141	１本のトレーリングアームと１本の横アームのみを有するもの
B60G2200/142	単一の横アームを有するもの，例．マクファーソン型
B60G2200/1422	弾性の横アーム
B60G2200/1424	Ｌ字形状の横アーム
B60G2200/143	互いに交差する横アームを有するもの，すなわち縦軸に沿って見た時のＸ構造
B60G2200/144	平行四辺形を形成する横アームを有するもの
B60G2200/1442	縦ロッドを含むもの
B60G2200/154	横アームがＬ形状のもの
B60G2200/156	仮想的な頂点が二つのリンクにより形成されるウイッュボーン型のアーム
B60G2200/17	車輪支持部に接合されることで懸架構造を向上させる支材を有するもの
B60G2200/18	マルチリンクサスペンション，例．弾性運動装置
B60G2200/182	１つの縦アームまたはロッドおよび横ロッドを有するもの
B60G2200/184	非対称装置
B60G2200/20	半剛性車軸懸架装置
B60G2200/21	ねじれビームにより連結されるトレーリングアーム，すなわちツイストビーム車軸
B60G2200/22	直線形トーションバーにより連結されるトレーリングアーム
B60G2200/23	Ｕ字形トーションバーにより連結されるトレーリングアーム
B60G2200/24	相互連結された分割車軸
B60G2200/30	車軸懸架装置
