A61G7/015	異なる調節可能な部分に分割されているもの，例．ギャッチポジションのためのもの
A61G7/018	制御または駆動機構
A61G7/02	便器設備を有するもの，または便器と共に使用するのに特に適合させたもの
A61G7/047	特に衛生的な目的を持ったベッド，　｛例．浣腸，灌注，洗浄（Ａ６１Ｇ７／０２が優先；寝たきりの人を入浴させる手段Ａ６１Ｇ７／０００５）｝
A61G7/05	ベッドの部品，細部または付属品（落下防止装置Ａ４７Ｃ２１／０８，Ａ４７Ｄ７／００；　｛マットレスＡ４７Ｃ２７／００｝）
A61G7/0501	｛病人にかかる寝具の重さを軽減するための寝具支持具（ベッドカバー把持具Ａ４７Ｃ２１／０２）｝
A61G7/0502	｛使い捨てシーツ分配器｝
A61G7/0503	｛容器，例．ドレナージまたは尿袋，のための把持具，支持具（輸液用の吊り下げ装置Ａ６１Ｍ５／１４１８）｝
A61G7/0504	｛病人を，例．緊急事態，災害または火災の発生時，マットレスと一緒に避難させるための装着具または拘束用具（拘束一般Ａ６１Ｆ５／３７）｝
A61G7/0506	｛ヘッドまたはフットボード（快適性または人間工学のためのヘッドまたはフットボード　Ａ４７Ｃ１９／０２２）｝
A61G7/0507	｛サイドレール｝
A61G7/0508	｛接続機構によって特徴づけられるもの｝
A61G7/0509	｛下方にスライドまたは旋回するもの｝
A61G7/051	｛側方に旋回するもの｝
A61G7/0512	｛カスタマイズされた長さによって特徴づけられるもの｝
A61G7/0513	｛ベッドの特定の区分をカバーするもの，例．ベッドに沿った一つ以上のサイドレール｝
A61G7/0514	｛マットレスサポートフレームのそれぞれの区分に配置されたもの｝
A61G7/0515	｛ベッド全体の長さをカバーするもの，例．ヘッドボードからフットボードまで｝
A61G7/0516	｛高さ調節機能をもつもの｝
A61G7/0518	｛急速離脱可能なもの｝
A61G7/0519	｛収納可能なもの，例．マットレスの下に｝
A61G7/052	｛安全手段によって特徴づけられるもの｝
A61G7/0521	｛サイドレールまたはマットレスを動かす際の身体の損傷を防ぐためのピンチ防止手段，例．隙間および格子カバー、特別な形または警告のための電気的手段を備えたサイドレールの部品｝
A61G7/0522	｛サイドレールの表面を柔らかくするパディング手段｝
A61G7/0524	｛一体となった付属品によって特徴づけられるもの，例．ベッドの制御手段、ナースコールまたは読書灯｝
A61G7/0525	｛サイドボルスタ（ベッドのために特別に適応した足のせ　Ａ６１Ｇ７／０６５；落下防止のための非医療機器　Ａ４７Ｃ２１／０８）｝
A61G7/0526	｛拘束用のエンクロージャ（サイドレール　Ａ６１Ｇ７／０５０７；無菌環境を維持するためのエンクロージャ　Ａ６１Ｇ１０／００５；身体ｔまたは身体部分のための抑制装置　Ａ６１Ｆ５／３７）｝
A61G7/0527	｛計量装置｝
A61G7/0528	｛キャスターホイール用のステアリングまたはブレーキ装置｝
A61G7/053	ベッド乗り降り補助具，例．段，いす，　｛杖状の支持具｝
A61G7/0533	｛体を持ち上げる柱｝
A61G7/0536	｛持ち上げるためのひも，通常はベッドの端に取り付けられて，病人が座る姿勢に体を起こすために自分でそのひもをしっかりと握る｝
A61G7/057	床ずれ防止または火傷患者支持装置，例．そのために特に適合させたマットレス　｛（マットレスの通気用孔Ａ４７Ｃ２１／０４２；気圧を利用したまたは水圧を利用したマットレスＡ４７Ｃ２７／０８）｝
A61G7/05707	｛一体型の体を支える突起物または隆起物を有するもの｝
A61G7/05715	｛モジュラーブロックを有する物，または挿入物，異なる材料でできた層を有するもの｝
A61G7/05723	｛体の一部分にかかる圧力を取り除くための切り抜き部または凹部を有するもの（窩を有するマットレスＡ４７Ｃ２７／１４Ｂ(ＥＣＬＡ)）｝
A61G7/0573	｛交互に動く部分を有するマットレスのフレームを有するもの（調節可能なマットレスのフレームＡ６１Ｇ７／０１５）｝
A61G7/05738	｛流体状の粒子を有するもの，例．砂，泥土，種実，ゲル化物，ビーズ｝
A61G7/05746	｛気流によって流動化するもの｝
A61G7/05753	｛真空になったもの，例．病人の体の形に適合させるため（真空の副木Ａ６１Ｆ５／５８Ｇ(ＥＣＬＡ)）｝
A61G7/05761	｛病人に接触せず固定されない膜またはエアクッションで支持されるもの｝
A61G7/05769	｛膨張する室を有するもの｝
A61G7/05776	｛２グループ以上の交互に膨張する室を有するもの｝
A61G7/05784	｛換気手段をもつもの，例．換気孔または換気扇付きマットレスまたはクッション｝
A61G7/05792	｛低空気損失機能をもつもの，例．マットレス、上掛けまたはベッドに｝
A61G7/065	そのために特に適合させたささえ
A61G7/07	頭または胴体のためのもの，例．特別な背もたれ　｛（枕一般Ａ４７Ｇ９／００Ａ(ＥＣＬＡ)）｝
A61G7/072	｛頭だけのためのもの｝
A61G7/075	手足のためのもの
A61G7/0755	｛脚または足のためのもの｝
A61G7/08	病弱者ベッドの輸送装置
A61G7/10	病弱者リフト装置，例．そのための巻き上げ機の特別な応用
A61G7/1001	｛特定のアプリケーションに特に適合したもの｝
A61G7/1003	｛浴槽との組合せ｝
A61G7/1005	｛スイミングプールとの組み合わせ｝
A61G7/1007	｛トイレとの組み合わせ｝
A61G7/1009	｛患者の下にベッドパンを置くための臀部昇降装置｝
A61G7/1011	｛床から持ち上げるもの｝
A61G7/1013	｛患者を持ち上げるもの｝
A61G7/1015	｛ケーブル、チェーンまたはコード｝
A61G7/1017	｛旋回アーム，例．クレーンタイプの機構｝
A61G7/1019	｛垂直方向の拡張列または機構｝
A61G7/1021	｛膨張可能なクッション｝
A61G7/1023	｛手動で使用されるスリング｝
A61G7/1025	｛患者の横方向の動き，例．水平方向の移送｝
A61G7/1026	｛スライドするシートまたはマット｝
A61G7/1028	｛エアクッションの補助動作によるもの｝
A61G7/103	｛トランスファーボード｝
A61G7/1032	｛エンドレスベルト｝
A61G7/1034	｛ローラ、レールまたはその他の手段｝
A61G7/1036	｛患者のローディングとアンロードを容易にするもの，例．フラップまたは追加の傾斜を利用するもの｝
A61G7/1038	｛手動揚重補助，例．フレームまたはラック｝
A61G7/104	｛運搬、または支持要素｝
A61G7/1042	｛レールシステム（懸架要素による歩行補助　Ａ６１Ｈ３／００８）｝
A61G7/1044	｛静止固定手段，例．表面またはベッドに固定されるもの｝
A61G7/1046	｛移動基部，例．車輪をもつもの｝
A61G7/1048	｛補助駆動手段を持つもの｝
A61G7/1049	｛患者の揚重または支持手段の付属物｝
A61G7/1051	｛フレキシブルハーネスまたはスリング｝
A61G7/1053	｛硬質ハーネス｝
A61G7/1055	｛横たわる患者のための揚重プラットホーム、フレームまたはシート｝
A61G7/1057	｛横たわる患者のための支持プラットホーム、フレームまたはシート｝
A61G7/1059	｛シート｝
A61G7/1061	｛ヨーク｝
A61G7/1063	｛安全手段｝
A61G7/1065	｛電気的監視によるもの｝
A61G7/1067	｛調整可能なベースのため｝
A61G7/1069	｛急速離脱のため｝
A61G7/1071	｛冗長ドライブを用いるもの｝
A61G7/1073	｛部品、細部または付属品｝
A61G7/1074	｛保管用の折りたたみ装置｝
A61G7/1076	｛垂直軸を中心に回転するための手段｝
A61G7/1078	｛フレキシブルハーネス用クランプ｝
A61G7/108	｛計量手段｝
A61G7/1082	｛特別に適合したささえ｝
A61G7/1084	｛頭または首｝
A61G7/1086	｛上半身｝
A61G7/1088	｛背中｝
A61G7/109	｛下半身，例．骨盤、臀部｝
A61G7/1092	｛腕｝
A61G7/1094	｛手または手首｝
A61G7/1096	｛膝、上または下脚｝
A61G7/1098	｛足首または足｝
A61G7/16	横たわり面をいすに変換するもの
A61G7/165	｛ベッドから取り外し可能な椅子｝
A61G9/00	寝たきりの人のための差込み便器，小便器または他の衛生装置；そのための洗浄装置，例．便器と小便器を兼ね備えたもの（病人につけられる小便器Ａ６１Ｆ５／４４）
A61G9/003	｛差込み便器｝
A61G9/006	｛小便器｝
A61G9/02	清掃用具　｛（陶器および食器を洗浄および洗い流す機械Ａ４７Ｌ１５／００）｝
A61G10/00	医療を目的とする処置室｛または周りを囲まれた場所｝（早産児保育器，保温器Ａ６１Ｇ１１／００；オゾン，水素または類似物のガス浴装置Ａ６１Ｈ３３／１４；　｛外部の刺激から個人を隔離するためのものＡ６１Ｍ２１／００９４｝；呼吸維持のための容器または簡易の小部屋一般Ａ６２Ｂ３１／００）
A61G10/005	｛隔離室，すなわち一般的には可動式の壁からなる，無菌の環境を維持するための周りを囲まれた場所｝
A61G10/02	人工気象によるもの；所望する気圧に保つ手段によるもの，例．無菌室のためのもの（無塵実験室Ｂ０１Ｌ１／０４；減圧設備Ｂ６３Ｃ１１／３２；航空機内の設備または装着Ｂ６４Ｄ１３／００；空調一般Ｆ２４Ｆ）
A61G10/023	｛高圧または減圧または可変気圧で病人を治療する為の部屋｝
A61G10/026	｛高圧酸素療法｝
A61G10/04	酸素テント　｛酸素フード｝
A61G11/00	早産児保育器；保温器
A61G11/001	｛高さ調節可能な要素｝
A61G11/002	｛高さ調節可能な患者支持具｝
A61G11/003	｛高さ調節可能なヒーター｝
A61G11/004	｛高さ調節可能な光源｝
A61G11/005	｛可動式の壁，例．内部にアクセスするための，取り外し可能な壁｝
A61G11/006	｛旋回によるもの｝
A61G11/007	｛平行移動によるもの｝
A61G11/008	｛水平軸についてチルト可能なもの，例．振動｝
A61G11/009	｛手挿入用窓付き，例．壁に｝
A61G12/00	看護設備，例．病院，でこのサブクラス内の前のグループに属しないもの，例．薬または食物の輸送のための手押車（サービス用またはティー用のテーブル，手押車またはワゴンＡ４７Ｂ３１／００）；処方リスト
A61G12/001	｛薬，食物，リネン，看護用品を運ぶ為の手押車（手術または診断に特に適したカートＡ６１Ｂ１９／０２４８；手押カートＢ６２Ｂ３／００）｝
A61G12/002	｛供給機器，例．ガス、液体、電気供給用カラム（ユーティリティラインを受けるための垂直ダクトまたはチャネル　Ｅ０４Ｆ１７／０８；電気ケーブルまたはラインの取付け、壁のトランキング　Ｈ０２Ｇ３／０４３１；他の物品と+E315照明装置の構造の組合せ　Ｆ２１Ｖ３３／００６８；装置または物品のための支持具としてのスタンド、または架台　Ｆ１６Ｍ１１／００；公共の目的のための建物　Ｅ０４Ｈ３／０８）｝
A61G12/004	｛天井に取り付けられたもの｝
A61G12/005	｛壁に取り付けられたもの｝
A61G12/007	｛床に取り付けられたもの，例．軌道｝
A61G12/008	｛移動基部に取り付けられたもの，例．手押し車｝
A61G13/00	手術台；そのための補助機器（調節可能な台一般Ａ４７Ｂ９／００；　｛放射線診断のための台Ａ６１Ｂ６／０４，ドレナージまたは灌注用皿，袋，または取付け具Ａ６１Ｇ７／０２，Ａ６１Ｇ７／０５０３｝；手術台の照明Ｆ２１）
A61G13/0009	｛産科用診察台または分娩台（婦人科用の検診台Ａ６１Ｇ１５／００５）｝
A61G13/0018	｛医師用の検査台｝
A61G13/0027	｛検視解剖用，防腐処置用または死体安置用の台｝
A61G13/0036	｛整形外科用の手術台（骨折した手足を伸ばすための装置Ａ６１Ｆ５／０４）｝
A61G13/0045	｛手や手首の手術のために特別に適応したもの｝
A61G13/0054	｛背中や脊髄手術に特に適応したもの｝
A61G13/0063	｛膝の手術に特に適応したもの｝
A61G13/0072	｛肩の手術に特に適応したもの｝
A61G13/0081	｛股関節手術に特に適応｝
