G01G13/2857	｛停止時に落下中の材料，すなわち重量測定器が供給器を停止した時点で供給器から落下しつつある材料，の補償装置｝
G01G13/2858	｛無負荷容器，例．使い捨て容器，の風袋を決定または補正する装置｝
G01G13/29	デジタル計数を伴うもの
G01G13/2906	｛はかり皿または他の容器に自動的に負荷することを制御するためのもの｝
G01G13/2912	｛容器中に材料が目標重量になるように，重量測定機構によって制御される少量供給手段を含むもの｝
G01G13/2918	｛主供給がホッパーまたはシュートからの重力により行われるもの｝
G01G13/2925	｛主供給が機械的運搬手段，例．ベルトコンベヤー，振動コンベヤー，により行われるもの｝
G01G13/2931	｛主供給が空気式運搬手段によるもの，例．粒状物の流体化供給によるもの｝
G01G13/2937	｛停止時に落下中の材料，すなわち重量測定器が供給器を停止した時点で供給器から落下しつつある材料，の補償装置｝
G01G13/2943	｛無負荷容器，例．使い捨て容器，の風袋を決定または補正する装置｝
G01G13/295	容器に自動的に負荷することを制御するためのもの　｛Ｇ０１Ｇ１３／２８５，Ｇ０１Ｇ１３／２９が優先｝
G01G13/2951	｛容器中に材料が目標重量になるように，重量測定機構によって制御される少量供給手段を含むもの｝
G01G13/2952	｛主供給がホッパーまたはシュートからの重力により行われるもの｝
G01G13/2954	｛主供給が機械的運搬手段，例．ベルトコンベヤー，振動コンベヤー，により行われるもの｝
G01G13/2955	｛主供給が空気式運搬手段によるもの，例．粒状物の流体化供給によるもの｝
G01G13/2957	｛停止時に落下中の材料，すなわち重量測定器が供給器を停止した時点で供給器から落下しつつある材料，の補償装置｝
G01G13/2958	｛無負荷容器，例．使い捨て容器，の風袋を決定または補正する装置｝
G01G13/30	リミットスイッチまたは位置感知スイッチを含むもの
G01G13/32	光電装置を含むもの
G01G13/34	重量測定機構により作動されるリンク機構を含むもの
G01G15/00	移動容器に分配された材料の検量装置（包装Ｂ６５Ｂ；　｛参照値との比較を伴う電気的計量装置Ｇ０１Ｒ１７／００）｝
G01G15/001	｛概算重量への体積予配分；目標装置のための重量測定必要量補給装置｝
G01G2015/002	
G01G2015/003	
G01G2015/005	
G01G15/006	｛Ｇ０１Ｇ１５／００１，Ｇ０１Ｇ１５／０２，Ｇ０１Ｇ１５／０４に含まれない電気的，電気機械的または電子的手段を利用するもの｝
G01G2015/007	
G01G2015/008	
G01G15/02	要求される正味重量を得るために材料の必要量を加減する手段をもつもの（自動バッチばかりの少量供給手段Ｇ０１Ｇ１３／０４）
G01G2015/022	
G01G2015/025	
G01G2015/027	
G01G15/04	要求される風袋込みの重量を得るために材料の必要量を加減する手段をもつもの（自動バッチばかりの少量供給手段Ｇ０１Ｇ１３／０４）
G01G2015/042	
G01G2015/045	
G01G2015/047	
G01G17/00	特殊な形状または性質の材料の重量を測定する装置または方法（体積を計ることにより重量を決定するものＧ０１Ｆ）
G01G17/02	繊維状またはシート状の材料の重量を測定するもの
G01G17/04	流体の重量を測定するもの，例．ガス，糊状物
G01G17/06	供給または排出を制御する手段をもつもの
G01G17/08	家畜の重量測定用
G01G19/00	前記グループに分類されない特殊な目的に適応される重量測定装置または方法　｛（参照値との比較を伴う電気的計量装置Ｇ０１Ｒ１７／００）｝
G01G19/002	｛郵便小包および書簡のためのもの｝
G01G19/005	｛電気的または電子的計算手段をもつもの｝
G01G19/007	｛所定重量の材料の複数の等しい部分への分割｝
G01G19/02	車輪の附いたまたは回転する物体，例．車両，の重量を測定するもの
G01G19/021	｛電気的重量感知装置を有するもの（Ｇ０１Ｇ１９／０４からＧ０１Ｇ１９／０７までが優先）｝
G01G19/022	｛車輪の附いたまたは回転する物体の重量を移動中に測定するもの（Ｇ０１Ｇ１９／０４５が優先）｝
G01G19/024	｛電気的重量感知装置を利用するもの｝
G01G19/025	｛輪重はかり｝
G01G19/027	｛電気的重量感知装置を利用するもの｝
G01G19/028	｛衝撃吸収装置（軸受のための衝撃吸収装置Ｇ０１Ｇ２１／０２；緩衝手段Ｇ０１Ｇ２３／０６；衝撃吸収装置そのものＦ１６Ｆ）と組み合わせたもの｝
G01G19/03	移動中に重量測定するためのもの（Ｇ０１Ｇ１９／０４，Ｇ０１Ｇ１９／０７が優先）　｛取り外し可能な容器に分配される材料の重量測定の検量Ｇ０１Ｇ１５／００；流れの間の材料の連続流の重量測定Ｇ０１Ｇ１１／００；Ｇ０１Ｇ１９／０２，例．Ｇ０１Ｇ１９／０２２，Ｇ０１Ｇ１９／０４５が優先｝
G01G19/035	｛電気的重量感知装置を利用するもの｝
G01G19/04	鉄道車両の重量を測定するもの
G01G19/042	｛電気的重量感知装置を利用するもの｝
G01G19/045	｛移動中に鉄道車両の重量を測定するもの｝
G01G19/047	｛電気的重量感知装置を利用するもの｝
G01G19/06	高架式用
G01G19/07	航空機の重量測定用
G01G19/08	車両に結合したもの
G01G19/083	｛リフトトラックはかり｝
G01G19/086	｛車両質量を動的に概算するもの｝
G01G19/10	流体的重量感知装置をもつもの
G01G19/12	電気的重量感知装置をもつもの
G01G19/14	懸吊負荷の重量を測定するもの（Ｇ０１Ｇ３／００が優先；起重機における重量測定装置との結合Ｂ６６Ｃ１／４０，Ｂ６６Ｃ１３／１６）
G01G19/16	流体的重量感知装置をもつもの
G01G19/18	電気的重量感知装置をもつもの
G01G19/20	不平衡負荷の重量を測定するもの
G01G19/22	混合される材料を重量により配分するもの（比率制御Ｇ０５Ｄ１１／００）
G01G19/24	単一の重量測定装置を用いるもの
G01G19/26	２以上の平衡さおを結合したもの
G01G19/28	流体重量感知装置をもつもの
G01G19/30	電気的重量感知装置をもつもの
G01G19/303	｛デジタル計数を伴うもの｝
G01G19/306	｛参照値との比較を伴うもの｝
G01G19/32	２以上の重量測定装置を用いるもの
G01G19/34	電気的制御手段をもつもの
G01G19/343	｛デジタル計数を伴うもの｝
G01G19/346	｛参照値との比較を伴うもの｝
G01G19/36	機械的制御手段をもつもの
G01G19/38	プログラム制御によるもの，例．穿孔テープによるもの（プログラム制御一般Ｇ０５Ｂ１９／００）
G01G19/382	｛デジタル計数を伴うもの｝
G01G19/384	｛参照値との比較を伴うもの｝
G01G19/387	組合わせの重量測定用，すなわちその合計重量または数量が要求値に最も近い物品の組合わせを選ぶもの
G01G19/393	２つ以上の重量測定装置を使用するもの
G01G19/40	重量に関連する価格や他の量を指示し，記録し，または計算する装置をもつもの（重量測定装置用指示手段Ｇ０１Ｇ２３／１８；重量測定装置用記録手段Ｇ０１Ｇ２３／１８；計算器一般Ｇ０６）
G01G19/41	機械的計算手段を使用するもの
G01G19/413	電気機械的または電子的計算手段を使用するもの
G01G19/414	電子的計算手段のみを使用するもの
G01G19/4142	｛安全装置，例．エアバッグ装置の起動を制御するもの（車両内の安全装置を始動する電気回路Ｂ６０Ｒ２１／００Ｈ(ＥＣＬＡ)）｝
G01G19/4144	｛商業施設，例．スーパーマーケットにおいて商品の重量を制御するもの，Ｐ．Ｏ．Ｓ．システム｝
G01G19/4146	｛熱量摂取を制御するもの，例．ダイエット管理｝
G01G19/4148	｛郵送する物品の郵便料金を制御するもの（計算手段を有する郵便料金計器Ｇ０７Ｂ１７／０２）｝
G01G19/415	記録手段と結合したもの
G01G19/417	天びんの計算部分を検定する装備をもつもの
G01G19/42	重量測定により計数するもの（Ｇ０１Ｇ１９／３８７が優先）
G01G19/44	人間の体重を測定するもの
G01G19/445	｛水平位置にあるもの｝
G01G19/46	人間の体重を測定するために適したばねばかり
G01G19/48	人間の重量を測定するために適した振り子ばかり
G01G19/50	付加的測定装置，例．身長計，をもつもの
G01G19/52	他の物と結合した重量測定装置，例．家具と結合したもの（ステッキと結合したものＡ４５Ｂ３／０８）
G01G19/54	筆記具またはペーパーナイフと結合したもの
G01G19/56	工具または日用品の柄に結合したもの
G01G19/58	スーツケースまたはトランクのさげ手と結合したもの
G01G19/60	漁具と結合したもの，例．釣ざおと結合したもの
G01G19/62	重量の過不足を測定する装置
G01G19/64	比率を指示する重量測定装置，すなわち，あらかじめ決められた重量または最初の重量に対する比率として重量を表現するためのもの
G01G21/00	重量測定装置の細部
G01G21/02	軸受装置（軸受それ自体Ｆ１６Ｃ）
G01G21/022	｛テープまたはリボンを伴うもの｝
G01G21/025	｛ナイフエッヂとボールまたはローラ軸受との組み合わせを利用するもの｝
G01G21/027	｛油圧または空気圧軸受｝
G01G21/04	ナイフエッヂ軸受
G01G21/06	ボールまたはローラ軸受
G01G21/07	板ばね軸受
G01G21/08	軸受の組立またはその調節手段
G01G21/085	｛ナイフエッヂ軸受（ナイフエッヂ軸受けＧ０１Ｇ２１／０４）｝
G01G21/10	浮遊懸垂；衝撃吸収装置（衝撃吸収装置それ自体Ｆ１６Ｆ）
G01G21/12	狂いを防ぐための装置
G01G21/125	｛ナイフエッヂ軸受（ナイフエッヂ軸受けＧ０１Ｇ２１／０４）｝
G01G21/14	さお
G01G21/16	組み合わされた構成のさお；異なったさお間の連結
G01G21/161	｛異なったさお間の連結｝
G01G21/162	｛ナイフエッヂ軸受を利用するもの（ナイフエッヂ軸受けＧ０１Ｇ２１／０４）｝
G01G21/163	｛ボールまたはローラ軸受を利用するもの（ボールまたはローラ軸受Ｇ０１Ｇ２１／０４）｝
G01G21/165	｛テープまたはリボンを利用するもの（テープまたはリボンＧ０１Ｇ２１／０２２）｝
G01G21/166	｛板ばね支点を利用するもの（たわみ板支点Ｇ０１Ｇ２１／０７）｝
G01G21/167	｛異なった種類の軸受と組み合わせたもの｝
G01G21/168	｛ナイフエッヂとボールまたはローラ軸受と組み合わせたもの｝
G01G21/18	さおとはかり皿とのリンク結合
G01G21/182	｛ナイフエッヂ軸受を利用するもの（ナイフエッヂ軸受けＧ０１Ｇ２１／０４）｝
G01G21/184	｛ボールまたはローラ軸受を利用するもの（ボールまたはローラ軸受Ｇ０１Ｇ２１／０６）｝
G01G21/186	｛テープまたはリボンを利用するもの（テープまたはリボンＧ０１Ｇ２１／０２２）｝
G01G21/188	｛板ばね支点を利用するもの（板ばね支点Ｇ０１Ｇ２１／０７）｝
G01G21/20	精密重量測定装置用
G01G21/22	はかり皿または他の重量測定容器；はかり台
G01G21/23	はかり台の支持または懸垂（Ｇ０１Ｇ２１／２４が優先）
G01G21/235	｛ナイフエッヂ軸受を利用するもの（ナイフエッヂ軸受Ｇ０１Ｇ２１／０４）｝
G01G21/24	はかり皿の平行運動を確実にするためのガイドまたはリンク機構
G01G21/241	｛ナイフエッヂ軸受と組み合わせたもの（ナイフエッヂ軸受Ｇ０１Ｇ２１／０４）｝
G01G21/242	｛ボールまたはローラ軸受と組み合わせたもの（ボールまたはローラ軸受Ｇ０１Ｇ２１／０６）｝
G01G21/243	｛テープまたはリボンと組み合わせたもの（テープまたはリボンＧ０１Ｇ２１／０２２）｝
G01G21/244	｛板ばね支点と組み合わせたもの（板ばね支点Ｇ０１Ｇ２１／０７）｝
G01G21/245	｛異なった種類の軸受と組み合わせたもの｝
G01G21/246	｛ナイフエッヂ軸受とボールまたはローラ軸受とを組み合わせたもの｝
G01G21/247	｛ナイフエッヂ軸受とテープまたはリボンとを組み合わせたもの｝
G01G21/248	｛ナイフエッヂ軸受と板ばね支点とを組み合わせたもの｝
G01G21/26	平衡おもり；分銅；分銅組；分銅収納用ホルダー
G01G21/28	フレーム；ハウジング
G01G21/283	
G01G21/286	
G01G21/30	塵で汚れるのを予防する手段
G01G23/00	重量測定装置の付属装置
G01G23/002	｛すえ付け傾斜を補正する手段（振り子装置Ｇ０１Ｇ１／１６のための手段）｝
G01G23/005	｛過負荷を防止する手段｝
G01G23/007	｛電力を発生する集積装置，例．太陽電池｝
G01G23/01	重量測定装置の試試または較正
G01G23/012	
G01G23/015	
G01G23/017	
G01G23/02	休止機構；制止機構
G01G23/04	精密重量測定装置用
G01G23/06	緩衝手段，例．さおの
G01G23/08	流体的手段によるもの
G01G23/10	電気的または磁気的手段によるもの
G01G23/12	負荷の移動による振動を防止するのに特に適合するもの
G01G23/14	風袋重量を決定するためのまたは零もどしによって風袋分を除去するための装置，例．機械的に作動されるもの（自動負荷との関連Ｇ０１Ｇ１３／１４）
G01G23/16	電気的または磁気的に作動されるもの
G01G23/163	｛デジタル計数を伴うもの｝
G01G23/166	｛参照値との比較を伴うもの｝
G01G23/18	指示装置，例．遠隔指示用，記録装置；目盛，例．分度されたもの
G01G23/20	機械的手段による重量指示
G01G23/203	｛車輪形カウンターをもつもの｝
G01G23/206	｛そのための特別に分度された目盛（Ｇ０１Ｇ２３／２４が優先）｝
G01G23/22	価格指示器と結合したもの
G01G23/24	対数目盛を含むもの
G01G23/26	表示部材の作動，例．機械的増幅器
G01G23/28	補助または記憶マークを含むもの
G01G23/30	目盛の照明手段をもつもの
G01G23/32	光学的投影手段による重量指示
G01G23/34	価格指示装置との結合
G01G23/35	写真記録による重量指示
G01G23/36	電気的手段による重量指示，例．光電池を使用するもの
G01G23/361	｛光電池を利用するもの｝
G01G23/362	｛電気的接触を利用するもの｝
G01G23/363	｛磁気的または容量接触を利用するもの｝
G01G23/365	参照値との比較を伴うもの（Ｇ０１Ｇ２３／３７が優先）
G01G23/37	デジタル計数を伴うもの
G01G23/3707	｛マイクロプロセッサを利用するもの｝
G01G23/3714	｛フィードバック手段をもつもの｝
G01G23/3721	｛結果の特定の表現をもつもの，例．グラフィック｝
G01G23/3728	
G01G23/3735	
G01G23/3742	
G01G23/375	コード化素子の運動中におこなうもの
G01G23/38	重量測定装置に特に適合した記録および／またはコード化装置（計算機それ自体Ｇ０６；円板変換器一般Ｇ０８Ｃ）
G01G23/40	機械的に作動されるもの
G01G23/42	電気的に作動されるもの
G01G23/44	そのためのコード化装置
G01G23/46	重量測定機構が静止するまで記録を妨げる装置
G01G23/48	温度補償装置（Ｇ０１Ｇ１／１４，Ｇ０１Ｇ１／４２，Ｇ０１Ｇ３／１８が優先）
