H04Q5/00	２以上の加入者が同一の線路によって交換機に接続されているところの選択配置
H04Q5/02	全加入者のための直接接続のあるもの，すなわち共同線方式（Ｈ０４Ｑ５／２４が優先）
H04Q5/04	一方または他方の電線または両方の電線または付加電線における電流により信号をするもの
H04Q5/06	直流の振幅または極性により信号をするもの
H04Q5/08	連続交流により信号をするもの
H04Q5/10	個々の加入者に対し単一周波数を用いるもの
H04Q5/12	周波数の結合を用いるもの
H04Q5/14	パルスにより信号をするもの
H04Q5/16	所定数のパルスによるもの
H04Q5/18	間接接続をもつもの，すなわち従交換点を通るもの
H04Q5/20	所轄の加入者の相互接続を許す従交換点
H04Q5/22	所轄の加入者の相互接続を許さない従交換点
H04Q5/24	２共同方式のためのもの
H04Q5/245	｛２加入者のうち，１人の加入者には低周波音声および／または信号制御信号が使用される一方，他の加入者には低周波音声および／または信号制御信号が高周波搬送信号で変調される回路装置｝
H04Q9/00	遠隔制御システムまたはテレメータシステムにおいて一つのメインステーションから一つのサブステーションを選択的に呼び出すための配置であって，そのサブステーションは対象となる装置を選択して，その装置に制御信号を印加し，またはその装置から測定値を得るもの
H04Q9/02	自動的に操作される配置
H04Q9/04	同期操作のための配置
H04Q9/06	直流の振幅または極性の使用による呼び出し
H04Q9/08	連続交流の使用による呼び出し
H04Q9/10	別々の単一周波数の使用によるもの
H04Q9/12	周波数の結合を使用するもの
H04Q9/14	パルスの使用による呼び出し
H04Q9/16	所定数のパルスによるもの
H04Q11/00	多重化方式のための選択配置（多重化方式Ｈ０４Ｊ）
H04Q11/0001	｛光交換を使用するもの｝
H04Q11/0003	｛詳細｝
H04Q11/0005	｛スイッチおよびルータのアスペクト｝
H04Q2011/0007	工事
H04Q2011/0009	波長フィルタを使用するもの
H04Q2011/0011	波長変換を使用するもの
H04Q2011/0013	ゲート増幅器を使用するもの
H04Q2011/0015	分割結合を使用するもの
H04Q2011/0016	波長多重または逆多重を使用するもの
H04Q2011/0018	同調型送信機または受信機を使用するもの
H04Q2011/002	光遅延回線または光バッファまたは光再循環を使用するもの
H04Q2011/0022	ファイバ格子を使用するもの
H04Q2011/0024	空間スイッチングを使用するもの
H04Q2011/0026	自由空間伝搬を使用するもの，（例．レンズ，ミラー）
H04Q2011/0028	ホログラムを使用するもの
H04Q2011/003	マイクロ電気機械システムに基づいたスイッチを使用するもの（ＭＥＭＳ）
H04Q2011/0032	静的波長ルータを使用するもの，（例．アレイド導波路格子ルータ（ＡＷＧＲ）
H04Q2011/0033	時分割スイッチングを使用するもの
H04Q2011/0035	種々の構成要素を使用するもの，例．サーキュレーター，偏波，音響／熱，光電
H04Q2011/0037	操作
H04Q2011/0039	電気的制御
H04Q2011/0041	光学的制御
H04Q2011/0043	フォールトトレランス
H04Q2011/0045	同期
H04Q2011/0047	放送；マルチキャスト
