C07K9/003	｛複素環基に置換されたペプチド，例．　ブレオマイシン，　フレオマイシン｝
C07K9/005	｛分子中に図の基礎構造を含有するもの，ここで　ｍ，ｎ　＞　Ｏ　そして　ｍ＋ｎ　＞　Ｏ，　Ａ，Ｂ，Ｄ，Ｅ　は異種原子；　Ｘ　は結合または鎖，例．　ムラミルペプチド｝
C07K9/006	｛環構造の一部であるペプチド配列｝
C07K9/008	｛糖類基の異項原子に直接結合したもの，例．　アクタプラニン，アポパルシン，リストマイシン，バンコマイシン｝
C07K11/00	確定されたアミノ酸配列をもつ，２０個以下のアミノ酸を含有するデプシペプチド；その誘導体
C07K11/02	環状，例．バリノマイシン　｛その誘導体｝
C07K14/00	２１個以上のアミノ酸を含有するペプチド；ガストリン；ソマトスタチン；メラノトロピン；その誘導体
C07K14/001	｛化学合成によるもの｝
C07K14/003	｛ペプチド−核酸　（ＰＮＡｓ）｝　
C07K14/005	ウイルスから
C07K14/01	ＤＮＡウイルス
C07K14/015	パルボウイルス科，例．ネコ汎全白血球減少症ウイルス，ヒトパルボウィルス
C07K14/02	ヘパドナウイルス科，例．Ｂ型肝炎ウイルス
C07K14/025	パポーバウイルス科，例．乳頭腫ウイルス，ポリオーマウイルス，ＳＶ４０，ＢＫウイルス，ＪＣウイルス
C07K14/03	ヘルペスウイルス科，例．仮性狂犬病ウイルス
C07K14/032	｛仮性狂犬病ウイルス，すなわち，アンジェツキィウィルス｝
C07K14/035	単純ヘルペスウイルスＩまたは��
C07K14/04	水痘−帯状ヘルペスウイルス
C07K14/045	サイトメガロウイルス
C07K14/05	エプスタイン−バールウイルス
C07K14/055	マレック病ウイルス
C07K14/06	ウシ伝染性鼻腔気管炎ウイルス
C07K14/065	ポックスウイルス科，例．アビポックスウイルス
C07K14/07	ワクシニアウイルス；痘瘡ウイルス
C07K14/075	アデノウイルス科
C07K14/08	ＲＮＡウイルス
C07K14/082	｛アルテリウィルス科，例．　ＥＡＶ，　ＰＲＲＳＶ｝　
C07K14/085	ピコルナウイルス科，例．コクサッキーウイルス，エコーウイルス，エンテロウイルス
C07K14/09	口蹄疫ウイルス
C07K14/095	ライノウイルス
C07K14/10	Ａ型肝炎ウイルス
C07K14/105	ポリオウイルス
C07K14/11	オルソミクソウイルス科，例．インフルエンザウイルス
C07K14/115	パラミクソウイルス科，例．パラインフルエンザウイルス
C07K14/12	おたふくかぜウイルス；はしかウイルス
C07K14/125	ニューカッスル病ウイルス
C07K14/13	イヌジステンパーウイルス
C07K14/135	レスプラトリシンシシャルウイルス
C07K14/14	レオウイルス科，例．ロタウイルス，ブルータングウイルス，コロラドダニ熱ウイルス
C07K14/145	ラブドウイルス科，例．狂犬病ウイルス，ドウベンハグウイルス，モコラウイルス，水疱性口内炎ウイルス
C07K14/15	レトロウイルス科，例．ウシ白血病ウイルス，ネコ白血病ウイルス，ヒトＴ細胞白血病−リンパ腫ウイルス
C07K14/155	レンチウイルス，例．ビスナ−マエディウイルス，ウマ伝染性ウイルス，ＦＩＶ，ＳＩＶ
C07K14/16	ＨＩＶ−１；　｛ＨＩＶ−２｝　
C07K14/161	｛ｇａｇ−ｐｏｌ，例．　ｐ５５，　ｐ２４／２５，　ｐ１７／１８，　ｐ７，　ｐ６，　ｐ６６／６８，　ｐ５１／５２，　ｐ３１／３４，　ｐ３２，　ｐ４０｝
C07K14/162	｛外被，例．　ｇｐ１６０，　ｇｐ１１０／１２０，　ｇｐ４１，　Ｖ３，　ペプチド　Ｔ，　ＣＤ４−結束痕｝
C07K14/163	｛調節蛋白質，例．　ｔａｔ，　ｎｅｆ，　ｒｅｖ，　ｖｉｆ，　ｖｐｕ，　ｖｐｒ，　ｖｐｔ，　ｖｐｘ｝
C07K14/165	コロナウイルス科，例．ニワトリ伝染性気管支炎ウイルス
C07K14/17	ブタ伝染性胃腸炎ウイルス
C07K14/175	ブニヤウイルス科，例．カリフォルニヤ脳炎ウイルス，リフトバレー熱ウイルス，ハンターンウイルス
C07K14/18	トガウイルス科；　｛フラビウイルス科｝　
C07K14/1808	｛アルフアウイルスまたはグループ　Ａ　アルボウイルス，例．　シンドビス，　ＶＥＥ，　ＥＥＥ，　ＷＥＥ，　セムリキ　森林熱ウイルス　（風疹ウイルス　Ｃ０７Ｋ１４／１９）｝　
C07K14/1816	｛フラビウイルス科，例．　ペスチウイルス，粘膜病ウイルス，牛ウイルス性下痢ウイルス，古典的ブタ熱ウイルス　（ブタコレラウイルス），　ボーダー病ウイルス｝　
C07K14/1825	｛フラビウイルスまたはグループＢ　アルボウイルス，例．　黄熱病ウイルス，日本脳炎，ダニ媒介脳炎，デング熱｝　
C07K14/1833	｛Ｃ型肝炎；　ＮＡＮＢ肝炎｝　
C07K14/1841	｛Ｇ型肝炎；　　ＮＡＮＢＮＣＮＤＮＥ肝炎｝　
C07K14/19	風疹ウイルス
C07K14/195	細菌から．<br><br><u>注</u><br><br>　グループＣ０７Ｋ１４／２０からＣ０７Ｋ１４／３６５において，該当する場合は，細菌の専門用語の後に，細菌の目（Ｏ），科（Ｆ）または属（Ｇ）が括弧内に示される。
C07K14/20	スピロヘータ（Ｏ）から，例．トレポネーマ，レプトスピラ
C07K14/205	カンピロバクター（Ｇ）から
C07K14/21	シュードモナス（Ｆ）から
C07K14/212	｛モラクセラ，例．　アシネトバクター，モラクセラ，オリゲラ，サイコロバクター｝　
C07K14/215	ハロバクテリウム（Ｆ）から
C07K14/22	ナイセリアから　（Ｆ）　
C07K14/225	アルカリゲネス（Ｇ）から，
C07K14/23	ブルセラ（Ｇ）から
C07K14/235	ボルデテラ（Ｇ）から
C07K14/24	エンテロバクター（Ｆ）から，例．シトロバクター，セラチア，プロテウス，プロビデンシア，モルガネラ，エルシニア
C07K14/245	エセリシア（Ｇ）
C07K14/25	シゲラ（Ｇ）
C07K14/255	サルモネラ（Ｇ）
C07K14/26	クレブシェラ（Ｇ）
C07K14/265	エンテロバクター（Ｇ）
C07K14/27	エルウィニア（Ｇ）
C07K14/275	ハフニア（Ｇ）
C07K14/28	ビブリオ（Ｆ）から
C07K14/285	パスツレラ（Ｆ）から，例．インフルエンザ菌
C07K14/29	リケッチア（Ｏ）から
C07K14/295	クラミジア（Ｏ）から
C07K14/30	マイコプラズマ（Ｏ）から，例．ウシ肺疫菌様微生物（ＰＰＬＯ）
C07K14/305	ミクロコッカス（Ｆ）から
C07K14/31	ブドウ球菌（Ｇ）から
C07K14/315	ストレプトコッカス（Ｇ）から，例．エンテロコッカス
C07K14/3153	｛ストレプトキナーゼ｝　
C07K14/3156	｛肺炎球菌から　（肺炎菌）　（ストレプトキナーゼ　Ｃ０７Ｋ１４／３１５３）｝　
C07K14/32	バチルス（Ｇ）から
C07K14/325	バチルスチューリンゲンシス結晶蛋白質（δ−エンドトキシン）
C07K14/33	クロストリジウム（Ｇ）から
C07K14/335	ラクトバチルス（Ｇ）から
C07K14/34	コリネバクテリウム（Ｇ）から
C07K14/345	ブレビバクテリウム（Ｇ）から
C07K14/35	マイコバクテリウム（Ｆ）から
C07K14/355	ノカルジア（Ｇ）から
C07K14/36	アクチノミセスから；ストレプトミセス（Ｇ）から
C07K14/365	アクチノプラネス（Ｇ）から
C07K14/37	菌類から
C07K14/375	担子菌から
C07K14/38	アスペルギルスから
C07K14/385	ペニシリウムから
C07K14/39	酵母から
C07K14/395	サッカロミセスから
C07K14/40	カンジダから
C07K14/405	藻類から
C07K14/41	地衣類から
C07K14/415	植物から
C07K14/42	レクチン，例．コンカナバリン，血球凝集素
C07K14/425	ゼイン
C07K14/43	｛甘味料，例．｝　タウマチン，　｛モネリン｝
C07K14/435	動物から；ヒトから
C07K14/43504	｛無脊椎動物から｝　
C07K14/43509	｛甲殻類から｝　
C07K14/43513	｛クモ類から｝　
C07K14/43518	｛クモから｝　
C07K14/43522	｛サソリから｝　
C07K14/43527	
C07K14/43531	
C07K14/43536	｛虫から｝　
C07K14/4354	｛線虫から｝　
C07K14/43545	｛カエノルハブジチス｝　
C07K14/4355	｛条虫類から｝　
C07K14/43554	｛さなだ虫から｝　
C07K14/43559	｛吸虫類から｝　
C07K14/43563	｛昆虫から｝　
C07K14/43568	｛スズメバチから｝　
C07K14/43572	｛ミツバチから｝　
C07K14/43577	｛ハエから｝　
C07K14/43581	｛ショウジョウバエから｝　
C07K14/43586	｛カイコから｝　
C07K14/4359	｛ノミから｝　
C07K14/43595	｛腔腸動物から，例．　クラゲ｝　
C07K14/44	原生動物から
C07K14/445	マラリア原虫
C07K14/45	トキソプラズマ
C07K14/455	エイメリア
C07K14/46	脊椎動物から
C07K14/461	｛魚から｝　
C07K14/463	｛両生類から｝　
C07K14/465	鳥類から
C07K14/47	哺乳動物から
C07K14/4701	｛使用されない｝
C07K14/4702	｛調整剤；調節活性｝
C07K14/4703	｛抑制剤；　抑制剤｝
C07K14/4705	｛刺激，促進または活性化活性度｝
