B65C2009/0075	｛接着剤付与ローラの構造的細部｝
B65C2009/0078	｛ドクターブレードの構造的細部｝
B65C2009/0081	｛ラベルウェブバッファー，例．ラベルウェブループ，を形成するための手段｝
B65C2009/0084	｛次に分配されるラベルを再配置するために，ラベルまたはウェブの移送を逆転させるための手段，例．印刷｝
B65C2009/0087	｛裏紙の取扱いの細部｝
B65C2009/009	｛裏当て片から残留しているラベルを剥がすための装置｝
B65C2009/0093	｛剥離位置と非剥離位置との間で切り替わる装置｝
B65C2009/0096	｛裏紙がローラーを通り過ぎることによる，裏紙のその長手軸沿いの回転｝
B65C9/02	ラベル取付けステーションを通過するよう物品，例．容器，を動かすための装置
B65C9/04	物品を回転させるための手段を有するもの
B65C9/045	｛直径の異なった物品を受け入れることに適合したもの，例．回転動作のプログラムを物品の直径に合わせるもの｝
B65C9/06	ラベル取付けステーションで物品を所定の姿勢にするまたは所定の位置に置くための装置
B65C9/062	｛搖動栓を備える瓶の方向合わせのためのもの，すなわち，搖動栓の位置に応答する手段によるもの｝
B65C9/065	｛不規則な形状を有する物品の方向合わせのためのものであって，不規則性が機械的手段により検知されるもの｝
B65C9/067	｛不規則さ，例．穴，斑点またはマーキング，例．ラベルまたは刻印，を有する物品の方向合わせのためのものであって，不規則さまたはマーキングが検知されるもの｝
B65C9/08	ラベルの供給
B65C9/10	ラベルマガジン
B65C9/105	｛複数のマガジンを含む貯蔵装置｝
B65C9/12	スタックから個々のラベルを取り出すもの（印刷のためのものＢ４１Ｆ；積重ねた状態からの物品の取出一般Ｂ６５Ｈ）（｛ラベルまたは付け札をつくるための多段の工程Ｂ３１Ｄ１／０２｝；印刷のためのものＢ４１Ｆ）
B65C9/14	真空によるもの
B65C9/16	給湿装置によるもの
B65C9/18	ストリップからの，例．ロールからの，ラベルの供給
B65C9/1803	｛ラベルがストリップから切り取られるもの｝
B65C9/1807	｛かつ切断手段から物品へ直接移送されるもの｝
B65C9/1811	｛移送が加熱手段を伴うもの｝
B65C9/1815	｛かつ吸引手段により移送されるもの｝
B65C9/1819	｛吸引手段が真空ドラムであるもの｝
B65C9/1823	｛加熱手段を伴う移送，例．ラベルの熱活性化接着剤コーティング｝
B65C9/1826	｛吸引手段が可動式の真空ぼアームまたはパッドであるもの｝
B65C9/183	｛かつ把持手段または供給ローラーにより移送されるもの｝
B65C2009/1834	｛切断手段の細部｝
B65C2009/1838	｛切断ドラム｝
B65C2009/1842	｛温度制御｝
B65C2009/1846	｛レーザ｝
B65C2009/1849	｛流体噴射｝
B65C2009/1853	｛電気抵抗｝
B65C2009/1857	｛協働する２つのナイフ｝
B65C2009/1861	｛１つのナイフが静止状態を維持するもの｝
B65C9/1865	｛ラベルが裏当て片に貼着されているもの｝
B65C9/1869	｛かつ裏当て片から物品へ直接移送されるもの｝
B65C9/1873	｛加熱手段を伴う移送，例．転写印刷のためのもの｝
B65C9/1876	｛かつ吸引手段により移送されるもの｝
B65C9/188	｛吸引手段が真空ドラムであるもの｝
B65C9/1884	｛吸引手段が可動式の真空のアームまたはパッドであるもの｝
B65C2009/1888	｛重なり合ったラベル｝
B65C9/1892	｛ストリップのためのスプールまたはカセット（一般Ｂ６５Ｈ７５／００）｝
B65C9/1896	｛ラベルがストリップから引き剥がされるまたは引き裂かれるもの｝
B65C9/20	ラベルまたは物品に接着性を付与するもの
