G21C5/22	一つの領域が過熱部であるもの
G21C7/00	原子核反応の制御
G21C7/005	｛放射中性子束平坦化｝
G21C7/02	原子炉材料の自己制御性を用いるもの，　｛例．ドップラー効果｝（温度安定性を含む構成Ｇ２１Ｃ７／３２）
G21C7/04	可燃性毒物を用いるもの（燃料棒内の可燃性毒物Ｇ２１Ｃ３／３２６）
G21C7/06	中性子吸収材，すなわち散乱断面積よりもはるかに大きい吸収断面積を有する材料を応用したもの
G21C7/08	固体制御要素，例．制御棒，の変位によるもの
G21C7/10	制御要素の構造
G21C7/103	１つ以上の吸収材のほかに，他の要素，例．燃料または減速材要素を含む制御集合体
G21C7/107	ペブルベッド原子炉に適合された制御要素
G21C7/11	変形可能な制御要素，例．可撓性，伸縮自在，関節式
G21C7/113	平板要素で作られた制御要素；制御要素が十字形の横断面をもつもの
G21C7/117	制御棒のクラスタ；スパイダー構造
G21C7/12	制御要素を所望の位置に移動させる手段（緊急時に制御要素を落下させるものＧ２１Ｃ９／０２）
G21C7/14	機械的駆動機構
G21C7/16	水圧または気圧式駆動
G21C7/18	制御要素に差動運動をあたえる手段
G21C7/20	衝撃吸収装置の配置（衝撃吸収装置一般はＦ１６Ｆ）　｛制動装置｝
G21C7/22	流体状または流動性中性子吸収材の変位によるもの，　｛例．冷却材に中性子吸収材を加えることによるもの｝
G21C7/24	中性子吸収材用物質の選択
G21C7/26	減速材またはその一部の変位によるもの　｛減速材濃度を変化させることによるもの｝
G21C7/27	スペクトルシフト制御
G21C7/28	反射材またはその一部の変位によるもの
G21C7/30	原子炉燃料またはその一部の燃料要素の変位によるもの
G21C7/32	炉心の冷却材の流れの変化によるもの　｛冷却材または減速材の温度を調整することによるもの｝
G21C7/34	一次中性子源の利用によるもの
G21C7/36	制御回路
G21C9/00	原子炉と構造上関連する緊急防護機構　｛例．圧力均等化装置付き安全弁｝（緊急冷却系Ｇ２１Ｃ１５／１８）
G21C9/001	｛爆発に対する物，例．爆破遮蔽物｝
G21C9/002	｛Ｎａ−またはＫａ−反応に対するもの｝
G21C9/004	圧力抑制
G21C9/008	破裂板またはダイアフラム
G21C9/012	熱蓄積によるものまたは蒸気凝縮によるもの，例．アイスコンデンサ
G21C9/016	コアキャッチャー
G21C9/02	事故時に反応度を急速に減少させるための手段，例．原子炉ヒューズ；　｛緊急時に作動する機構を持つ制御要素｝（制御要素それ自体Ｇ２１Ｃ７／００）
G21C9/022	｛原子炉ヒューズ｝
G21C9/024	｛破壊隔壁｝
G21C9/027	固体，例．粒状吸収体，の高速投入によるもの
G21C9/033	吸収流体によるもの
G21C9/04	火災を抑制するための手段　｛地震からの防御｝
G21C9/06	爆発性ガスの蓄積を防止するための手段，例．再結合器　｛（文献なし）｝
G21C11/00	原子炉と構造上関連する遮へい
G21C11/02	生体遮へい（一般Ｇ２１Ｆ）　｛中性子またはガンマー線遮蔽｝
G21C11/022	｛原子炉容器内のもの｝
G21C11/024	｛外殻と構造的に連結したもの｝
G21C11/026	｛壁を通じた開口部または流路の中のもの｝
G21C11/028	｛形状または素材に特徴のあるもの｝
G21C11/04	船舶におけるもの
G21C11/06	反射用遮へい，すなわち中性子の損失を最小にするためのもの
G21C11/08	熱遮へい；遮熱内張り，すなわちガンマ線により発生し，外側の生体遮へいを加熱するおそれのある熱を消散させるための手段　｛熱絶縁｝
G21C11/081	｛絶縁材の非金属層からなるもの｝
G21C11/083	｛一層以上の金属層からなるもの｝
G21C11/085	｛多数の金属層のみからなるもの｝
G21C11/086	｛非金属層と金属層の組み合わせからなるもの，例．金属ー砂ー金属ーコンクリート｝
G21C11/088	｛停滞または循環液からなるもの｝
G21C13/00	圧力容器；格納容器；格納一般（化学的または物理的方法Ｂ０１Ｊ３／００；圧力容器一般Ｆ１６Ｊ１２／００）
G21C13/02	細部
G21C13/022	｛換気装置｝
G21C13/024	圧力容器または格納容器の支持構造
G21C13/028	密封，例．圧力容器または格納容器のためのもの
G21C13/0285	｛容器開口部のためのもの｝
G21C13/032	管と容器壁間の継ぎ手，例．熱応力を考慮に入れるもの
G21C13/036	容器壁内を貫通する管，すなわち壁の両側まで伸びているもの
G21C13/04	膨脹および収縮のための構成
G21C13/06	気密プラグ（圧力容器のためのもの一般Ｆ１６Ｊ１３／００）
G21C13/063	
G21C13/067	管状部材のためのもの，例．スタンドパイプ；プラグ用ロック装置
G21C13/0675	｛プラグ用シール｝
G21C13/073	原子炉容器用の蓋，例．回転可能なもの
G21C13/0735	｛蓋または回転蓋用シール｝
G21C13/08	材料に特徴のある容器；圧力容器用材料の選択
G21C13/087	金属製容器
G21C13/0875	｛管状容器，例．本質的に非圧縮冷却材のためのもの｝
G21C13/093	コンクリート容器
G21C13/0933	｛プレストレストコンクリートでできたもの｝
G21C13/0936	｛プレストレスのための装置および索条に関する詳細｝
G21C13/10	漏洩が起こった場合の汚染を防ぐための手段，　｛例．二重壁｝
G21C15/00	炉心を有する圧力容器内の冷却系；特定の冷却材の選択
G21C15/02	熱を冷却材に伝達する径路の配置；　｛冷却材流制御装置（Ｇ２１Ｃ１９／０４が優先；燃料集合体を通じた冷却材流制御，例．流量制限装置Ｇ２１Ｃ３／３２２）｝
G21C15/04	核分裂性または増殖物質から熱を取り出すもの　｛（Ｇ２１Ｃ３／３２が優先）｝
G21C15/06	燃料要素におけるもの
G21C15/08	減速材から熱を取り出すもの
G21C15/10	反射材または熱遮へいから熱を取り出すもの
G21C15/12	圧力容器から熱を取り出すもの
G21C15/14	ヘッダからのもの；ダクトの連結部からのもの
G21C15/16	気液分離手段を含むもの（分離一般Ｂ０１Ｄ；蒸気トラップＦ１６Ｄ）
G21C15/18	緊急冷却系；原子炉停止後に発生する熱を除去するもの
G21C15/182	｛駆動力を持つ手段を含むもの，例．ポンプ｝
G21C15/185	
G21C15/187	
G21C15/20	燃料チャンネルと減速材の間の仕切りまたは熱絶縁
G21C15/22	ヘッダまたは他の管と冷却管の構造的結合（管の継手一般Ｆ１６Ｌ）
G21C15/24	冷却材の流れを促進するもの（電磁ポンプＨ０２Ｋ４４／０２）
G21C15/243	液体用
G21C15/247	液体金属用
G21C15/25	ジェットポンプを用いるもの
G21C15/253	気体用，例．送風装置
G21C15/257	ヒートパイプを用いるもの　｛（一般Ｆ２８Ｄ，Ｆ２８Ｆ）｝
G21C15/26	対流によるもの，例．煙突状のもの，放散チャンネルを用いるもの
G21C15/28	特定の冷却材の選択（減速材として用いられる場合Ｇ２１Ｃ５／１２；構成それ自体　Ｃ０９Ｋ５／００；　｛有機冷却材Ｇ２１Ｃ５／１２３｝）；｛原子炉冷却材に加えるもの，例．減速材腐食に対する物（原子炉冷却材の浄化および再生Ｇ２１Ｃ１９／３０）｝
G21C17/00	監視；試験（計測一般Ｇ０１）　｛維持｝
G21C17/001	｛機械的シミュレーター（電気的または磁気的シミュレーターＧ０６Ｇ７／５４）｝
G21C17/002	｛漏洩の検出（冷却材または減速材を検査することによるものＧ２１Ｃ１７／０４）｝
G21C17/003	容器，例．圧力容器，の遠隔検査
G21C17/007	容器の外側表面の検査
G21C17/01	容器の内側表面の検査
G21C17/013	検査をする移動体
G21C17/017	原子力設備内の配管または管の検査または保守
G21C17/02	冷却材もしくは減速材を監視するための装置または配置
G21C17/021	｛固体減速材試験，例．黒鉛｝
G21C17/022	液体冷却材または減速材を監視するためのもの
G21C17/0225	
G21C17/025	液体金属冷却材を監視するためのもの　｛（溶融金属試料採取一般Ｇ０１Ｎ１／１２５）｝
G21C17/0255	｛液化金属漏洩検出（パイプライン系統の漏洩検出一般Ｆ１７Ｄ５／００）｝
G21C17/028	気体冷却材を監視するためのもの
G21C17/032	原子炉冷却材の流れの測定または監視　｛（容積または質量流量計測一般Ｇ０１Ｆ）｝
G21C17/035	減速材または冷却材のレベル検出装置　｛（液体レベルの表示または計測一般Ｇ０１Ｆ２３／００）｝
G21C17/038	減速材または冷却材の沸騰検出
G21C17/04	破片の検出
G21C17/041	｛冷却材チャンネルの検査システムに特徴があるもの，例．マトリクスシステム｝
G21C17/042	｛選択的サンプリングのための装置，例．開閉弁，シャッター，回転式切替弁｝
G21C17/044	｛核爆発生成物検出のための検出器および計量装置｝
G21C17/045	｛沈殿室｝
G21C17/047	｛検出および計量回路｝
G21C17/048	｛燃料要素に特別な構造に特徴があるもの，例．密封トレーサーによるもの｝
G21C17/06	燃料もしくは燃料要素を炉心の外側で監視また検査するための装置または配置，例．バーンアップ，汚染に対するもの（Ｇ２１Ｃ１７／０８，Ｇ２１Ｃ１７／１０が優先；原子炉運転中の燃料要素の漏洩の検出Ｇ２１Ｃ１７／０４）
G21C17/063	｛燃焼制御（Ｇ２１Ｃ１７／０６６が優先）｝
G21C17/066	｛球体要素の制御｝
G21C17/07	漏洩試験
G21C17/08	炉心または減速材構造と観察装置，例．テレビジョンカメラ，ペリスコープ，窓，との組合せ
G21C17/10	燃料要素，制御棒，炉心または減速材構造と感知計器，例．放射能，ひずみ測定手段との組合せ
G21C17/102	｛燃料要素または燃料集合体の一部をなす高感度要素（電気エネルギーの直接生産のための熱電素子との構造的結合Ｇ２１Ｃ３／４０）｝
G21C17/104	反応度を測定するもの
G21C17/108	原子炉のフラックスを測定するもの
G21C17/112	温度を測定するもの
G21C17/116	通路または絶縁体，例．電気ケーブル用
G21C17/12	制御要素の一部を形成する検出素子
G21C17/14	原子炉周期計
G21C19/00	原子炉内，例．その圧力容器内，で使用される燃料またはその他の物資の処理，取扱い，または取扱いを容易にするための構成
G21C19/02	取扱い装置の細部
G21C19/04	取り扱われる物体に対する冷却材の流れを制御するための手段；取り扱われるチャンネルを流れる冷却材の流れを制御するための手段　｛例．噴出防止のためのもの｝
G21C19/06	燃料要素または制御要素を保管する貯蔵庫
G21C19/065	｛回転式貯蔵庫｝
G21C19/07	貯蔵ラック；貯蔵プール
G21C19/08	燃料要素を炉心内に導入する前に加熱するための手段；炉心から燃料要素を除去した後，加熱または冷却する手段
G21C19/10	燃料要素または制御要素と協同して用いられる扛重または巻上げ装置（マニプレータＢ２５Ｊ）
G21C19/105	把持または拡張継ぎ手要素をもつもの
G21C19/11	回転継ぎ手要素をもつもの，例．ソケット継ぎ手
G21C19/115	掛け金装置とボール継ぎ手をもつもの
G21C19/12	燃料要素または制御要素に直接，水圧または気圧による力を加えるための構成
G21C19/14	原子炉内の水平チャンネルに用いられることに特徴のあるもの
G21C19/16	原子炉内のチャンネルと連通するための関節結合部を有する，または，入れこ式シュートまたは導管
G21C19/18	燃料要素を，例．貯蔵所から，原子炉の装填領域に移送する装置
G21C19/19	取扱いを容易にするために特に用いられる原子炉の部品，例．燃料要素の装填または取出しを容易にするためのもの
G21C19/20	目的物を圧力容器内に導入するための構成；圧力容器内で目的物を取り扱うための構成；圧力容器から目的物を取り出すための構成
G21C19/202	｛球体状のもの，すなわち．小石状燃料を処理するための機構｝
G21C19/205	｛炉心内での燃料要素の交換，すなわち燃料シャフリング｝
G21C19/207	
G21C19/22	原子炉作動中に圧力容器の内部に近接できるための構成
G21C19/24	圧力容器を一時的に密封する補助容器を用いることによるもの
G21C19/26	変形または破損した燃料要素または制御要素を取り出すための構成；その破損部分を移送する構成
G21C19/28	流体状物質を炉心内に導入するための構成；炉心から流体状物質を取り出すための構成（冷却材の汲上げＧ２１Ｄ）
G21C19/30	循環する流体状物質を，例．核分裂生成物の抽出により，連続的に浄化するもの　｛劣化または腐食生成物，不純物，例．コールドトラップによるもの（循環液体燃料の浄化Ｇ２１Ｃ１９／５０；分離一般Ｂ０１Ｄ）｝
G21C19/303	特に気体用に適合されたもの（気体の汚染除去Ｇ２１Ｆ９／０２）
G21C19/307	特に液体用に適合されたもの（液体の汚染除去Ｇ２１Ｆ９／０４）
G21C19/31	溶融金属用
G21C19/313	コールドトラップを用いるもの
G21C19/317	放射線分解生成物のための再結合装置
G21C19/32	放射性物体または物質を原子炉の取出し領域から，例．貯蔵所へ，移送するための装置；放射性物体または材料を貯蔵所内で取り扱うかまたは貯蔵所から取り出す装置（廃棄物処理Ｇ２１Ｆ９／００）
G21C19/34	核燃料を分解する装置と方法，例．再処理の前工程（遮蔽セルＧ２１Ｆ７／００）
G21C19/36	機械的手段のみ
G21C19/365	燃料からその被覆またはケーシングを除去するもの
G21C19/37	被覆またはケーシングと燃料要素の両方を小片に分割することによるもの，例．切断または剪断によるもの
G21C19/375	減容化装置，例．燃料集合体用
G21C19/38	化学的手段のみ
G21C19/40	臨界状態が，例．貯蔵中に，生ずるのを防止するための構成
G21C19/42	照射済燃料の再処理．<br><br><u>｛注</u><br><br>グループＧ２１Ｃ１９／４２からＧ２１Ｃ１９／５０においては，２００３年１月１日以降の新規文献は，リフォームされたＥＣＬＡ分類手順に従って分類する。すなわち，重要な（発明情報）情報にはＥＣＬＡの分類記号，例．Ｇ２１Ｃ１９／４６，を付与し，他の（二次）情報には，ＩＣＯ分類記号，例．Ｇ２１Ｃ１９／４６，を付与する。｝
G21C19/44	照射済固体燃料について
G21C19/46	水溶液による処理，　｛例．有機的抽出手段の使用によるもの，それら手段の再生を含むもの｝
G21C19/48	非水溶液による処理
G21C19/50	照射済流体状燃料について　｛例．原子炉運転中における燃料再生｝
G21C21/00	原子炉またはその部分品の製造のために特に用いられる装置または方法（一般セクションＢ，例．Ｂ２３）
G21C21/02	非活性被覆管内の燃料要素または増殖要素の製造
G21C21/04	振動による詰込みまたは押圧によるもの　｛ジャケット内燃料の｝
G21C21/06	｛回転式｝スウェジによるもの｛燃料周辺のジャケットの｝
G21C21/08	すべりはめ（スリップフイット）被覆方法によるもの　｛燃料周辺のジャケットを縮ませることによるもの｝
G21C21/10	押出し，引抜きまたは引伸しによるもの　｛ロール圧延，例．額縁技法，によるもの｝
G21C21/12	水圧または高温空気圧製かんによるもの　｛一般に伸ばすことなく圧縮すること，例．爆発物被覆，によるもの｝
G21C21/14	鍍金によるもの　｛燃料｝液体中の
G21C21/16	鋳造またはどぶづけ技術によるもの
G21C21/18	グループＧ２１Ｃ７／００に包含される制御要素の製造
G21C23/00	実験または照射を容易にするための原子炉の設備
