C07D209/54	スピロ縮合しているもの
C07D209/56	３個またはそれ以上の環からなる環系
C07D209/58	[ｂ｝−縮合；　[ｃ｝−縮合
C07D209/60	ナフト[ｂ｝ピロール；水素添加したナフト[ｂ｝ピロール
C07D209/62	ナフト[ｃ｝ピロール；水素添加したナフト[ｃ｝ピロール
C07D209/64	１位に酸素原子を有するもの
C07D209/66	１位および３位に酸素原子を有するもの
C07D209/68	１位および３位に酸素原子および窒素原子を有するもの
C07D209/70	６員環以外の炭素環を含有するもの
C07D209/72	４，７―エンド―アルキレン―イソインドール　｛−４，７−架橋−イソインドール:水素添加誘導体｝
C07D209/74	１位に酸素原子を有するもの
C07D209/76	１位および３位に酸素原子を有するもの
C07D209/78	１位および３位に酸素原子および窒素原子を有するもの
C07D209/80	[ｂ，Ｃ｝縮合；[ｂ，ｄ｝−縮合
C07D209/82	カルバゾール；水素添加したカルバゾール
C07D209/84	分離，例．タールから；精製
C07D209/86	環の炭素原子に直接結合する水素原子，炭化水素基または置換炭化水素基のみを有するもの
C07D209/88	異種原子，または異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，が環の炭素原子に直接結合したもの
C07D209/90	ベンゾ[ｃ，ｄ｝インドール；水素添加したベンゾ[ｃ，ｄ｝インドール
C07D209/92	ナフトスチリル　｛２−ケト−誘導体，例．１，８−ナフト−ラクタム｝
C07D209/94	６員環以外の炭素環を含有するもの
C07D209/96	スピロ縮合しているもの
C07D211/00	他の環と縮合していない，水素化ピリジン環を含有する複素環式化合物<br><br><u>注</u><br><br>１．このグループにおいて，水素化したという用語は，環員相互間または環員と非環員間に，２個以下の二重結合を有していることを意味する；２．水素原子のみをもつピペリジン｛または最大で５個の炭素原子をもつアルキル基が直接｝環の炭素原子に結合するピペリジンはＣ０７Ｄ２９５／００に分類される。
C07D211/02	閉環または水素添加による製造
C07D211/04	環の窒素原子に直接結合する水素原子または炭素原子のみを有するもの
C07D211/06	環原子相互間または環原子と非環原子間に二重結合のないもの
C07D211/08	環の炭素原子に直接結合する水素原子，炭化水素基または置換炭化水素基のみを有するもの
C07D211/10	環の炭素原子に結合する，水素原子のみおよび炭素原子と水素原子のみを有する基を有するもの
C07D211/12	環の窒素原子に結合する水素原子のみを有するもの
C07D211/14	環の窒素原子に炭化水素基または置換炭化水素基が結合しているもの
C07D211/16	アシル化された環の窒素原子を有するもの
C07D211/18	環の炭素原子に結合し，置換された炭化水素基を有するもの
C07D211/20	単結合の酸素原子または硫黄原子により置換された炭化水素基を有するもの（同一の炭素原子に結合する場合Ｃ０７Ｄ２１１／３０）
C07D211/22	酸素原子によるもの
C07D211/24	第２番目の異種原子が結合している硫黄原子によるもの
C07D211/26	窒素原子により置換された炭化水素基を有するもの
C07D211/28	第２番目の異種原子が結合する窒素原子によるもの
C07D211/30	二重結合の酸素原子または硫黄原子によってまたは同一の炭素原子に単結合した２個の酸素原子によつてまたは硫黄原子によって置換された炭化水素基を有するもの
C07D211/32	酸素原子によるもの
C07D211/34	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，により置換された炭化水素基を有するもの
C07D211/36	異種原子，または異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，が環の炭素原子に直接結合したもの
C07D211/38	ハロゲン原子またはニトロ基
C07D211/40	酸素原子
C07D211/42	３位または５位に直接結合しているもの
C07D211/44	４位に結合しているもの
C07D211/46	４位に第２番目の置換基として水素原子を有するもの
C07D211/48	４位に非環状炭素原子が結合しているもの
C07D211/50	アロイル基
C07D211/52	４位の第２番目の置換基としてアリール基を有するもの
C07D211/54	硫黄原子
C07D211/56	窒素原子（ニトロ基Ｃ０７Ｄ２１１／３８）
C07D211/58	４位に結合しているもの
C07D211/60	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基
C07D211/62	４位に結合しているもの
C07D211/64	４位の第２番目の置換基としてアリール基を有するもの
C07D211/66	４位の第２番目の置換基として異種原子を有するもの
C07D211/68	環原子相互間または環原子と非環原子間に１個の二重結合を有するもの
C07D211/70	環の炭素原子に直接結合する水素原子，炭化水素基または置換炭化水素基のみを有するもの
C07D211/72	ヘテロ原子を有するもの，またはヘテロ原子に対する３個の結合をもち，そのうち多くとも１個がハロゲンに対する結合を含む，炭素原子を有するもの，｛例．エステル基またはニトリル基｝環の炭素原子に直接結合したもの
C07D211/74	酸素原子
C07D211/76	２位または６位に結合しているもの
