D21C11/04	アルカリ法廃液からの再生
D21C11/06	パルプ化の際に生じるガスの処理；ガス中の熱回収；｛紙パルプ工場の様々な供給源から発生するガスの処理；ガス状ＳＯ２の再生，例．硫黄化合物を含むパルプ廃液から発生するもの｝
D21C11/063	｛固形物を含むガス流の処理，例．黒液の燃焼から得られる灰（ガスとの直接接触によるパルプ廃液の蒸発Ｄ２１Ｃ１１／１０３；ガスの後燃焼Ｄ２１Ｃ１１／１２７）｝
D21C11/066	｛これらのガスからの固体物質の分離；回収生成物の更なる処理｝
D21C11/08	脱臭；｛ガス流からの悪臭化合物，例．硫化水素またはメルカプタンなどの硫黄化合物，の除去（パルプ廃液の酸化Ｄ２１Ｃ１１／００５７；ガスの後燃焼Ｄ２１Ｃ１１／１２７）｝
D21C11/10	蒸発による廃液の濃縮（蒸発器Ｂ０１Ｄ）
D21C11/103	｛ガスとの直接接触による蒸発，例．熱排煙｝
D21C11/106	｛濃縮中の表面加熱による外皮形成の防止，例．パルプ廃液中に含まれるスケール形成物質の除去によるもの｝
D21C11/12	パルプ廃液の燃焼
D21C11/122	｛製錬の処理，例．溶解｝
D21C11/125	｛還元雰囲気または酸化剤不存在下でのパルプ廃液の分解，すなわち，ガス化または熱分解）｝
D21C11/127	｛ガスの後燃焼によるもの｝
D21C11/14	湿式燃焼；｛事前の蒸発無しでのパルプ廃液の処理，少なくとも一部液相に残るパルプ廃液の酸化によるもの，例．圧力を加えることによるもの（黒液，緑液または白液の酸化Ｄ２１Ｃ１１／００５７）｝
