G09F1/00	折畳み可能または可撓性の材料からなる板紙またはその類似物からなる展示カード
G09F9/405	｛全ての文字に対し同一の表示位置を提供するために，選択された文字が一度に１つの文字のみを収容する共通スクリーン上に投影されるもの｝
G09F9/46	必要な文字が，かさねて配置された多数の文字から選択されるもの
G09F11/00	完全な情報が，それを表示位置に運ぶ可動支持体に恒久的に固着されている，可変情報のための指示装置（商品を連続的または断続的に移動させる装置をもつショーケースまたはショーキャビネットＡ４７Ｆ３／０８；可変情報を提示するために静的手段を用いるものＧ０９Ｆ９／００）
G09F2011/0009	｛ローラーバンド表示器｝
G09F2011/0018	｛それぞれのローラーに１つのモーターを有するもの｝
G09F2011/0027	｛照明されるもの｝
G09F2011/0036	｛多重ループバンド｝
G09F2011/0045	｛回転するバンド上の像固定方法｝
G09F2011/0054	｛封筒の形態の支持体を用いるもの｝
G09F2011/0063	｛ローラーバンド上のマーク付け｝
G09F2011/0072	｛ローラーバンドの張力の保持方法｝
G09F2011/0081	｛車両上で使用されるローラーバンド表示器｝
G09F2011/009	｛バンドの回転中の誤整列を防止するための手段｝
G09F11/02	表示部が回転体，例．円筒，スピンドル，に固着されているもの
G09F11/025	｛回転体が同時に回転するもので，回転体のそれぞれの面がサインの部分を担持するもの｝
G09F11/04	表示部が回転円盤に固着されているもの（Ｇ０９Ｆ１１／０２５が優先）
G09F11/06	表示部がかたい板またはカードであるもの（回転円盤上にあるものＧ０９Ｆ１１／０４）
G09F11/08	表示部が可撓性のシートであるもの（回転円盤上にあるものＧ０９Ｆ１１／０４）
G09F11/10	そのための電気的制御
G09F11/12	表示部が無端のベルト，チェーン類により運ばれるもの
G09F11/14	表示部が固い翼状体，板，カードまたはそれに類する形態になっているもの
G09F11/15	表示部が可撓性のシートであるもの
G09F11/16	そのための電気的制御
G09F11/18	表示部がエンドレスでないベルト，チェーンまたはこれに類するものにより運ばれるもの
G09F11/20	表示部が固い翼状体，板，カードまたはそれに類するものの形態になっているもの
G09F11/21	表示部が可撓性のシートであるもの
G09F11/22	そのための電気的制御
G09F11/23	回転部材の一部をなす広告または表示体，例．穿孔，印刷，または円筒，円盤上のすかしの形状のもの
G09F11/232	｛円盤状のカードまたはカード形に折り畳まれた情報表示装置｝
G09F11/235	そのための電気制御
G09F11/24	たとえば穿孔，印刷，すかしの形で移動するバンドの一部をなす広告または表示
G09F11/26	無端帯のもの
G09F11/28	そのための電気的制御
G09F11/29	エンドレス以外のバンドによるもの
G09F11/295	そのための電気制御
G09F11/30	表示体が装填位置から表示位置まで一つ一つ給送されるもの
G09F11/32	ベルト，チェーン，例．無端のベルト，チェーン，から成っている給送手段
G09F11/325	｛表示体が輸送ベルトや鎖の間に固定されるロールの形態で貯蔵されるもの｝
G09F11/34	電磁石からなる給送手段
G09F13/00	照明サイン；照明広告（Ｇ０９Ｆ９／００，Ｇ０９Ｆ１１／００が優先；静的手段を用いて可変情報を表示するために静的手段を用いる表示の制御一般Ｇ０９Ｇ）
G09F13/005	｛照明の制御器または照明制御システムを含む照明サイン｝
G09F13/02	標示体の前にある人工の光源によって照明されるサイン，ボード，またはパネル
G09F13/04	標示体の後から照明されるサイン，ボード，またはパネル
G09F13/0404	｛光源がサインの文字を形成する箱の中に囲まれているもの｝
