G03F7/16	塗布法；そのための装置（支持体材料への塗布一般Ｂ０５；写真目的用支持体への感光組成物の塗布Ｇ０３Ｃ１／７４）
G03F7/161	｛以前に被覆された表面を用いるもの，例．スタンピングまたはラミネート転写｝
G03F7/162	｛回転支持体の被覆，例．回転器またはスピンナーを用いるもの｝
G03F7/164	｛電気的，静電気的または磁気的な手段を用いるもの；粉体被覆｝
G03F7/165	｛単層，例．ラングミュアーブロジェット法｝
G03F7/167	｛ガス相からのもの，プラズマ析出（Ｇ０３Ｆ７／２０３５が優先）｝
G03F7/168	｛塗布層の仕上げ，例．乾燥，焼成，浸透｝
G03F7/18	カーブした面への塗布
G03F7/20	露光；そのための装置（複製用写真焼付装置Ｇ０３Ｂ２７／００）
G03F7/2002	｛透明な支持体上に不透明なパターンを有する原版を通じて可視光または紫外線を用いるもの，例．フイルム焼付け，映写焼付け；焼付け画像のような原版から可視光または紫外光の反射を用いるもの｝
G03F7/2004	｛特殊な光の使用に特徴があるもの，例．蛍光灯または深紫外線｝
G03F7/2006	｛干渉光を用いるもの；偏光を用いるもの｝
G03F7/2008	｛用いる反射器，拡散器，光または熱ろ過手段，または反射防止手段に特徴があるもの｝
G03F7/201	｛傾斜照明に特徴があるもの；複数の光源を用いることに特徴があるもの；光学装置の回転に特徴があるもの；光学装置，光源，感受性系統またはマスクの相対的動作に特徴があるもの｝
G03F7/2012	｛液体光硬化性組成物を用いるもの，例．フレキソ版またはスタンプのようなレリーフの製造用｝
G03F7/2014	｛リソグラフィ版または回路板，例．真空露光フレーム，のような光感受性板の接触またはフィルム露光｝
G03F7/2016	感光性要素と一体化され，露光後工程において破壊除去される接触マスク
G03F7/2018	インクまたはトナーの選択的塗布，例．インクジェット印刷，によって得られるマスクパターン
G03F7/202	熱的手段，例．レーザ・アブレーション，によって得られるマスクパターン
G03F7/2022	｛多段階露光，例．ハイブリッド；背面露光；ブランケット露光，例．画像反転用；エッジ露光，例．エッジビード除去用；補正露光｝
G03F7/2024	｛現像済み画像に関する｝
G03F7/2026	｛不要物の除去用，例．画像または背景の補正｝
G03F7/2028	｛ウエハ上のエッジビードに関する｝
G03F7/203	｛電磁的放射線または微粒子線への画像様のための露光から成る｝
G03F7/2032	｛前面と背面の同時露光｝
G03F7/2035	｛同時の被覆および露光；ベルトマスクを用いるもの，例．無端のもの｝
G03F7/2037	｛放射Ｘ線または微粒子線による露光，それらの線に対し不透明なパターンを備えるマスクを通じての｝
G03F7/2039	｛放射Ｘ線｝
G03F7/2041	｛液体の存在下で，例．浸漬；液体冷却手段を用いるもの｝
G03F7/2043	｛液体，例．エッチング剤からの化学的活性剤の製造を備えるもの；液体相，例．コンタミネーションレジスト，からの材料の析出を備えるもの｝
G03F7/2045	｛開口を有する原版，例．ステンシル露光マスク，を用いるもの｝
G03F7/2047	｛可視光線または紫外線以外の放射線による露光，例．シャドー焼付け，近接焼付け｝
G03F7/2049	｛カンチレバーを用いるもの｝
G03F7/2051	｛原版無しの露光，例．プログラムされた点源の偏向，光線を用いての走査または描画による，取り扱われた光線源または微粒子線源を用いるもの（Ｇ０３Ｆ７／２０Ｔ(ＥＣＬＡ)が優先）｝
G03F7/2053	｛レーザを用いるもの（アブレーション除去Ｂ４１Ｃ）｝
G03F7/2055	｛印刷版の製造用；液体硬化性組成物の露光｝
G03F7/2057	｛取り扱われた光バルブを用いるもの，例．液晶装置｝
G03F7/2059	｛微粒子線，例．電子線の走査を用いるもの｝
G03F7/2061	｛電子散乱（近接）補正または防止方法｝
G03F7/2063	｛露光マスクまたはレチクル製造用｝
G03F7/2065	｛電子線以外の微粒子線を用いるもの｝
G03F7/213	同一表面の異なる位置を同一光パターンで同時に露光するもの　｛Ｇ０３Ｆ７／７０が優先｝
G03F7/22	同一表面の異なる位置を同一光パターンで逐次露光するもの　｛Ｇ０３Ｆ７／７０が優先｝
G03F7/24	カーブした表面への露光　｛Ｇ０３Ｆ７／７０が優先｝
G03F7/26	感光材料の処理；そのための装置（Ｇ０３Ｆ７／１２からＧ０３Ｆ７／２４が優先）
G03F7/265	｛画像用露光後の無機または有機金属試薬を用いる選択的反応，例．シリル化｝
G03F7/28	粉体画像を得るためのもの（Ｇ０３Ｆ３／１０が優先）
G03F7/30	液体手段を用いる画像様除去
G03F7/3007	｛電気的手段との組み合わせ，例．力場｝
G03F7/3014	｛超音波手段との組み合わせ｝
G03F7/3021	｛回転チャック上に支持されたウエハから｝
G03F7/3028	｛処理のオンウエハモニタリング用手段に特徴のあるもの｝
G03F7/3035	｛シリンダまたは湾曲面上に固定された印刷版から：印刷シリンダから｝
G03F7/3042	｛処理位置から水平に移動した印刷版から｝
G03F7/305	｛ブラッシングまたは摩擦手段に特徴があるもの｝
G03F7/3057	｛現像ユニット以外の処理ユニットに特徴があるもの，例．洗浄ユニット｝
G03F7/3064	｛輸送手段または異なるユニットを制限する手段に特徴があるもの，例．オーバーフロー回避のため｝
G03F7/3071	｛処理管理手段，例．補給のため｝
G03F7/3078	｛同一の機械における異なる種類の感光版の処理，例．ネガおよびポジ感光版｝
G03F7/3085	｛垂直に移送された感光版またはウエブから；処理ユニットにおいて垂直に吊り下げまたは浸漬された感光版から；｝
G03F7/3092	｛材料の回収；廃物処理｝
G03F7/32	そのための液体組成物，例．現像剤
G03F7/322	｛水性アルカリ組成物｝
G03F7/325	｛非水性組成物｝
G03F7/327	｛非水性アルカリ組成物，例．無水第４級アンモニウム塩｝
G03F7/34	選択的転写による画像様除去，例．剥離
G03F7/343	｛フォトリソグラフ感光性材料用ラミネートまたは剥離方法または装置｝
G03F7/346	｛炭素−炭素二重結合を有する非高分子重合性化合物以外の感光性材料を用いるもの｝
G03F7/36	Ｇ０３Ｆ７／３０からＧ０３Ｆ７／３４に包含されない画像様除去，例．ガス流を用いるもの，プラズマを用いるもの
G03F7/38	画像様除去前の処理，例．予熱　｛（Ｇ０３Ｆ７／２６５が優先）｝
G03F7/40	画像様除去後の処理，例．加熱
G03F7/405	｛画像様除去後の無機または有機金属試薬を用いた処理｝
G03F7/42	剥離またはそのための処理剤<br><br><u>注</u><br><br>手段の組み合わせ，例．プラズマおよび放射線，の使用に係わる剥離はグループＧ０３Ｆ７／４２のみに分類される
G03F7/421	｛生物学的手段のみを用いるもの，例．酵素｝
G03F7/422	｛液体のみを用いるもの（Ｇ０３Ｆ７／４２１が優先）｝
G03F7/423	｛無機酸またはその塩を含むもの，鉱物系酸化剤，例．過酸化物，を含むもの｝
G03F7/425	｛無機アルカリ性化合物を含むもの；有機塩基性化合物を含むもの，例．第４級アンモニウム化合物；窒素を含む複素環塩基性化合物｝
G03F7/426	｛有機ハロゲン化合物を含むもの；有機スルフォン酸またはその塩を含むもの；スルフォキシドを含むもの｝
G03F7/427	｛プラズマ手段のみを用いるもの｝
G03F7/428	｛超音波手段のみを用いるもの｝
G03F7/70	マイクロリソグラフィのための露光装置
G03F7/70008	露光光の生成，すなわち光源
G03F7/70016	放電ランプによるもの（放電ランプ自体はＨ０１Ｊ６１／００）
G03F7/70025	レーザによるもの（レーザ自体は Ｈ０１Ｓ３／００）
G03F7/70033	プラズマＥＵＶ光源によるもの（プラズマＥＵＶ光源自体はＨ０５Ｇ２／００）
G03F7/70041	パルス光源によるもの
G03F7/7005	マルチ光源によるもの（パターンを生成することに特化したアドレス可能アレイ光源はＧ０３Ｆ７／７０３９１）
G03F7/70058	マスク照明システム
G03F7/70066	マスク平面内の照明領域の寸法と形状，例．ＲＥＭＡ
G03F7/70075	マスク平面内での照明強度の均一化，インテグレータ，例．フライアイレンズ，ファセットミラー，グラスロッド，の使用によるもの，拡散光学要素によるもの，または，ビーム方向偏差によるもの
G03F7/70083	マスク面内での均一でない強度配分
