F42B8/12	発射体または飛しょう体（Ｆ４２Ｂ１０／４８，Ｆ４２Ｂ１２／３６，Ｆ４２Ｂ１９／３６が優先）
F42B8/14	飛行中または弾着時に崩壊するもの．．<br><br><u>注</u><br><br>グループＦ４２Ｂ８／１４がグループＦ４２Ｂ８／１８からＦ４２Ｂ８／２６に優先。
F42B8/16	粉状または粒状の不活性充填物を含むもの
F42B8/18	小銃てき弾
F42B8/20	迫撃砲てき弾
F42B8/22	投下爆弾
F42B8/24	ロケット
F42B8/26	手榴弾
F42B8/28	地雷または機雷；爆雷
F42B10/00	弾道に影響を及ぼす手段，例．発射体または飛しょう体の空気力学的特性の改善；安定，操舵，射程短縮，射程延伸または降下減速のための発射体または飛しょう体に関する装置（Ｆ４２Ｂ６／００が優先）
F42B10/02	安定装置
F42B10/025	｛発射体弾道を安定させるための旋回または振動塊体を用いるもの｝
F42B10/04	固定翼を用いるもの（Ｆ４２Ｂ１０／２２が優先）
F42B10/06	尾翼
F42B10/08	矢弾（Ｆｌｅｃｈｅｔｔｅ）形発射体
F42B10/10	発射体の変形によって砲身内で形成される翼
F42B10/12	発射体または飛しょう体の縦方向に滑動する翼を用いるもの
F42B10/14	発射後に，例．砲身から離れた後で，広がりまたは開く翼を用いるもの
F42B10/143	
F42B10/146	
F42B10/16	巻き翼
F42B10/18	縦方向に滑動する支持部材を用いるもの
F42B10/20	燃焼ガス圧，または空気力もしくは水圧力によって開くもの
F42B10/22	溝付発射体
F42B10/24	傾斜溝を有するもの
F42B10/26	スピン式（Ｆ４２Ｂ１０／０４，Ｆ４２Ｂ１０／１２，Ｆ４２Ｂ１０／１４，Ｆ４２Ｂ１０／２４，Ｆ４２Ｂ１４／０２が優先）
F42B10/28	ガス作用によって生起されるもの
F42B10/30	ロケット噴射ノズルを用いるもの
F42B10/32	射程短縮または射程延伸装置；降下減速手段
F42B10/34	管状発射体
F42B10/36	環状薄片発射体
F42B10/38	射程延伸装置（Ｆ４２Ｂ１０／３４，Ｆ４２Ｂ１４／０６　｛およびＦ４２Ｂ１５／１０５｝が優先）
F42B10/40	低燃焼装薬の燃焼によるもの，例．発煙体，ベースブリード弾
F42B10/42	流線形発射体
F42B10/44	抗力低減に特に適合した船尾形弾尾
F42B10/46	流線形弾頭；仮帽；レドーム　｛（Ｆ４２Ｂ１２／１０５が優先）｝
F42B10/48	射程短縮，動揺または制動装置，　｛例．衝撃制動装置｝；降下減速手段，　｛例．制動または降下減速のための気球，ロケット｝（Ｆ４２Ｂ１０／３４が優先）
F42B10/50	制動フラップ　｛例．膨張可能なもの｝
F42B10/52	円錐頭部
F42B10/54	スピン制動手段
F42B10/56	パラシュートの　｛またはパラグライダー｝型
F42B10/58	風車落下傘型の
F42B10/60	操舵装置（Ｆ４２Ｂ１９／０１が優先）
F42B10/62	飛行面の動きによる操舵
F42B10/64	翼の
F42B10/66	推力の強さまたは方向の変化による操舵（ロケットエンジン装置の推力ベクトル制御Ｆ０２Ｋ９／８０；｛宇宙航行体に適したジェット機を用いた装置を誘導または制御するものＢ６４Ｇ１／２６｝）
F42B10/661	｛数個の横に作動するロケット原動機を用いるもの，各原動機が個々の推進装薬を収容するもの，例．固体装薬｝
F42B10/663	｛弁により開閉する，複数の横に作動する補助ノズルを用いるもの｝
