A44C21/00	硬貨（流通機構として働くのに適した貨幣Ｇ０７Ｆ１／０６）；臨時硬貨；ビールまたは賭博用硬貨または代用硬貨，または類似物
A44C23/00	ロザリオ
A44C25/00	装身用のいろいろの装飾品，例．｛ペンダント｝，十字架，十字架のキリスト像，時計の鎖などに付ける飾り物｛（吊り下げるひも輪または輪Ａ４４Ｃ３／００８；宝石または類似物の支持台Ａ４４Ｃ１７／０２）｝
A44C25/001	｛ペンダント｝
A44C25/002	｛容器を形作るもの，例．絵画用｝
A44C25/004	｛接合された面のあるもの｝
A44C25/005	｛十字架または十字架のキリスト像｝
A44C25/007	｛魔除けまたはお守り｝
A44C25/008	｛襟，例．シャツの，に着用される宝石（ブローチＡ４４Ｃ１／００）｝
A44C27/00	宝石またはその他の身体の装飾の製造
A44C27/001	｛宝石を製造するための材料｝
A44C27/002	｛金属材料（Ａ４４Ｃ２７／００６が優先）｝
A44C27/003	｛金属合金（合金一般Ｃ２２Ｃ）｝
A44C27/005	｛宝石のコーティング層｝
A44C27/006	｛金属コーティング｝
A44C27/007	｛非金属コーティング｝
A44C27/008	｛形状記憶動作のあるもの｝
