C03B9/195	回転テーブルマシン
C03B9/1955	｛少なくとも２個の回転テーブルをもつもの｝
C03B9/197	ブランクモールドの構造
C03B9/20	バキュムブローイングまたは，バキュームアンドブローマシンにおける成形
C03B9/22	回転テーブルマシン
C03B9/225	｛少なくとも２個の回転テーブルをもつもの｝
C03B9/24	ブランクモールドの構造
C03B9/28	エンドレスチェーン型の機械における成形（Ｃ０３Ｂ９／１２が優先）
C03B9/29	ペーストモールドマシン（Ｃ０３Ｂ９／２８が優先）
C03B9/292	｛そのような機械の細部（Ｃ０３Ｂ９／２９５が優先）｝
C03B9/295	回転テーブルマシン
C03B9/2955	｛少なくとも２個の回転テーブルをもつもの｝
C03B9/30	ブローの細部（口によるブローはＣ０３Ｂ９／０２）；型材料の使用
C03B9/31	積層ガラス物品または封入物，例．ワイヤ，泡，のあるガラスのブロー成形
C03B9/32	中空ガラス物品に特殊な形状を付与するもの
C03B9/325	中空ガラス物品の口部にねじ山またはリップを成形するもの；頸型
C03B9/33	脚または突起を有する中空ガラス物品の製造；そのための型
C03B9/335	吹成中空ガラス物品の底部成形；底型
C03B9/34	他に分類されないガラス吹成型
C03B9/342	｛頸型（Ｃ０３Ｂ９／３２５が優先）｝
C03B9/344	｛底型（Ｃ０３Ｂ９／３３５が優先）｝
C03B9/347	ブランクモールドまたはブローモールドの構造
C03B9/353	モールドホルダー；｛型の開閉機構｝
C03B9/3532	｛共通する垂直軸の周りでの回転により作動する２つ割りの型の保持器のための機構｝
C03B9/3535	｛開閉時に平行な２つ割りの型を用いるもの｝
C03B9/3537	｛直線的な平行移動で移動する２つ割りの型のための機構｝
C03B9/36	ブローヘッド；空気の供給，排出または制御
C03B9/3609	｛吹き込み媒体，例．ガス組成，含水量，極低温状態，の選択または特性｝
C03B9/3618	｛ブローヘッドの保持または移送のための手段｝
C03B9/3627	｛ブローヘッドへの空気の一般的な供給または分配のための手段｝
C03B9/3636	｛マニフォールドまたは調整装置，例．弁｝
C03B9/3645	｛プランジャに関するその細部｝
C03B9/3654	｛頸の成形に関するその細部｝
C03B9/3663	｛中空ガラスの内部の吹き込みに関するその細部｝
C03B9/3672	｛管を用いるもの｝
C03B9/3681	｛可動管｝
C03B9/369	｛底部の成形に関するその細部｝
C03B9/38	ブローマシンの冷却，加熱または保温手段｛または機械によって成形されたガラスの冷却手段｝
C03B9/3808	｛冷却，加熱または断熱媒体，例．ガス組成，含水量，極低温状態，の選択または特性｝
C03B9/3816	｛媒体の型への一般的な供給，分配または制御のための手段，例．センサ，回路，分配網｝
C03B9/3825	｛プランジャに関するその細部｝
C03B9/3833	｛頸の成形に関するその細部｝
C03B9/3841	｛成形されたガラスの直接の冷却，加熱または断熱に関するその細部｝
C03B9/385	｛内部の冷却または加熱のために管，例．ブローヘッド，を用いるもの｝
C03B9/3858	｛移動可能な管｝
C03B9/3866	｛底部の成形に関するその細部，例．じゃま板｝
C03B9/3875	｛型の側壁，本体または主要部分に関するその細部｝
C03B9/3883	｛それらへの空気の配送，例．充満，配管｝
C03B9/3891	｛マニフォールドまたは調整装置，例．弁，注入器｝
C03B9/40	ブローマシンに特に適する伝動または調節機構
C03B9/403	｛油圧または空気圧のシステム｝
C03B9/406	｛マニフォールドまたは調整装置，例．弁｝
C03B9/41	電気的または電子的システム（一般Ｇ０５Ｂ１９／００）
C03B9/42	ブローマシンと組み合わせた溶融または焼切りまたは縁やき手段（溶融によるガラス片の接着はＣ０３Ｂ２３／２０）
C03B9/44	ブローマシンと組み合わせた解放手段，例．取り出し
C03B9/447	ガラス物品のブローモールドからの除去手段，例．テイクアウト
C03B9/453	新たに形成したガラス物品をコンベア上に押し進める手段，例．掃き出し機構；デッドプレート機構
C03B9/4535	｛デッドプレート機構｝
C03B9/46	ブローマシン内での熱いガラスの切断手段（焼切りはＣ０３Ｂ９／４２）
C03B9/48	型材料
C03B11/00	｛溶融｝ガラス｛またはブローなしで低粘度と同等に再加熱されたプリフォームガラス｝のプレス成形｛（プレスブロー処理による溶融ガラスの成形Ｃ０３Ｂ９／００，例．Ｃ０３Ｂ９／１９３；成形ガラスの再成形Ｃ０３Ｂ２３／００；プリフォームガラスの再加熱Ｃ０３Ｂ２９／００；プリフォームまたは押し型ガラスの製造中での輸送Ｃ０３Ｂ３５／００）｝
C03B11/005	｛特別の雰囲気下，例．不活性，反応性，真空，清浄，でのプレス成形｝
C03B11/02	回転テーブルを有する機械におけるプレス
C03B11/04	サクションで種を供給される金型を有する機械におけるプレス
C03B11/05	往復型を有する機械におけるプレス
C03B11/06	プランジャーまたは型の構造
