A41D19/0093	｛保持手段，例．手袋を掛けるための輪｝
A41D19/0096	｛機械的攻撃，例．切断または突き刺しに耐える手段｝
A41D19/01	分かれていない四本の指全体の覆いを有する手袋，すなわちミトン（｛Ａ４１Ｄ１９／００５５｝，Ａ４１Ｄ１９／０１５が優先）
A41D19/015	保護用手袋｛（Ａ４１Ｄ１９／００５５が優先）｝
A41D19/01505	｛機械的攻撃，例．切断または突き刺しに耐えるもの｝
A41D19/01511	｛金網でできたもの，例．肉屋の手袋｝
A41D19/01517	｛押し潰しに対する防護を有するもの，例．指先用｝
A41D19/01523	｛衝撃または振動を吸収するもの｝
A41D19/01529	｛熱または火に対する防護を有するもの｝
A41D19/01535	｛加熱手袋｝
A41D19/01541	｛冷却手袋｝
A41D19/01547	｛握りの改善手段を有するもの｝
A41D19/01552	｛面ファスナーのシステムを用いるもの｝
A41D19/01558	｛握りの改善材料の層を用いるもの（Ａ４１Ｄ１９／０１５５２が優先）｝
A41D19/01564	｛材料の細条片を用いるもの｝
A41D19/0157	｛反射性または発光性の手段を有するもの（反射性または発光性の安全手段を有する保護衣類Ａ４１Ｄ１３／０１）｝
A41D19/01576	｛異なる材料のパッチワークから作られたもの｝
A41D19/01582	｛手を拘束または支持する手段を有するもの｝
A41D19/01588	｛硬い要素を含むもの｝
A41D19/01594	｛付属品，例．工具，収容部，を有するもの｝
A41D19/02	未加工の手袋の裁断または形とりのための装置
A41D19/04	手袋製造のための器具；手袋製造のための測定器具
A41D19/043	｛手袋の裏返し機械（筒状物の内外裏返しＤ０６Ｇ３／００）｝
A41D19/046	｛手袋製作のための測定器具｝
A41D20/00	リストバンドまたはヘッドバンド，例．汗吸収用
A41D20/005	｛冷却効果を有するもの｝
A41D23/00	スカーフ；ヘッドスカーフ；ネッカチーフ
A41D2023/002	｛冷却効果を有するもの｝
A41D2023/004	｛異なる部分からなるもの｝
A41D25/00	ネクタイ
A41D25/001	｛ネクタイの製造｝
A41D25/003	｛保持具を備えるネクタイ，例．シャツへの固定用またはネクタイ両端の保持用のボタン穴または輪｝
A41D25/005	｛異なる部分からなるもの｝
A41D25/006	｛そのための防護物｝
A41D25/008	｛首ループの調節にスライドファスナーを用いるもの｝
A41D25/02	バンドを有するまたは有しない既製の結び目または蝶結びを有するもの
A41D25/022	｛輪または類似のもので似せた結び目を有するもの｝
A41D25/025	｛結び目または蝶結びを形成する手段，例．ネクタイの保持手段と組み合わせられたもの｝
A41D25/027	｛ネクタイの保持手段（Ａ４１Ｄ２５／０２５が優先）｝
A41D25/04	｛バンド｝；バンドの留め具
A41D25/06	使用者により結ばれた，結び目，蝶結びまたは類似物を有するもの
A41D25/08	結び目または類似物を形成または結ぶための手段
A41D25/10	結び目または類似物を保持するための手段
A41D25/12	カラーまたはカラーボタンに取付けられるもの
A41D25/14	同時に結び目形成と保持をする手段
A41D25/16	裏地；補強片
A41D27/00	衣服または衣服製作の細部（ボタン，ピン，バックル，スライドファスナーまたは類似のものＡ４４Ｂ）
A41D27/02	裏地
A41D27/04	取り外し可能な裏地
A41D27/06	補強片
A41D27/08	トリミング；装飾
A41D27/085	｛発光性の装飾品｝
A41D27/10	袖；袖ぐり
A41D27/12	保護物または防護物
A41D27/13	脇の下の保護物
A41D27/133	｛皮膚への自己接着｝
A41D27/136	｛紐で固定されるもの｝
A41D27/14	衣服の下縁にあるもの
A41D27/145	｛縁飾り；ズボン脚の縁用の防護物｝
A41D27/16	えりの保護物
A41D27/18	衣類のえり
A41D27/20	ポケット；ポケットの製造または配置
A41D27/201	｛ポケットの止め具｝
A41D27/202	｛フラップで閉じるスライドファスナーを有するもの｝
A41D27/204	｛ポケットの製造または据付（衣服製造中ポケットの端を折たたむ機械または器具Ａ４１Ｈ３３／００）｝
A41D27/205	｛携帯電話または他の電子機器の収納に適合されたポケット｝
A41D27/207	｛防滴機能を有するもの｝
A41D27/208	｛防水機能を有するもの｝
A41D27/22	吊り下げるためのループまたはフック（錠を有するものＥ０５Ｂ６９／００）
A41D27/24	ヘリ縫い；縫い目
A41D27/245	｛溶着または接着により作られるもの（溶接または接着によるプラスチックの接合Ｂ２９Ｃ６５／００；糸の縫い目と溶着縫い目とを同時的に作るためのミシンＤ０５Ｂ１７／００；縫い目とへり縫いの熱的または化学的な固定Ｄ０６Ｍ）｝
A41D27/26	肩パット；腰パット；バッスル
A41D27/28	通風手段
A41D27/285	｛止め具の調節を有するもの｝
A41D29/00	制服・ユニフォーム；制服・ユニフォームの部分または付属品
