H03L   7/107 120 \	5	5	5J106	H03L   7/107	260	チャージポンプの特性を変更することによるもの，例．ゲインの変更	by altering characteristics of charge pump, e.g. altering gain
H03L   7/107 150 \	5	5	5J106	H03L   7/107	760	ループフィルタの特性を変更することによるもの，例．ゲインの変更，帯域巾の変更（Ｈ０３Ｌ７／１０７　１２０が優先）	by altering characteristics of loop filter, e.g. altering gain, altering bandwidth (H03L7/107 120 takes precedence)
H03L   7/107 170 \	5	5	5J106	H03L   7/107	168	位相または周波数検知手段の特性を変更することによるもの（Ｈ０３Ｌ７／１０７　１２０が優先）	by altering characteristics of phase or frequency detection means (H03L7/107 120 takes precedence)
H03L   7/113  \	4	4	5J106	H03L   7/113	621	周波数弁別器を用いるもの［５］	using frequency discriminator [5]
H03L   7/12  \	4	4	5J106	H03L   7/12	286	掃引信号を用いるもの［２００６．０１］	using a scanning signal [2006.01]
H03L   7/14  \	3	3	5J106	H03L   7/14	537	供給電圧または補正電圧が低下したとき周波数を一定にすることを確実にするためのもの［３］	for assuring constant frequency when supply or correction voltages fail [3]
H03L   7/14 110 \	4	4	5J106	H03L   7/14	4	いくつかの発振器を順番に制御する位相ロックループ	phase lock loop for controling multiple oscillator in order
H03L   7/14 130 \	4	4	5J106	H03L   7/14	114	位相ロックループの基準信号を切り換えることによるもの	by switching standard signal of phase lock loop
H03L   7/14 150 \	5	5	5J106	H03L   7/14	57	切り換える基準信号が制御発振器の出力信号に由来するもの	standard signal to be switched originated in output signal of controled oscillator
H03L   7/14 160 \	4	4	5J106	H03L   7/14	159	発振器制御信号を生成するデジタル手段を用いるもの（Ｈ０３Ｌ７／１４　１１０，Ｈ０３Ｌ７／１４　１３０が優先）	using digital means generating oscillatot controled signal (H03L7/14 110, H03L7/14 130 take precedence)
H03L   7/14 180 \	5	5	5J106	H03L   7/14	17	デジタル手段が計数器または分周器からなるもの	digital means coonsist of counter or divider
H03L   7/16  \	2	2	5J106	H03L   7/16	901	間接的な周波数の合成，すなわち周波数または位相ロックループを用いる予め決められた多数の周波数の内の所望の一つを発生するもの［３］	Indirect frequency synthesis, i.e. generating a desired one of a number of predetermined frequencies using a frequency- or phase-locked loop [3]
H03L   7/18  \	3	3	5J106	H03L   7/18	1102	ループの中に分周器または計数器を用いるもの（Ｈ０３Ｌ７／２０，Ｈ０３Ｌ７／２２が優先）［３］	using a frequency divider or counter in the loop (H03L 7/20, H03L 7/22 take precedence) [3]
H03L   7/18 103 \	4	4	5J106	H03L   7/18	4	分周器または計数器が分周信号を生成するパルススワロー回路に接続されるもの	dvider or counter being connected to pulse swallow circuit generating frequency-division signal
H03L   7/18 106 \	4	4	5J106	H03L   7/18	36	分周器が分周信号を生成する位相積算器からなるもの	frequency divider consist of phase integrator generating ftreqency-division signal
H03L   7/181  \	4	4	5J106	H03L   7/181	27	ループをロックするために数値計数結果を用いるもの，一定期間計数する計数器［５］	a numerical count result being used for locking the loop, the counter counting during fixed time intervals [5]
H03L   7/183  \	4	4	5J106	H03L   7/183	2129	ループをロックするために時間差を用いるもの，一定数値間計数器または一定数値で分周する分周器［５］	a time difference being used for locking the loop, the counter counting between fixed numbers or the frequency divider dividing by a fixed number [5]
H03L   7/185  \	5	5	5J106	H03L   7/185	659	ループ中にミキサーを用いるもの（Ｈ０３Ｌ７／１８７〜Ｈ０３Ｌ７／１９５が優先）［５］	sing mixer in loop (H03L7/187 - H03L7/195 take precedence) [5]
H03L   7/187  \	5	5	5J106	H03L   7/187	749	ループ中の電圧制御発振器を粗同調するための手段を用いるもの（Ｈ０３Ｌ７／１９１〜Ｈ０３Ｌ７／１９５が優先）［５］	usig means for coarse tuning voltage-controlled oscillators in loop (H03L7/1891 - H03L7/195 take precedence) [5]
H03L   7/189  \	6	6	5J106	H03L   7/189	181	粗同調電圧を発生するためのＤ／Ａ変換器を含むもの［５］	comprising a D/A converter for generating a coarse tuning voltage [5]
H03L   7/191  \	5	5	5J106	H03L   7/191	33	時間差を決定するために分周器または計数器から少なくとも２つの異なる信号を用いるもの（Ｈ０３Ｌ７／１９３，Ｈ０３Ｌ７／１９５が優先）［５］	using at least two different signals from the frequency divider or the counter for determining the time difference(H03L7/193, H03L7/195 take precedence) [5]
H03L   7/193  \	5	5	5J106	H03L   7/193	183	互換性のある前置分周器からなる分周器または計数器，例．２モジュール分周器［２００６．０１］	the frequency divider/counter comprising a commutable pre-divider, e.g. a two modulus divider [2006.01]
H03L   7/195  \	5	5	5J106	H03L   7/195	1	ループ中の計数器が２つの異なった非零数値間を計数するもの，例．オフセット周波数を発生するためのもの（Ｈ０３Ｌ７／１９３が優先）［２００６．０１］	in which the counter of the loop counts between two different non zero numbers, e.g. for generating an offset frequency  (H03L 7/193 takes precedence) [2006.01]
H03L   7/197  \	4	4	5J106	H03L   7/197	152	ループをロックするために時間差を用いるもの，適時変化可能な数値間を計数する計数器，または適時変化可能な係数によって分周する分周器，例．非整数の周波数分周を得るもの［５］	a time difference being used for locking the loop, the counter counting between numbers which are variable in time or the frequency divider dividing by a factor variable in time, e.g. for obtaining fractional frequency division [5]
H03L   7/197 120 \	5	5	5J106	H03L   7/197	52	ロック時間を短縮するためのもの（Ｈ０３Ｌ７／１９７　１４０，Ｈ０３Ｌ７／１９９が優先）	for reducing lock time (H03L7/197 140, H03L7/199 take precedence)
H03L   7/197 140 \	5	5	5J106	H03L   7/197	184	非整数の周波数分周のためのもの	for frequency division in noninteger
H03L   7/197 160 \	6	6	5J106	H03L   7/197	300	計数器または分周器を制御するために位相積算器を用いるもの	using phase integrator for controling counter or divider
H03L   7/197 180 \	7	7	5J106	H03L   7/197	2	周期またはパルス除去回路を用いるもの	using cycle or pulse removal circuit
H03L   7/199  \	5	5	5J106	H03L   7/199	18	分周器または計数器のリセットを用いるもの，例．初期同期を確実にするためのもの［５］	with reset of the frequency divider or the counter, e.g. for assuring initial synchronisation [5]
H03L   7/20  \	3	3	5J106	H03L   7/20	99	高調波位相ロックループ，すなわち供給された多数の高調波関係にある周波数の内の一つにロックされることができるループを用いるもの（Ｈ０３Ｌ７／２２が優先）［３］	using a harmonic phase-locked loop, i.e. a loop which can be locked to one of a number of harmonically related frequencies applied to it (H03L 7/22 takes precedence) [3]
H03L   7/22  \	3	3	5J106	H03L   7/22	640	二つ以上のループを用いるもの［３］	using more than one loop [3]
H03L   7/23  \	4	4	5J106	H03L   7/23	435	パルス計数器または分周器を有するもの［５］	with pulse counters or frequency dividers [5]
H03L   7/23 150 \	5	5	5J106	H03L   7/23	42	入れ子式位相ロックループ	nested phase lock loop
H03L   7/24  \	1	1	5J106	H03L   7/24	434	基準信号が発生器に直接加えられるもの［３］	using a reference signal directly applied to the generator [3]
H03L   7/26  \	1	1	5J106	H03L   7/26	902	周波数の基準として分子，原子または亜原子粒子のエネルギレベルを用いるもの［３］	using energy levels of molecules, atoms, or subatomic particles as a frequency reference [3]
H03L   9/00  \	0	0	5J106	H03L   9/00	1	このサブクラスの他のグループに分類されない自動制御［８］	Automatic control not provided for in other groups of this subclass [8]
