C22B11/04	｛ＩＰＣ　４｝　湿式法によるもの　｛（液ー液抽出，イオン交換，または吸着による溶液の処理または精製Ｃ２２Ｂ３／００，　Ｃ０１Ｇ；　Ｃ２２Ｂ３／００Ａ４(ＥＣＬＡ)，　Ｃ２２Ｂ３／０００５，　Ｃ２２Ｂ３／００９８が優先）｝
C22B11/042	廃材料からの貴金属の回収
C22B11/044	乾式治金残滓，例．灰，ドロス，煙道ダスト，泥漿，浮きかす，スラグ，スラッジ，からの回収
C22B11/046	製品からのもの，例．印刷回路版，写真用フィルム，紙または浴からのもの
C22B11/048	使用済み触媒からのもの
C22B11/06	塩化法によるもの
C22B11/08	青化法によるもの
C22B11/10	アマルガム法によるもの
C22B11/12	そのための装置
C22B13/00	鉛の採取
C22B13/02	乾式法
C22B13/025	廃材料からの回収
C22B13/04	｛ＩＰＣ　４｝　湿式法によるもの
C22B13/045	廃材料からの回収
C22B13/06	精製
C22B13/08	析出による鉛から他金属の分離，例．パークス法
C22B13/10	晶出による鉛から他金属の分離，例．パテイソン法によるもの
C22B15/00	銅の採取
C22B15/0002	予備的処理一般
C22B15/0004	銅成分の変性を伴わないもの
C22B15/0006	乾式法によるもの
C22B15/0008	湿式法によるもの　（浮遊によるものＢ０３Ｄ）
C22B15/001	銅成分の変性を伴うもの
C22B15/0013	焙焼によるもの
C22B15/0015	酸化焙焼
C22B15/0017	硫酸化または硫化焙焼
C22B15/0019	塩化焙焼　（セグレゲーション　Ｃ２２Ｂ１５／００２３）
C22B15/0021	ガス状または固体状態での還元によるもの　（スラグ還元Ｃ２２Ｂ１５／００５４）
C22B15/0023	セグレゲーション
C22B15/0026	乾式冶金
C22B15/0028	製錬または転換
C22B15/003	浴製錬または転換
C22B15/0032	｛竪型炉で，例．溶鉱炉｝
C22B15/0034	回転炉で，例．カルド型炉
C22B15/0036	｛反射炉で｝
C22B15/0039	電気炉で
C22B15/0041	｛転炉で｝
C22B15/0043	回転型転炉によるもの
C22B15/0045	マッフル，ルツボまたは密閉容器で
C22B15/0047	自溶製錬または転換
C22B15/005	連続炉で
C22B15/0052	還元製錬または転換
C22B15/0054	スラグ，スライム，スパイス，またはドロス処理
C22B15/0056	スクラップ処理
C22B15/0058	使用済み触媒
C22B15/006	｛溶融銅の処理，例．精製｝
C22B15/0063	湿式冶金
C22B15/0065	浸出またはスラリー化　（有機化合物によるもの　Ｃ２２Ｂ３／１６）
C22B15/0067	酸またはその塩によるもの
C22B15/0069	ハロゲンを含むもの
C22B15/0071	硫黄を含むもの
C22B15/0073	窒素を含むもの
C22B15/0076	シア二ド基
