G07F11/42	品物がモーター駆動手段によって取り出されるもの
G07F11/44	マガジン内に品物がばらのままで貯えられているもの
G07F11/46	移動できる貯蔵容器または支持体からなるもの
G07F11/48	枢着された貯蔵容器または支持体，例．マガジン（品物がマガジン内の枢着されたフラップまたは棚に支持されているものＧ０７Ｆ１１／０６）
G07F11/50	貯蔵容器または支持体が回転自在に支持されたもの
G07F11/52	水平軸のまわりに回転するもの
G07F11/54	垂直軸のまわりに回転するもの
G07F11/56	貯蔵容器または支持体が回転と軸方向の移動とをするもの
G07F11/58	品物がエンドレスベルトまたは同様のコンベアの上に（またはよって）支持されたもの
G07F11/60	貯蔵容器または支持体が直線状に移動するもの（エンドレスベルトまたは同様なコンベアＧ０７Ｆ１１／５８）
G07F11/62	固定した容器内の仕切り室内に品物が貯められたもの
G07F11/64	静止した支持体から品物が個別に吊り下げられたもの
G07F11/66	品物がかたまりから切断されて送出されるもの
G07F11/68	細長い片またはシーツから品物が裂かれまたは分離されるもの
G07F11/70	品物が装置内で成分，半加工品または原材料から作成されるもの
G07F11/72	補助装置，例．葉巻タバコの火つけ，びんの蓋あけ
G07F13/00	流体，半液体または粒状物の貯蔵所からの送出を制御するためのコイン解放装置
G07F13/02	体積によるもの
G07F13/025	｛体積が放出の間に決定されるもの｝
G07F13/04	重量によるもの
G07F13/06	異なった液体，または物質，またはこれらの混合物を選択的に送出するもの
G07F13/065	｛飲み物の準備に関するもの｝
G07F13/08	噴霧式のもの
G07F13/10	容器と組み合って送出されるもの，例．コップその他の物品（ばらばらの品物そのものの送出Ｇ０７Ｆ１１／００）
G07F15/00	液体，気体または電気の計量制御された送出に関するコイン解放装置（料金計量装置一般Ｇ０１Ｄ４／００）
G07F15/001	｛気体に関するもの｝
G07F15/003	｛電気に関するもの｝
G07F15/005	
G07F15/006	
G07F15/008	
G07F15/02	コイン挿入後手によって分量機構が働かされるもの
G07F15/04	コイン挿入によって自動的に分量機構が働かされるもの
G07F15/06	基本料金，例．計器の使用料，の先払い手段をもつもの
G07F15/08	料金変更または価格変更に対する手段をもつもの
