B44C3/126	｛モザイク構築物を自動的に製造するための装置｝
B44C5/00	特殊な装飾体の製造法
B44C5/005	｛挿入物を含むもの｝
B44C5/02	絵の取付け；板に対する角の取付け
B44C5/04	装飾額，例．装飾パネル，装飾ベニヤ板
B44C5/0407	｛ガラス要素を含むもの｝
B44C5/0415	｛金属要素を含むもの｝
B44C5/0423	｛ガラス繊維要素を含むもの｝
B44C5/043	｛木材要素を含むもの｝
B44C5/0438	｛石材要素を含むもの｝
B44C5/0446	｛図形情報を担持するもの｝
B44C5/0453	｛成型を含む工程により製造されるもの｝
B44C5/0461	｛壁被覆材として使用されるもの｝
B44C5/0469	｛装飾シートおよび１つ以上の樹脂含浸紙により形成された芯を含むもの｝
B44C5/0476	｛摩擦抵抗特性を有するもの｝
B44C5/0484	｛金属要素を含むもの｝
B44C5/0492	｛木材要素を含むもの｝
B44C5/06	天然物装飾；天然物をまねたもの（造花造形果物，造形の葉Ａ４１Ｇ１／００；造形の羽根Ａ４１Ｇ１１／００）
B44C5/08	鉛枠の明かり採り（それらをまねしたものＢ４４Ｆ１／０６；層をつくるためのガラス表面あるいは他の無機質材の表面にガラス面を張り合わせる方法Ｃ０３Ｃ２７／００）
B44C7/00	紙張り
B44C7/02	このための機械，装置，工具または付属品（表面に粘着した塗料の層を取除くための器具または装置Ｂ４４Ｄ３／１６）
B44C7/022	｛タペストリーの製品｝
B44C7/025	｛壁紙の切断用｝
B44C7/027	｛壁紙除去用の機械，装置，工具または付属品（壁または壁被覆材のクリーニングＡ４７Ｌ１１／００）｝
B44C7/04	粘着性の物質を適用するためのもの
B44C7/06	被覆される表面に対して紙を適用するためのもの
B44C7/08	仕上げ用のためのもの
