B31F1/305	｛それぞれ無端チェーンに固定された相互に噛み合う工具の組をもつもの｝
B31F1/32	すでに波形のついているウエブに波形をつけるもの
B31F1/36	機械的変形を容易にするためウエブを湿潤および加熱するものおよび変形したウエブを乾燥するもの｛（波形づけの際のものＢ３１Ｆ１／２８）｝
B31F5/00	シート，ストリップまたはウエブの接合；端縁の補強<br><br><u>警告</u><br><br>グループＢ３１Ｆ５／００はグループＢ３１Ｆ１／００４１，Ｂ３１Ｆ１／００８およびＢ３１Ｆ１／００９からの文献の再分類の影響を受ける。<br>グループＢ３１Ｆ５／００，Ｂ３１Ｆ１／００４１，Ｂ３１Ｆ１／００８およびＢ３１Ｆ１／００９はコンプリートサーチの完遂のために考慮されるべきである。
B31F5/001	｛ステープリングまたはリベット締めによるもの｝
B31F5/003	｛縫合によるもの｝
B31F5/005	｛折りによるもの（リムローリングＢ３１Ｆ１／００４１）｝
B31F5/006	｛ストリップ，例．輪郭をつけたもの，を使用するもの（Ｂ３１Ｆ５／０６が優先）｝
B31F5/008	｛摩擦によるもの，例．超音波振動により得られるもの｝
B31F5/02	ひだまたは細長い溝をつける｛または穴をあける｝ことによるもの
B31F5/022	｛回転工具を使用するもの｝
B31F5/025	｛細長い溝をつけることによるもの｝
B31F5/027	｛穴をあけることによるもの，例．部分的に切られた部分を折ることによるもの｝
B31F5/04	粘着剤のみを使用することによるもの
B31F5/06	粘着テープによるもの
B31F5/08	端縁を補強するためのもの；｛端縁にストリップまたはテープを施すもの，例．装飾のため，保護のため｝
B31F5/085	｛端縁の周囲のストリップの折りと組合わせたもの，または既に折られたストリップを適用するもの（端縁の折りたたみＢ３１Ｆ１／００１６，Ｂ３１Ｆ１／００２９）｝
B31F7/00	他に分類されない加工法
B31F7/002	｛筒状の物品，例，断面の変化するもの｝
B31F7/004	｛筒の製造｝
B31F7/006	｛端縁，例．シートの端縁｝
B31F7/008	｛修繕｝
B31F7/02	被覆膜を破壊するもの，例．紙または板紙の
B31F2201/00	材料の除去を伴わない紙または板紙の機械的変形
B31F2201/07	エンボシング
B31F2201/0702	不連続に作動する工具によるもの
B31F2201/0705	手動で操作されるもの
B31F2201/0707	連続的に作動する工具によるもの
B31F2201/0715	工具がローラであるもの
B31F2201/0717	エンボシング形成のための方法および手段
B31F2201/072	レーザ彫刻
B31F2201/0723	ローラの特徴
B31F2201/0725	硬度
B31F2201/0728	材料
B31F2201/073	多層構造を有するローラ
B31F2201/0733	模様
B31F2201/0735	ローラの軸に対して傾いた模様
B31F2201/0738	エンボスの断面形状
B31F2201/0741	奇数のカウンタローラと協働するローラ
B31F2201/0743	一致する外形をもつもの
B31F2201/0746	および自己中心をもつ外形をもつもの
B31F2201/0748	相違する外形をもつもの
B31F2201/0751	および自己中心をもつ外形をもつもの
B31F2201/0753	ローラの支持，位置づけ，駆動の手段
B31F2201/0754	工具がローラ以外，例．ベルトまたは板，であるもの
B31F2201/0756	受入材料，例，クレープされるもの，エンボスされるもの，波形づけされるもの，の特性
B31F2201/0758	エンボス加工された物品の特性
B31F2201/0761	多層のもの
B31F2201/0764	層が入れ子にされたももの
B31F2201/0766	層が先から先まで支持されたもの
B31F2201/0769	層が変化されるもの
B31F2201/0771	エンボシング作動のその他の観点
B31F2201/0774	多数の連続するエンボシング作動
B31F2201/0776	エンボシング工具の交換
B31F2201/0779	制御
B31F2201/0782	エンボシング線に関する完全なエンボシング機械のレイアウト
B31F2201/0784	補助作動
B31F2201/0787	接着剤の適用
B31F2201/0789	接着剤を伴わない片の接合
B31F2201/0792	印刷
B31F2201/0794	切断
B31F2201/0797	穴あけ
