H05B7/148	電力の自動制御（電極給電装置Ｈ０５Ｂ７／１０９；スポット溶接，シーム溶接または切断のための電極の自動送給Ｂ２３Ｋ９／１２；炉内または炉上における電極の配置Ｆ２７Ｄ１１／１０；位置の制御一般Ｇ０５Ｄ３／００；アークの電気的特性の調整一般Ｇ０５Ｆ１／０２；電力の調整一般Ｇ０５Ｆ１／６６）
H05B7/152	電極の位置決めのために電気機械的手段によるもの
H05B7/156	電極の位置決めのために水力または空気の手段によるもの
H05B7/16	グロー放電による加熱
H05B7/18	アーク放電による加熱
H05B7/185	｛アーク放電のための加熱ガス（ガス充填放電管Ｈ０１Ｊ３７／３２）｝
H05B7/20	アーク放電による直接加熱，すなわち少くともアークの一端が加熱される物体に直接作用し，加熱される物体を通って流れるアーク電流による抵抗加熱を付加したものを含む
H05B7/22	アーク放電による間接加熱
H05B7/225	｛アーク画像によるもの｝
H05B11/00	グループＨ０５Ｂ３／００〜Ｈ０５Ｂ７／００の二つ以上に含まれる方法の組み合せによる加熱（Ｈ０５Ｂ７／２０が優先）
H05B31/00	アークランプ（アークの電気的特性の調整Ｇ０５Ｆ１／０２）
H05B31/0003	｛アークが開放されている外部にあるもの｝
H05B31/0006	｛積上げ電極を有するもの｝
H05B31/0009	｛電極が平行または斜めに配置されているもの；電極の特殊な形態｝
H05B31/0012	｛複数の電極組を有するもの｝
H05B31/0015	｛予備電極を有するもの｝
H05B31/0018	｛閉容器内のもの｝
H05B31/0021	｛特殊な閉包における容器の構造｝
H05B31/0024	｛出口バルブ｝
H05B31/0027	｛特殊なガス充填を有するもの｝
H05B31/003	｛特殊形態のもの｝
H05B31/0033	｛グローロッドおよびキャンドルを有するもの｝
H05B31/0036	｛映写，複写またはステージ照明用のもの｝
H05B31/0039	｛映写機，その構造はアークの存在に左右されるもの｝
H05B31/0042	｛取付け；接続｝
H05B31/0045	｛個別ランプのもの；関連するインピーダンス｝
H05B31/0048	｛複数のランプのもの｝
H05B31/0051	｛アークランプ用の迂回回路装置｝
H05B31/0054	｛アークランプ用の短絡回路装置｝
H05B31/0057	｛アークランプ用の付属具｝
H05B31/006	｛電磁石または電気子；アーク吹付け電磁石｝
H05B31/0063	｛減衰装置｝
H05B31/0066	｛省力装置；換気装置｝
