F01K23/06	一方のサイクルからの燃焼熱が他方のサイクルの流体を加熱するもの
F01K23/061	｛流動床における燃焼をともなうもの（ガスタービンのみからなる流動床燃焼装置を備えた設備Ｆ０２Ｃ３／２０５；流動床装置それ自体Ｂ０１Ｊ８／１８；流動床燃焼装置Ｆ２３Ｃ１０／００；流動床蒸気ボイラＦ２２Ｂ３１／０００７）｝
F01K23/062	｛燃焼床が加圧されているもの（加圧流動床燃焼それ自体Ｆ２３Ｃ１０／１６）｝
F01K23/064	｛工業的な方法，例．化学的，治金学的なもの，との組み合わせ（特に特定の方法に対して適用されるものは関連するクラスを参照）｝
F01K23/065	｛燃焼が内燃ピストン機関，例．ディーゼル機関，内で生じるもの｝
F01K23/067	｛燃焼熱がガス化または熱分解過程，例．石炭のガス化，に由来するもの（燃料のガス化装置を備えたガスタービンＦ０２Ｃ３／２８）｝
F01K23/068	｛酸素製造設備，例．空気分離設備，との組み合わせ｝
F01K23/08	一方のサイクルの作動流体が他方のサイクルの流体を加熱するもの
F01K23/10	一方のサイクルの排出流体が他方のサイクルの流体を加熱するもの（Ｆ０１Ｋ１７／０２５が優先）
F01K23/101	｛それらに特に適合された調整手段（Ｆ０１Ｋ２３／１０５，Ｆ０１Ｋ２３／１０８が優先）｝
F01K23/103	｛排気ボイラ内にアフターバーナがあるもの｝
F01K23/105	｛それらに特に適合された調整手段｝
F01K23/106	｛排気ボイラの内で異なる圧力のもとで蒸発または予熱される水をともなうもの｝
F01K23/108	｛それらに特に適合された調整手段｝
F01K23/12	複数の機関が機械的に結合されているもの（Ｆ０１Ｋ２３／０２が優先）
F01K23/14	少なくとも１つの燃焼機関を含むもの
F01K23/16	全部の機関がタービンであるもの（Ｆ０１Ｋ２３／１４が優先）
F01K23/18	特殊用途に適用することを特徴とするもの
F01K25/00	特殊な作動流体を使用するものであって，他に分類されない設備または機関；密閉サイクルで動作する設備で，他に分類されないもの
F01K25/005	｛作動流体が，水素の酸素との燃焼により生成された蒸気であるもの｝
F01K25/02	流体が液相のままでいるもの
F01K25/04	流体が異なった相であるもの，例．泡
F01K25/06	異なった流体の混合物を用いるもの（蒸気とガスの混合物を用いる設備Ｆ０１Ｋ２１／０４）
F01K25/065	｛少なくとも部分的に液体の状態で残存する吸収流体をともなうもの，例．アンモニアに対する水（Ｆ０１Ｋ５／００が優先）｝
F01K25/08	特殊な蒸気を用いるもの
F01K25/085	｛蒸気が硫黄のもの｝
F01K25/10	蒸気が低温のもの，例．アンモニア，二酸化炭素，エーテル
F01K25/103	｛二酸化炭素（Ｆ０１Ｋ２５／０６５が優先）｝
F01K25/106	｛アンモニア（Ｆ０１Ｋ２５／０６５が優先）｝
F01K25/12	蒸気が金属であるもの，例．水銀
F01K25/14	工業用廃ガスまたは他の廃ガスを用いるもの
F01K27/00	熱または流体エネルギを機械的エネルギに変換する設備で他に分類されないもの
F01K27/005	｛液圧モータの使用によるもの｝
F01K27/02	排気熱以外の廃熱，例．機関の摩擦熱，を用いるよう変更された設備
