B61D19/001	｛無蓋貨車または有蓋貨車用のもの（ホッパー車の排出口の閉鎖要素Ｂ６１Ｄ７／１６；荷積みまたは荷卸し用の傾斜台に転換できる扉Ｂ６１Ｄ４７／００；Ｂ６１Ｄ１９／００３が優先）｝
B61D19/002	｛穀物車に特に適合されたもの｝
B61D19/003	｛扉の動きに特徴のあるもの｝
B61D19/004	｛揺動（Ｂ６１Ｄ１９／００８が優先）｝
B61D19/005	｛摺動（Ｂ６１Ｄ１９／００８，Ｂ６１Ｄ１９／００９が優先）｝
B61D19/006	｛垂直に（Ｂ６１Ｄ１９／００６が優先）｝
B61D19/007	｛扉が無蓋貨車の両側を完全に開放することを可能にする壁板であるもの，例．迅速な荷積みと荷卸しのためのもの｝
B61D19/008	｛揺動と摺動の両方｝
B61D19/009	｛摺動と栓止めの両方，（例．冷蔵，冷凍車用）｝
B61D19/02	客車用（Ｂ６１Ｄ１９／００３が優先）
B61D19/023	｛非常口｝
B61D19/026	｛扉の動きや気圧の変動で乗客が傷害を負うのを防止するための安全装置（乗客が閉まる扉と扉の間に挟まれるのを防止するための乗客用エレベーター内の安全装置Ｂ６６Ｂ１３／２６；ウイング用動力操作機構に作用するものＥ０５Ｆ１５／００）｝
B61D23/00	鉄道車両用ステップ構造（はしご一般Ｅ０６Ｃ）
B61D23/02	鉄道車両用折りたたみステップ，｛例．手動または機械的に作動されるもの｝
B61D23/025	｛電気的にまたは流体によって作動されるもの｝
B61D25/00	鉄道車両独得の窓装置（車両窓装置一般Ｂ６０Ｊ；車両窓清掃一般Ｂ６０Ｓ；透明部分または反射鏡に特に適合した加熱装置Ｈ０５Ｂ３／８４）
B61D27/00	暖房，冷房，換気または空気調和｛（車両用の暖房，冷房または換気装置一般Ｂ６０Ｈ１／００；車両の空気の加湿装置Ｂ６０Ｈ３／０２；車内の空気のろ過装置Ｂ６０Ｈ３／０６）｝
B61D27/0009	｛列車内の気圧の衝撃，例．隧道の通過時または横断時，を制御または均等にするための手段｝
B61D27/0018	｛空気調和手段，すなわち，次の空気の処理または供給方法の少なくとも２以上の組み合わせによるもの，すなわち暖房，冷房または換気の少なくとも２以上の組み合わせによるもの（空気調和一般Ｆ２４Ｆ）｝
B61D27/0027	｛貨車用；恒温の無蓋貨車｝
B61D27/0036	｛暖房のみのための手段（暖房一般Ｆ２４）｝
B61D27/0045	｛電気暖房（車両用一般Ｂ６０Ｈ１／２２１５；電気推進車両の電気加熱回路に給電するものＢ６０Ｌ１／０２）｝
B61D27/0054	｛他のエネルギー源からの，例．制動装置からの，回収されたエネルギーを使用する加熱手段との組合せ｝
B61D27/0063	｛熱が独立した装置から引き出されるもの，すなわち．自律装置，例．ストーブ｝
B61D27/0072	｛冷房のみのための手段（冷房一般Ｆ２５）｝
B61D27/0081	｛冷蔵，冷凍品輸送用の無蓋貨車のもの（冷蔵，冷凍品輸送用の車両Ｂ６０Ｐ３／２０）｝
B61D27/009	｛換気のみのための手段（換気一般Ｆ２４Ｆ）｝
B61D29/00	照明
B61D31/00	寝台設備
B61D33/00	座席
B61D33/0007	｛細部；付属品｝
B61D33/0014	｛座枠（Ｂ６１Ｄ３３／００９２が優先）｝
B61D33/0021	｛調整可能なまたはリクライニングする座席用のもの｝
B61D33/0028	｛反転可能な座席用のもの｝
B61D33/0035	｛クッションまたは類似するもの；カバー｝
B61D33/0042	｛ばねクッション｝
B61D33/005	｛ヘッドレスト，アームレストまたはフットレスト｝
B61D33/0057	｛車両内におけるその取付けに特徴のあるもの（Ｂ６１Ｄ３３／００２８およびＢ６１Ｄ３３／００９２が優先）｝
B61D33/0064	｛調整可能に取付けられていないもの；そのための支持部｝
B61D33/0071	｛取外し可能な座席｝
B61D33/0078	｛調整可能に取付けられるもの｝
B61D33/0085	｛回転可能に取付けられるもの｝
B61D33/0092	｛安全座席，例．安全のためのロック手段を備えるもの；子供用の座席｝
B61D35/00	衛生施設
B61D35/002	｛洗浄設備｝
B61D35/005	｛便所設備｝
B61D35/007	｛便所廃棄物の受け入れ装置，処理装置，保管装置，廃棄装置または除去装置を備えるもの｝
B61D37/00	他の付属具または設備
B61D37/003	｛鉄道車両用の荷物棚と傘立て（車体内の荷物棚一般，例．バスのものＢ６０Ｒ５／００３）｝
B61D37/006	｛食堂車または類似のもの用｝
B61D39/00	無蓋貨車またはそのようなものを覆うカバー；防水布；可動または折りたたみ屋根
B61D39/001	｛可傾式屋根｝
B61D39/002	｛滑動式または折畳み式の屋根｝
B61D39/003	｛伸縮自在の｝
B61D39/005	｛連接無蓋貨車用｝
B61D39/006	｛開閉手段｝
B61D39/007	｛軌条側部の装置によって制御されるもの（軌条側部の装置によって制御される無蓋貨車の傾倒のための機構Ｂ６１Ｄ９／１４）｝
B61D39/008	｛密閉手段｝
B61D41/00	予約席の表示器；警告または同様なもの；チケットに関連した装置，例．チケット保持器；荷札用保持器または同様なもの
B61D41/02	荷札用保持器または装置または同様なもの
B61D41/04	予約席用表示器
B61D41/06	チケット保持器
B61D43/00	車両の運動エネルギーを用いる装置
B61D45/00	積荷の緊締方法または装置，衝撃に対して保護するものを含む（車両用一般Ｂ６０Ｐ７／００）
B61D45/001	｛壁または床に固定するための装置｝
B61D45/002	｛固定する金属板，箱または類似するもの｝
B61D45/003	｛丸太，梁，樽，管材または類似するものの固定｝
B61D45/004	｛セミトレーラーの固定（セミトレーラー輸送用無蓋貨車Ｂ６１Ｄ３／１８４）｝
B61D45/005	｛第五車輪のロックを用いることによるもの｝
B61D45/006	｛可動壁による固定｝
B61D45/007	｛コンテナの固定（コンテナ輸送用車両Ｂ６１Ｄ３／２０）｝
B61D45/008	｛衝撃吸収装置｝
B61D47/00	車両に取付けられた積荷，荷卸し装置，例．積荷用プラットホーム，｛荷積みまたは荷卸し用の傾斜台に転換できる扉｝（車両と連結されるもの一般Ｂ６０Ｐ）
B61D47/005	｛無蓋貨車を運搬する道路車両と連結された荷積みまたは荷卸し装置，例．傾斜台，回転テーブル，昇降手段（道路車両運搬用の無蓋貨車一般：Ｂ６１Ｄ３／１８）｝
B61D49/00	他の細部
