A01G22/67	矮樹，例．盆栽
A01G22/705	
A01G23/00	林業
A01G23/003	｛伐採された樹木の収集｝
A01G23/006	｛丸太の運搬車｝
A01G23/02	樹木の移植，抜根，伐採または枝払い（立木の枝払いＡ０１Ｇ３／００）
A01G23/04	樹木の移植；根鉢をつかむ装置，例．切株抜き；樹木移送用梱包または容器
A01G23/043	｛根鉢をつかみ，切り取りまたは移送するための移植装置（Ａ０１Ｇ２３／０４６が優先）｝
A01G23/046	｛根鉢の周囲に容器を作成するために地中に打込まれる要素を用いる移植装置｝
A01G23/06	樹木の根倒しまたは引き抜き；切株の除去または抜き取り
A01G23/062	｛樹木または切株の引き抜き｝
A01G23/065	｛実質的に垂直面内でのもの｝
A01G23/067	｛樹木の切株の粉砕によるもの｝
A01G23/08	樹木の伐採
A01G23/081	伐採−集束装置；すなわち伐採ヘッドで集束するもの（Ａ０１Ｇ２３／０８３が優先）
A01G23/083	伐採−枝払装置
A01G23/085	第一のブームに取付けた剪断ヘッドと第二のブームに取付けた枝払いヘッドを有するもの
A01G23/087	伐採に特に適合した剪断装置または類似のもの（Ａ０１Ｇ２３／０８１，Ａ０１Ｇ２３／０８３，Ａ０１Ｇ２３／０９３が優先）
A01G23/089	２つ以上の剪断刃を有するもの
A01G23/09	衝撃式のもの
A01G23/091	伐採に特に適合した鋸装置（Ａ０１Ｇ２３／０８１，Ａ０１Ｇ２３／０８３，Ａ０１Ｇ２３／０９３が優先）
A01G23/093	伐採に特に適合した剪断，鋸またはフライス装置の組合わせ
A01G23/095	枝払装置（Ａ０１Ｇ２３／０８３が優先）
A01G23/0955	｛立木に沿って自走するもの｝
A01G23/097	固定した枝払いヘッドを有するもの
A01G23/099	補助装置，例．伐採用くさび
A01G23/10	樹液の採取，例．硬ゴム，ゴム
A01G23/12	採取用ナイフまたは斧
A01G23/14	採取用管；樹液用容器
A01G24/00	生育基質；培地；そのための装置または方法（きのこ用Ａ０１Ｇ１８／２０）
A01G24/10	無機材料に基づくものまたは含有するもの
A01G24/12	土壌鉱物を含有するもの
A01G24/13	ゼオライト
A01G24/15	焼成岩石，例．パーライト，バーミキュライトまたは粘土凝集物
A01G24/17	鉱滓を含有するもの
A01G24/18	無機繊維，例．ミネラルウール，を含有するもの
A01G24/20	天然有機材料に基づくものまたは含有するもの
A01G24/22	植物材料を含有するもの
A01G24/23	木，例．木のチップまたはおがくず
A01G24/25	乾燥した果実の皮または殻，例．もみ殻または椰子殻
A01G24/27	パルプ，例．バガス
A01G24/28	でい炭，コケまたはミズゴケを含有するもの
A01G24/30	合成有機化合物に基づくものまたは含有するもの
A01G24/35	水吸収重合体を含有するもの
A01G24/40	その構造によって特徴付けられるもの
A01G24/42	粒状または小塊状
A01G24/44	ブロック，マットまたはシート状
A01G24/46	積層構造
A01G24/48	発泡体を含有するものまたは発泡構造を有するもの
A01G24/50	可撓性包装材に詰められたもの
A01G24/60	生育基質または培地を調製するための装置（きのこ用Ａ０１Ｇ１８／２２）
