B62D6/006	｛計測された路面摩擦係数または推定路面摩擦係数を用いるもの｝
B62D6/007	｛運転者が調整可能なもの，例．スポーツモード｝
B62D6/008	｛ステアリング入力部材に対するフィードバック機能の制御，例．ステアバイワイヤ適用時の路面感触をシミュレートするもの｝
B62D6/02	車両速度にのみ感応するもの
B62D6/04	車両の所期進路を乱す力，例．車両の走行方向に対して横に作用する力，にのみ感応するもの
B62D6/06	車両の振動減衰装置にのみ感応するもの（自転車用ステアリングダンパＢ６２Ｋ２１／０８）
B62D6/08	｛運転者｝入力トルクのみに感応するもの
B62D6/10	トルクの感知｛または判定｝手段に特徴のあるもの
B62D7/00	操向リンク；スタブ軸またはそれらの取付け具（Ｂ６２Ｄ１３／００が優先；動力補助または動力駆動される操向装置Ｂ６２Ｄ５／００）
B62D7/02	枢着された台車用のもの
B62D7/023	｛操向ターンテーブル｝
B62D7/026	｛ひとつ以上ボギー台車からなることを特徴とするもの，例．車両の垂直中心線へと横切るひとつ以上の面に位置するもの｝
B62D7/04	２個以上の車輪を持つもの
B62D7/06	各別に枢着された，例．キングピンに，車輪用のもの
B62D7/08	車両の縦方向の中心線に対して横方向に単一面に位置している枢軸
B62D7/09	操向される車輪それぞれの操向角度間の比を変える手段に特徴のあるもの（駆動状態により自動的に比を変えるものＢ６２Ｄ６／００）
B62D7/10	単一出力操向伝動装置をもつもの
B62D7/12	一対の操向伝動装置を持つもの
B62D7/14	車両の縦方向の中心線を横切る２個以上の平面に位置している枢軸，例．全車輪操向
B62D7/142	｛特殊な車両に特に適合したもの，例．トラクター，台車，土工車両，トラック｝
B62D7/144	｛３本以上の車軸を持った車両用のもの｝
B62D7/146	｛懸架装置上で作用することによっ操向するための手段からなることによって特徴付けられたもの，例．懸架腕の取り付け具上のもの（キャンバー，キャスター，トーインを調整するための車両上の手段Ｂ６２Ｄ１７／００）｝
B62D7/148	｛安全装置を備えたもの｝
B62D7/15	操向される車輪それぞれの操向角度間の比を変える手段に特徴のあるもの｛Ｂ６２Ｄ７／１４８が優先｝
B62D7/1509	｛異なった操向モードを持ったもの，例．かに操向，または車両の後退のために特に適合された操向｝
B62D7/1518	｛異なった車軸の操向制御耕地の操向間の機械的相互接続システムからなるもの｝
B62D7/1527	｛機械的部品のみからなるもの，すなわち．補助手段を持たないもの｝
B62D7/1536	｛油圧式支援を備えたもの；（動力補助された流体操向それ自体Ｂ６２Ｄ５／０６）｝
B62D7/1545	｛電気的支援を備えたもの；（動力補助された電気的操向それ自身Ｂ６２Ｄ５／０４）｝
B62D7/1554	｛異なった車軸の操向制御装置間の流体相互接続システムからなるもの；（動力補助流体操向それ自体Ｂ６２Ｄ５／０６）｝
B62D7/1563	｛流体制御手段を備えたもの；（Ｂ６２Ｄ７／１５７２が優先）｝
B62D7/1572	｛電子油圧制御手段を備えたもの｝
B62D7/1581	｛異なった車軸の操向制御手段間の電気的相互接続システムからなることを特徴とするもの；（動力補助流体操向それ自体Ｂ６２Ｄ５／０４）｝
B62D7/159	｛計算方法または安定化過程またはシステムを特徴とするもの，例．ヨーレート，横風，荷物，路面状況に応じたもの｝
B62D7/16	リンク機構の連結具の配置（ピボットそれ自体Ｆ１６Ｃ；｛例．ボール継手Ｆ１６Ｃ１１／０６｝）
B62D7/163	｛実質的に軸方向のもの，例．ラックバーとタイロッド間のもの｝
B62D7/166	｛実質的に垂直なもの，例．タイロッドとステアリングナックル間のもの（ステアリングナックル一般Ｂ６２Ｄ７／１８）｝
B62D7/18	操向用ナックル；キングピン
B62D7/20	リンク，例．引き棒（キャンバー，キャスターまたはトーインを調整するための装置Ｂ６２Ｄ１７／００）
B62D7/22	ステアリングシステムの部品，例．車輪，の反動，例．振動，を減少または除去する装置｛（緩衝装置一般Ｆ１６Ｆ）｝
B62D7/222	｛ハンドルに作用するもの｝
B62D7/224	｛ハンドルとステアリングギア間に作用するもの，例．ステアリングコラム上のもの）:｝
B62D7/226	｛ステアリングギアに作用するもの｝
B62D7/228	｛ステアリングギアとロードホィール間に作用するもの，例．タイロッド上のもの｝
B62D9/00	他に分類されない転向できる車輪の操向（操向位置指示器Ｂ６２Ｄ１５／０２）
B62D9/002	｛コーナリング中に転向できる車輪に動力を作動配分する手段と組み合わされるもの｝
B62D9/005	｛操向にブレーキを用いる非常用システム｝
B62D9/007	｛制動にステアリングシステムを用いる非常用システム｝
B62D9/02	曲線路上で車体を内方に傾斜されるための手段と結合されたもの
B62D9/04	曲線路上で車輪を｛内側方向に｝傾斜させるための手段と結合されたもの（Ｂ６２Ｄ９／０２が優先）
B62D11/00	転向できない車輪の操向；無限軌道帯または類似のもの<br><br><u>注</u><br><br>この応用と無関係な歯車装置は歯車装置それ自体を含むサブクラスＦ１６Ｈの関連のグループに分類される｝
B62D11/001	｛制御システム（Ｂ６２Ｄ１１／１８３が優先）｝<br><br><u>注</u><br><br>このグループに分類する際，もし操向システムの他の特徴が重要事項である場合はグループＢ６２Ｄ１１／０２からＢ６２Ｄ１１／２４にも分類されている。｝
B62D11/003	｛電気式または電子式制御システム｝
B62D11/005	｛油圧式制御システム｝
B62D11/006	｛機械式制御システム｝
B62D11/008	｛空圧式制御システム｝
B62D11/02	車両の両側に配された接地装置の差動によって操向されるもの
B62D11/04	別々の動力源によるもの
B62D11/06	単一の主動力源によるもの
B62D11/08	主操向効果を生じさせるための手段としてのブレーキまたはクラッチを用いるもの
B62D11/10	両側に差動出力を持つ歯車装置を用いるもの，例．一対の差動装置または遊星歯車｛（車両への変速装置の配置または取り付けＢ６０Ｋ１７／００；伝動装置一般Ｆ１６Ｈ）｝
B62D11/105	｛可変率ベルトおよびプーリー歯車装置を使用するもの（無端可撓部材による回転運動を伝動するための伝動装置Ｆ１６Ｈ７／００，Ｆ１６Ｈ９／００）｝
B62D11/12	別々の変速伝道装置を利用するもの
B62D11/14	片側に付加出力を供給して生じる差動出力によるもの，例．第二の出力源から生じる出力
B62D11/16	その付加出力が機械的に供給されるもの
B62D11/18	その付加出力が液圧的に供給されるもの
B62D11/183	｛そのための制御システム｝
B62D11/186	｛液圧モータのための解放装置，例．牽引を許容するためのもの｝
B62D11/20	無限軌道を支持する枢着された台車を持つ無限軌道帯の操向（Ｂ６２Ｄ１１／０２が優先）
B62D11/22	無限軌道ローラまたは類似のものの転向による無限軌道帯の操向
B62D11/24	操向車輪と無限軌道帯とを有する車両に適用された無限軌道帯の操向
B62D12/00	直列に連結して作動されるか，または枢支して連結されたフレームを持つ車両に特に適合する操向（無限軌道帯または類似のものの操向Ｂ６２Ｄ１１／００；付随車に特に適合する操向Ｂ６２Ｄ１３／００）
B62D12/02	直列に連結して作動される車両用のもの
B62D13/00	付随車に特に適用された操向（牽引ヒッチと操向ヒッチが結合されたものＢ６０Ｄ）
B62D13/005	[Ｎ；トラクター操向システムから操作されるもの｝
B62D13/02	中央が枢着された車軸用
B62D13/025	｛トラクターとトレーラー間の連結手段によって開始される旋回運動｝
B62D13/04	各別に枢着された車輪用
B62D13/06	普通に牽引される付随車の後退用のもの
B62D15/00	他に分類されていない操向
B62D15/02	操向位置表示装置；｛操向位置判定装置；操向補助具｝
B62D15/0205	｛機械式表示装置，例．ハンドル内またはハンドル上のもの｝
B62D15/021	｛ステアリング角の判定（センサ一般Ｇ０１Ｂ）｝
B62D15/0215	｛ステアリングコラム上で計測することによるもの｝
B62D15/022	｛ハンドルとステアリングコラム間の接続部上またはその近くのもの｝
B62D15/0225	｛ステアリングギア要素上，例．ラックバー上，での計測によるもの｝
B62D15/023	｛キングピン上で計測することによるもの｝
B62D15/0235	｛電動パワーステアリングモータの部分で計測することによるものまたはそこから直接導き出されるもの｝
B62D15/024	｛直接計測しないでステアリング角を判定する他の手段，例．車の別々の側方の車輪速度から導き出すもの｝
B62D15/0245	｛操向システムの中央位置判定手段または判定方法，例．直進方向位置｝
