A47L9/1427	｛吸引掃除機に袋またはフィルター容器を設置または取り付けるための手段｝
A47L9/1436	｛接続板，例．カラー，終端部の封緘｝
A47L9/1445	｛封緘手段をもつもの｝
A47L9/1454	｛自己密封封緘，例．バルブ｝
A47L9/1463	｛剛体フィルター容器に特に適合されたもの｝
A47L9/1472	｛安全手段と組み合わされたもの，例．使用を避けるもの，例．袋が取り付けられていない場合に｝
A47L9/1481	｛吸引掃除機から袋を取り外すための手段，例．排出手段；袋を交換するための手段｝
A47L9/149	｛空にする手段；再利用可能な袋｝
A47L9/16	サイクロンまたは遠心力による他の装置の配置または設置
A47L9/1608	｛サイクロン室の構造｝
A47L9/1616	｛それらの複数配置｝
A47L9/1625	｛直列に流れるためのもの｝
A47L9/1633	｛同心状サイクロン｝
A47L9/1641	｛並列に流れるためのもの｝
A47L9/165	｛吸入口の構造｝
A47L9/1658	｛吐出口の構造｝
A47L9/1666	｛フィルター手段をもつもの｝
A47L9/1675	｛可動，回転可能なもの｝
A47L9/1683	｛塵埃収集室；塵埃収集容器｝
A47L9/1691	｛サイクロン室または塵埃容器の取り付けまたは結合手段｝
A47L9/18	液体フィルタ
A47L9/181	｛液漕に空気を通すことによる分離｝
A47L9/182	｛液漕の上に空気を通すことによる分離（サイクロンの配置Ａ４７Ｌ９／１６）｝
A47L9/183	｛噴霧清掃｝
A47L9/185	｛空気流の機械的制御のための手段，例．転向装置，導風板または複雑な空洞｝
A47L9/186	｛抽出口の構造｝
A47L9/187	｛フィルター手段，例．分離機，をもつもの｝
A47L9/188	｛可動，回転可能なもの｝
A47L9/19	ろ過操作を監視するための手段
A47L9/20	フィルタを清掃する装置
A47L9/22	モータファンの取付け
A47L9/24	管｛またはパイプ｝；管｛またはパイプ｝継手（管または管継手一般Ｆ１６Ｌ）
A47L9/242	｛管またはパイプ継手｝
A47L9/244	｛伸縮式または拡張式管またはパイプ用｝
A47L9/246	｛電気式コネクタを有するもの｝
A47L9/248	｛管またはパイプの部品，細部，または付属品（ノズルＡ４７Ｌ９／０２）｝
A47L9/26	電気ケーブル用巻取装置の組み込み（ケーブルを繰返し繰出しまたは再貯蔵するために特に適した装置Ｂ６５Ｈ７５／３４；相対的に移動する部分間の電気ケーブルまたは線の配列Ｈ０２Ｇ１１／００）
A47L9/28	電気器機の設備，例．吸引掃除機の適用または取付け；電気装置による吸引掃除機の調整
A47L9/2805	｛パラメータまたは状態が検出されるもの｝
A47L9/281	｛入り込んだ汚れまたはほこりの量または状態｝
A47L9/2815	｛光感知器を用いるもの｝
A47L9/2821	｛圧力，減圧，または空気流｝
A47L9/2826	｛床の状態｝
A47L9/2831	｛電動機のパラメータ，例．電動機の負荷または速度｝
A47L9/2836	｛調整される部品に特徴のあるもの｝
A47L9/2842	｛吸引電動機または送風機｝
A47L9/2847	｛表面処理要素｝
A47L9/2852	｛真空掃除機またはその付属品の変位のための要素，例．車輪，キャスターまたはノズル｝
A47L9/2857	｛制御のためのユーザ入力または出力要素，例．釦，スイッチまたは表示器｝
A47L9/2863	｛制御要素が直立真空掃除機のハンドルの回転運動によって作動する制御要素｝
A47L9/2868	｛真空掃除機またはその付属品の給電のための装置｝
A47L9/2873	｛入渠ユニットまたは充電ステーション（自立またはロボット真空掃除機のためのものＡ４７Ｌ２２０１／０２）｝
A47L9/2878	｛二動力真空掃除機，すなわち主電源または電池によって作動されることのできる装置｝
A47L9/2884	｛電池またはそれらの取り付け装置の細部｝
A47L9/2889	｛安全または保護装置またはシステム，例．電動機の過熱を防止するためのものまたはユーザを保護するためのもの｝
A47L9/2894	｛吸引掃除機における信号伝送に関する細部｝
A47L9/30	照明装置の配設
A47L9/32	取手
A47L9/322	｛手で支持する吸引掃除機用｝
A47L9/325	｛操向ハンドルを有する車輪付きの吸引掃除機用｝
A47L9/327	｛ノズルとケーシングとの間に管を有する吸引掃除機｝
A47L11/00	床，カーペット，家具，壁，または壁を覆うものの清掃用機械
A47L11/02	床みがきまたはつや出し機械（研摩機一般Ｂ２４Ｂ２９／００）
A47L11/03	清掃剤またはつや出し剤を供給する装備を有する点に特徴のあるもの｛（Ａ４７Ｌ１１／０６５，Ａ４７Ｌ１１／０８５，Ａ４７Ｌ１１／１２５，Ａ４７Ｌ１１／１４５，Ａ４７Ｌ１１／１６１，Ａ４７Ｌ１１／１６２５，Ａ４７Ｌ１１／１８５，Ａ４７Ｌ１１／２０１が優先）｝
A47L11/04	手動のもの
A47L11/06	往復動または振動する道具を有するもの
A47L11/065	｛洗浄剤の供給を伴うもの｝
A47L11/08	回転する道具を有するもの
A47L11/085	｛洗浄剤の供給を伴うもの｝
A47L11/10	原動機駆動のもの
A47L11/12	往復動または振動する道具を有するもの
A47L11/125	｛洗浄剤の供給を伴うもの｝
A47L11/14	回転する道具を有するもの
A47L11/145	｛洗浄剤の供給を伴うもの｝
A47L11/16	道具が円板ブラシであるもの
A47L11/161	｛洗浄剤の供給を伴うもの｝
A47L11/162	単一の円板ブラシのみを有するもの
A47L11/1625	｛洗浄剤の供給を伴うもの｝
A47L11/164	ブラシをかける道具の部品または細部
A47L11/18	道具がロールブラシであるもの
A47L11/185	｛洗浄剤の供給を伴うもの｝
A47L11/19	ブラシをかける道具の部品または細部
A47L11/20	真空掃除装置と組み合わされているもの
A47L11/201	｛洗浄剤の供給を伴うもの｝
A47L11/202	清掃ブラシに別の駆動を有するもの
A47L11/2025	｛道具が円板ブラシであるもの｝
A47L11/204	ブラシおよび真空掃除に組み合わされた駆動を有するもの
A47L11/205	往復動するブラシ用のもの
A47L11/206	回転円板ブラシ用のもの
A47L11/2065	｛単一の円板ブラシのみを有するもの｝
A47L11/22	手動による床掃き機械
A47L11/24	原動機駆動による床掃き機械
A47L11/26	手動による床こすり機械（Ａ４７Ｌ１１／２９が優先）
A47L11/28	原動機駆動による床こすり機械（Ａ４７Ｌ１１／２９が優先）
A47L11/282	回転道具を有するもの
A47L11/283	道具が円板ブラシであるもの
A47L11/284	往復動する道具を有するもの
A47L11/29	汚れた液体を吸上げる装置に特徴のある床こすり機械
A47L11/292	回転道具を有するもの（Ａ４７Ｌ１１／３０が優先）
A47L11/293	道具が円板ブラシであるもの
A47L11/294	往復動する道具を有するもの（Ａ４７Ｌ１１／３０が優先）
A47L11/30	吸引によるもの
A47L11/302	｛回転道具を有するもの｝
A47L11/305	｛道具が円板ブラシであるもの｝
A47L11/307	｛往復動する道具を有するもの｝
A47L11/32	カーペット掃き機械（吸引掃除機と組み合わされているものＡ４７Ｌ７／０２）
A47L11/325	｛カーペット掃き機械用シャンプー装置｝
A47L11/33	ちりだめの装置を有するもの
A47L11/34	液体，あわ，または蒸気，例．スチームによるもの，により適所でカーペットを処理する機械
A47L11/36	室内装飾を打つ機械
A47L11/38	壁，天井，屋根，または類似のものを清掃するために特に適用される機械
A47L11/40	グループＡ４７Ｌ１１／０２からＡ４７Ｌ１１／３８までに分類されないまたはこれらのグループに限定されない部品または細部，例．ハンドル，スイッチ，スカート，バフまたはレバーの配列
A47L11/4002	｛電気機器の取り付け｝
A47L11/4005	｛電池またはセルの配置；電力供給装置｝
A47L11/4008	｛スイッチ，インジケータまたはそれに類似したもの｝
A47L11/4011	｛電気装置による掃除機の調整；その制御システムおよび遠隔制御システム｝
A47L11/4013	｛汚染物質を収集する装置，すなわちホッパー，タンクまたはそれに類似したもの｝
A47L11/4016	｛液体の収集に特に適合されたもの｝
A47L11/4019	｛満杯センサ；溢出を防ぐための安全手段，例．フロート弁｝
A47L11/4022	｛汚れた液体を再利用するための手段をもつもの（排水の処理Ｃ０２Ｆ）｝
A47L11/4025	｛空にするための手段｝
A47L11/4027	｛汚染物質や屑のフィルタリングまたは分離｝
A47L11/403	｛フィルタの操作を監視するための手段｝
A47L11/4033	｛フィルタを清掃するための手段｝
A47L11/4036	｛表面処理具の部品または細部｝
A47L11/4038	｛円盤形状の表面処理具｝
A47L11/4041	｛円筒形状の表面処理具｝
A47L11/4044	｛真空吸引またはピックアップ具；スキージ｝
A47L11/4047	｛巻込式または無端の清掃ベルト｝
A47L11/405	｛ＵＶランプ，ＩＲランプ，超音波ランプまたはプラズマ清掃を用いる機械｝
A47L11/4052	｛清掃表面に垂直な道具またはそれに類似するものの移動｝
A47L11/4055	｛非作業位置に道具を持ち上げるためのもの｝
A47L11/4058	｛道具の高さを調節するためのもの｝
A47L11/4061	｛操向手段；障害物を回避するための手段；運転者が乗る場所に関する細部｝
A47L11/4063	｛駆動手段；その伝達手段｝
A47L11/4066	｛機械全体の推進｝
A47L11/4069	｛清掃具のための駆動または伝達手段｝
A47L11/4072	｛キャスターまたは車輪の配置｝
A47L11/4075	｛ハンドル；レバー｝
A47L11/4077	｛スカートまたは飛散ガード｝
A47L11/408	｛洗浄剤または表面処理剤を供給するための手段｝
A47L11/4083	｛液体供給槽；作用剤の調製，例．混合装置｝
A47L11/4086	｛蒸気の発生のための装置｝
A47L11/4088	｛供給ポンプ；噴霧装置；供給導管｝
A47L11/4091	｛格納または駐機装置，その配置，それが使用されていないときに機械を輸送させる手段｝
A47L11/4094	｛通常の真空掃除装置との組み合わせに用いられる付属品｝
A47L11/4097	｛排気を拡散させるための手段；排気処理，例．空気浄化；音や振動の減衰のための手段｝
A47L13/00	床，カーペット，家具，壁，または壁を覆うものの清掃用具（ブラシ，ブラシのハンドルまたは締具Ａ４６Ｂ，Ｂ２５Ｇ；ビルディング仕上用のけずる道具Ｅ０４Ｆ２１／００）
A47L13/02	けずるもの
A47L13/022	けずり機の取手
A47L13/03	清浄剤を供給する設備を有するけずり機
A47L13/04	鉄綿を有するもの
A47L13/06	ワイヤーブラシまたはワイヤーメッシュを有するもの
A47L13/07	金属スポンジ（Ａ４７Ｌ１３／０２２，Ａ４７Ｌ１３／０３が優先）
A47L13/08	けずり刃を有するもの
A47L13/10	ごしごし洗うもの；すりみがくもの；清掃するもの；つや出しするもの
A47L13/11	ゴムぞうきん
A47L13/12	幾つかの異なった処理装置を有する道具
A47L13/14	絞り装置と組合わされているもの
A47L13/142	ねじって絞る作用を有するもの
A47L13/144	絞り用ロールを有するもの
A47L13/146	枢軸のある絞り板を有するもの
A47L13/16	布；パッド；スポンジ（金属製けずり用スポンジＡ４７Ｌ１３／０７）
A47L13/17	清浄剤を含むもの（Ａ４７Ｌ１３／１９が優先；｛化学組成Ｃ１１Ｄ１７／０４９｝）
A47L13/18	手袋；手袋類似の布
A47L13/19	清浄剤を含むもの
A47L13/20	モップ
A47L13/22	液体供給装置を有するもの
A47L13/225	｛蒸気モップ｝
A47L13/23	水道管に連結しうるもの
A47L13/24	モップのわく；モップの頭（取手Ｂ２５Ｇ）
A47L13/25	ワイヤーのわく
A47L13/252	織ったへりまたは類似のものをもつモップのためのもの
A47L13/253	調節しうるまたは折りたたみうる形のもの
A47L13/254	板わく
A47L13/255	織ったへりまたはその類似のものをもつモップのためのもの
A47L13/256	布製のモップのためのもの
A47L13/257	スポンジ材製のモップのためのもの
A47L13/258	調節しうるまたは折りたたみうる形のもの
A47L13/26	液体供給装置を有するその他の装置（床のつや出し機械のそのような設備Ａ４７Ｌ１１／００，けずり機のものＡ４７Ｌ１３／０３，モップのものＡ４７Ｌ１３／２２，清浄剤を含む布，パッドまたはこれらに類似のものＡ４７Ｌ１３／１７，Ａ４７Ｌ１３／１９）
A47L13/28	つや出し具（つや出し機械Ａ４７Ｌ１１／０２）
A47L13/282	はき物の下に設置されるもの
A47L13/284	固定のまたは取りはずせる錘を有するもの
