B41M5/32	その一成分が重金属化合物であるもの，｛例．鉛または鉄｝
B41M5/323	有起色剤，例．ロイコ染料
B41M5/327	ラクトン環またはラクタム環をもつもの
B41M5/3275	｛フルオラン化合物｝
B41M5/333	そのための顕色成分，例．酸性化合物
B41M5/3331	｛高分子化合物｝
B41M5/3333	｛非高分子化合物｝
B41M5/3335	｛フェノール性酸基もしくはカルボン酸基またはそれらの金属塩を含む化合物｝
B41M5/3336	｛硫黄化合物，例．スルホン，スルフィド，スルホンアミド｝
B41M5/3338	｛無機化合物｝
B41M5/337	添加剤；結合剤｛（Ｂ４１Ｍ５／４６が優先）｝
B41M5/3372	｛高分子化合物｝
B41M5/3375	｛非高分子化合物｝
B41M5/3377	｛無機化合物，例．有機酸の金属塩｝
B41M5/34	多色サーモグラフィ
B41M5/345	｛染料または顔料の熱転写によるもの｝
B41M5/36	特性，例．光学的特性，疎水性−親水性，溶解性または浸透性，の変化を伴って変形または構造的に変化する，粒状であってもよい重合体層を使用するもの｛（Ｂ４１Ｃ１／１０が優先）｝
B41M5/361	｛配向または凝集により画像を形成する無機粒子と共に重合体マトリックスを使用するもの｝
B41M5/363	｛脂肪酸のような低分子量有機化合物を含む重合体マトリックスから構成される材料を使用するもの，例．反転記録のためのもの｝
B41M5/366	｛重合体粒状材料，例．疎水性の熱融着粒子，を含む重合体マトリックスから構成される材料を使用するもの｝
B41M5/368	｛可溶性／不溶性または親水性／疎水性の浸透性パターンの生成を伴うもの；剥離現像（Ｂ４１Ｍ５／３６６が優先）｝
B41M5/382	密着熱転写または昇華法（予め形成された画像の昇華印刷Ｂ４１Ｍ５／０３５；インク，染料または顔料の受容性コーティングＢ４１Ｍ５／５２）
B41M5/38207	｛Ｂ４１Ｍ５／３８５からＢ４１Ｍ５／３９５で規定されない観点によって特徴付けられるもの｝
B41M5/38214	｛構造の詳細，例．多層システム（個々の層の組成Ｂ４１Ｍ５／４２）｝
B41M5/38221	｛装置の特徴｝
B41M5/38228	｛２以上のインク層の使用により特徴付けられるもの｝
B41M5/38235	｛転写性の発色材料により特徴付けられるもの｝
B41M5/38242	｛転写をもたらす異なった種類のエネルギー，例．熱と光，により特徴付けられるもの｝
B41M5/3825	｛導電性熱転写シート｝
B41M5/38257	｛中間転写用受容体の使用により特徴付けられるもの｝
B41M5/38264	｛熱転写画像の刷り重ね｝
B41M5/38271	｛マイクロカプセルを使用するもの｝
B41M5/38278	｛インク含有構造体を用いるもの，例．多孔性または微孔性層，胞状体または小胞体｝
B41M5/38285	｛転写インク中の磁性成分により特徴付けられるもの｝
B41M5/38292	｛修正手段を有するもの｝
B41M5/385	転写性の染料または顔料により特徴付けられるもの（赤外吸収染料Ｂ４１Ｍ５／４６５）
B41M5/3852	｛アントラキノン又はナフトキノン染料｝
B41M5/3854	｛１つ以上の非環式の炭素−炭素二重結合を有する染料，例．ジ−またはトリ−シアノビニル，メチン｝
B41M5/3856	｛非環式の−Ｘ＝Ｃ基により特徴付けられる染料，Ｘは窒素原子および置換された炭素原子を表す｝
B41M5/3858	｛少なくとも１つがＢ４１Ｍ５／３８５からＢ４１Ｍ５／３９に分類される染料の混合物｝
B41M5/388	アゾ染料
B41M5/39	１つ以上の炭素−窒素二重結合を有する染料，例．アゾメチン
B41M5/392	発色物質，染料または顔料以外の添加剤，例．増感剤，転写促進剤
B41M5/395	高分子添加剤，例．結合剤
B41M5/398	粉体を使用した粘着性パターンの形成に基づく方法
B41M5/40	基材，｛裏塗り層｝，中間層または被覆層によって特徴付けられるもの　｛例．熱転写染料供与シートまたは染料受容シートのためのもの｝；熱または放射線をフィルタないし吸収する手段または層；他の画像位置決め層または組成物と組み合わせるもの；サーモグラフィによる複写のための特別な原稿｛（高分子のインクまたは染料受容性被膜Ｂ４１Ｍ５／５２）｝
B41M5/405	｛放射線硬化層により特徴付けられるもの（記録後に硬化する層Ｂ４１Ｍ７／００７２）｝
B41M5/41	基材層｛支持体又は基板｝
