H02H7/0833	｛制御装置を備えた電動機｝
H02H7/0838	｛Ｈ−ブリッジ回路を持つもの｝
H02H7/0844	｛フェイルセーフ制御，　例．　制御信号と制御電流の比較，整流障害についてモーターを隔離することにより｝
H02H7/085	過負荷に対するもの　｛（Ｈ０２Ｈ６／００　が優先）｝
H02H7/0851	｛二つの端位置間の可動部材を作動するモーターのためのもの，　例．　過負荷信号により端位置又は障害を検出するもの｝
H02H7/0852	｛温度センサーを使用して異常温度に直接応答するもの　（制御回路において　Ｈ０２Ｈ７／０８３３）｝
H02H7/0853	｛特に両方向に回転するモーターに適合するもの　（Ｈ０２Ｈ７／０８５１　が優先）｝
H02H7/0854	｛電流，カップル　あるいは　スピードの変化率に応答するもの，　例．／反発保護装置　（Ｈ０２Ｈ７／０８５１　が優先）｝
H02H7/0855	｛過渡過負荷への応答を避けるもの，　例．　起動中｝
H02H7/0856	｛取られた防護策に特徴付けられたもの｝
H02H7/0857	｛モータの機械的な負荷を下げるもの｝
H02H7/0858	｛モータへの供給電力を逆にしたり，循環したり減少したりするもの｝
H02H7/0859	｛故障状態が消えた後の再開を避けるもの｝
H02H7/09	過電圧に対するもの；不足電圧に対するもの；位相障害に対するもの
H02H7/093	回転速度があらかじめ定めたレベル以上に増大するものまたは以下に減少するもの（遠心力スイッチ　Ｈ０１Ｈ３５／１０）
H02H7/097	逆回転に対するもの
H02H7/10	変換機器のためのもの；整流機器のためのもの　｛（変換機の制御回路の形成部分，　Ｈ０２Ｍの関係グループを参照）｝
H02H7/103	｛変換機を回転するもの｝
H02H7/106	｛非静止型変換器のためのもの｝
H02H7/12	静止型変換器あるいは静止型整流器のためのもの　｛（静止型変換器を使用した放電ランプ用電源のためのもの　Ｈ０５Ｂ４１／２８５１，　Ｈ０５Ｂ４１／２９２１，　Ｈ０５Ｂ４１／２９８１）｝
H02H7/1203	｛変換のタイプとは関係ない回路｝
H02H7/1206	｛特に複数の平行又は直列の接続素子から成る変換セルに適合するもの｝
H02H7/1209	｛放電管のみを使用する変換器のためのもの｝
H02H7/1213	｛ＤＣ−ＤＣ　変換器のためのもの｝
H02H7/1216	｛ＡＣ−ＡＣ　変換器のためのもの｝
H02H7/122	逆変換器のためのもの，すなわち直流／交流変換器
H02H7/1222	｛入力回路の異常に応答するもの，　例．　直流入力の過渡電流｝
H02H7/1225	｛内部異常に応答するもの，　例．全導通　（全導通を避けるもの　Ｈ０２Ｍ１／００Ｐ２(ＥＣＬＡ)）｝
H02H7/1227	｛出力回路の異常に応答するもの，　例．　短絡｝
H02H7/125	整流器のためのもの
H02H7/1252	｛入力又は出力の過電圧に応答するもの，　例．♂荷のダンプによるもの｝
H02H7/1255	｛内部異常に応答するもの，　例．　出力電圧のリップルをモニターすることによるもの｝
H02H7/1257	｛出力回路の短絡又は極性不良に応答するもの｝
H02H7/127	非常の場合にブロッキング制御電圧または電流を与えるための補助的な制御電極を有するもの
H02H7/16	蓄電器のためのもの（同期進相機のためのものＨ０２Ｈ７／０６）
H02H7/18	バッテリーのためのもの；蓄電池のためのもの
H02H7/20	電子装置のためのもの（変換器のためのものＨ０２Ｈ７／１０；電気的測定機器のためのものＧ０１Ｒ１／３６；半導体直流電圧または直流電流調整器のためのものＧ０５Ｆ１／５６９；増幅器のためのものＨ０３Ｆ１／５２；電子的スイッチング回路のためのものＨ０３Ｋ１７／０８）
H02H7/205	｛特定の回路装置に含まれない制御される半導体のためのもの｝
H02H7/22	配電装置のためのもの，例．母線系統；開閉装置のためのもの　｛（ガス絶縁開閉装置の機械的又は電気的異常を検出するもの　Ｈ０２Ｂ１３／０６５）｝
H02H7/222	｛スイッチのためのもの｝
H02H7/224	｛反ポンプ回路｝
H02H7/226	｛電線又はケーブルのためのもの，　例．　電熱線｝
H02H7/228	｛被覆線又はケーブル｝
H02H7/24	火花間隙避雷器のためのもの
H02H7/26	ケーブル，線路系統の区分保護，例．短絡，地絡あるいはアーク放電が生じた区分を開放するためのもの（ケーブルの故障個所の検出Ｇ０１Ｒ３１／０８）
H02H7/261	｛少なくとも二つの局の信号伝送を含むもの　（信号一般の伝達　Ｈ０２Ｈ１／００６１）｝
H02H7/262	｛指令の切り替えや遮断の伝達を含むもの｝
H02H7/263	｛測定値の伝送を含むもの（パイロット線を使用する電流又は電圧の比較　Ｈ０２Ｈ３／３０）｝
