C04B11/00	硫酸カルシウムセメント
C04B11/002	｛セメントとして使用された異なったＣａＳＯ４変態，例．焼き石こうおよび無水石こう，の混合物｝
C04B11/005	｛原料の調製または処理｝　
C04B11/007	｛脱水生成物の後処理，例．熟成，安定化｝
C04B11/02	｛石こうの脱水｛のための方法および装置｝｛（セメントの製造以外の目的のためのものＣ０１Ｆ１１／４６６）｝｝
C04B11/022	｛同時的石こうの脱水および石灰の消化｝
C04B11/024	か焼工程の前またはその期間中に添加される成分，例．か焼変性剤
C04B11/028	その装置｛そのために用いられるか焼装置のタイプまたは得られる半水化物のタイプに特徴があるもの｝
C04B11/0281	｛かま；マルミット；オートクレーブ｝
C04B11/0282	｛オートクレーブ，例．運搬車を使うもの｝
C04B11/0283	｛流動床｝
C04B11/0285	｛ロータリーキルン｝
C04B11/0286	｛フラッシュか焼のための懸濁物の加熱器，例．サイクロン｝
C04B11/0287	｛多段水平炉｝
C04B11/0288	｛格子｝
C04B11/032	湿式法，例．溶液中でのまたは飽和蒸気条件下での脱水，のためのもの，｛すなわち，アルフゾ水化物を得るためのもの（Ｃ０４Ｂ１１／０２８１〜Ｃ０４Ｂ１１／０２８８が優先）｝
C04B11/036	乾式法，例．流動床またはロータリーキルン中での脱水，のためのもの，｛すなわち，ベータ半水化物を得るためのもの（Ｃ０４Ｂ１１／０２８１〜Ｃ０４Ｂ１１／０２８８が優先）｝
C04B11/05	無水石こうの取得，｛例．キーンセメント｝（Ｃ０４Ｂ１１／０２８が優先）
C04B11/06	硬石こうを出発物質とするもの
C04B11/26	｛化学石こうから出発するもの｝；りん石こうまたは廃棄物，例．煙の浄化物，から出発するもの（Ｃ０４Ｂ１１／０２が優先；煙，蒸発気または排気ガスの化学的浄化Ｂ０１Ｄ５３／００｛石こうの精製Ｃ０１Ｆ１１／４６｝）
C04B11/262	｛りん石こう以外の廃石こう｝
C04B11/264	｛煙道ガスの脱硫からの石こう｝
C04B11/266	｛化学石こう｝
C04B11/268	｛製造に先立って材料をペレツト化するもの｝
C04B11/28	他の無機セメント質材料との混合物（Ｃ０４Ｂ７／０４，Ｃ０４Ｂ７／１５３が優先）
C04B11/30	水硬性セメント，例．ポルトランドセメント，との
C04B12/00	グループＣ０４Ｂ７／００〜Ｃ０４Ｂ１１／００に包含されないセメント
C04B12/005	｛ジオポリマーセメント，例．アルカリ金属水酸化物またはけい酸塩とアルミノけい酸塩の反応性生成物｝
C04B12/007	
C04B12/02	りん酸セメント（セラミックスの製造に用いるまたはそのためのものＣ０４Ｂ３３／００，Ｃ０４Ｂ３５／００）
C04B12/022	｛アルミニウムりん酸塩｝
C04B12/025	｛アンモニア，またはアルカリ金属またはアルカリ土類金属のりん酸塩｝
C04B12/027	｛他のセメント質材料とそれとの混合物｝
C04B12/04	アルカリ金属けい酸塩またはアンモニウムけい酸塩のセメント｛アルキルけい酸エステルセメント；シリカゾルセメント；可溶性けい酸塩セメント｝（アルカリ金属けい酸塩それ自体，その調製Ｃ０１Ｂ３３／３２；けい酸アンモニウムそれ自体，その調製Ｃ０１Ｃ１／００）
