B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B11/062	｛粒状材料を噴霧するために設計されたもの｝
B05B11/064	｛粒状物質がそれぞれ個別の量に同時に分配され貯蔵されるもの｝
B05B11/065	｛粒状物資が主貯蔵部から一度ずつ個別の量を分離されるもの｝
B05B11/067	｛粒状物質が投薬装置によって主貯蔵部から分離されるもの｝
B05B11/068	｛液体吸収材料からなるもの｝
B05B11/10	
B05B11/1001	
B05B11/1002	
B05B11/1004	
B05B11/1005	
B05B11/1007	
B05B11/1008	
B05B11/1009	
B05B11/1011	
B05B11/1012	
B05B11/1014	
B05B11/1015	
B05B11/1016	
B05B11/1018	
B05B11/1019	
B05B11/1021	
B05B11/1022	
B05B11/1023	
B05B11/1025	
B05B11/1026	
B05B11/1028	
B05B11/1029	
B05B11/103	
B05B11/1032	
B05B11/1033	
B05B11/1035	
B05B11/1036	
B05B11/1038	
B05B11/1039	
B05B11/104	
B05B11/1042	
B05B11/1043	
B05B11/1045	
B05B11/1046	
B05B11/1047	
B05B11/1049	
B05B11/105	
B05B11/1052	
B05B11/1053	
B05B11/1054	
B05B11/1056	
B05B11/1057	
B05B11/1059	
B05B11/106	
B05B11/1061	
B05B11/1063	
B05B11/1064	
B05B11/1066	
B05B11/1067	
B05B11/1069	
B05B11/107	
B05B11/1071	
B05B11/1073	
B05B11/1074	
B05B11/1076	
B05B11/1077	
B05B11/1078	
B05B11/108	
B05B11/1081	
B05B11/1083	
B05B11/1084	
B05B11/1085	
B05B11/1087	
B05B11/1088	
B05B11/109	
B05B11/1091	
B05B11/1092	
B05B11/1094	
B05B11/1095	
B05B11/1097	
B05B11/1098	
B05B12/00	放出を制御するための装置；噴霧領域を制御するための装置<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／００はグループＢ０５Ｂ１２／１６，Ｂ０５Ｂ１２／１８，Ｂ０５Ｂ１２／２０，Ｂ０５Ｂ１２／２２，Ｂ０５Ｂ１２／２４，Ｂ０５Ｂ１２／２６，Ｂ０５Ｂ１２／２８，Ｂ０５Ｂ１２／３０，Ｂ０５Ｂ１２／３２，Ｂ０５Ｂ１２／３４，Ｂ０５Ｂ１２／３６への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B05B12/002	｛｛手動操作制御手段，例．押しボタン，レバーまたはトリガー（１個の構成単位から成るものＢ０５Ｂ１１／００）｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／００２がグループＢ０５Ｂ１２／００２２，Ｂ０５Ｂ１２／００２４，Ｂ０５Ｂ１２／００２６への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。｝
B05B12/0022	｛｛それらの移動を制限するための手段と関連づけられたもの｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／００２２，Ｂ０５Ｂ１２／００２４，Ｂ０５Ｂ１２／００２６はグループＢ０５Ｂ１２／００２からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。｝
B05B12/0024	｛単一の位置へのもの｝
B05B12/0026	｛放出を禁止するもの｝
B05B12/004	｛放出を監視するためのセンサからなるもの，例．検知量の表示または警報の発生によるもの（Ｂ０５Ｂ１２／０８が優先；機械または他の機器の状態または稼働を登録または表示するもの一般Ｇ０７Ｃ３／００）｝
B05B12/006	｛圧力または流量のセンサ｝
B05B12/008	｛放出装置，例．スプレーガン，の中に一体化されまたは取付けられたもの｝
B05B12/02	放出時間制御または放出シーケンス制御のためのもの
B05B12/04	シーケンス操作または多数の放出口のためのもの
B05B12/06	脈流を得るためのもの｛（放出に拍動性を生成するための手段を有するノズル，スプレーヘッドまたは排出口Ｂ０５Ｂ１／０８）｝
B05B12/08	放出される液体または他の流動性材料，包囲媒体または標的の状態に応答するもの；｛噴霧装置のまたはその供給手段，例．管，ポンプ，それらの駆動，の状態に応答するもの｝
B05B12/081	｛液体または他の流動性材料用の貯蔵器または容器の重量に応答するもの；貯蔵器または容器内の液体または他の流動性材料の高さまたは量に応答するもの｝
B05B12/082	｛放出された噴射または噴霧の状態，例．噴射形状，噴霧パターンまたは液滴サイズ，に応答するもの｝
B05B12/084	｛標的に向けて既に噴霧された液体または他の流動性材料の状態，例．被覆の厚み，重さまたはパターン，に応答するもの｝
B05B12/085	｛放出された液体または他の流動性材料の流量または圧力に応答するもの（Ｂ０５Ｂ１／３００６，Ｂ０５Ｂ１／３２３，Ｂ０５Ｂ７／１２５４が優先）｝
B05B12/087	｛流量または圧力の調節器，すなわち，感知要素，例．ピストンまたは隔膜，および制御要素，例．弁，からなる非電気的な単一装置｝
B05B12/088	｛検知手段が可撓部材，例．膜，ダイヤフラム，ふいご，であるもの｝
B05B12/10	放出される液体または他の流動性材料の温度または粘度に応答するもの
B05B12/12	包囲媒体または標的の状態に応答するもの，例．湿度，温度；｛噴霧装置に応答する標的の位置または変位（Ｂ０５Ｂ１２／０８２，Ｂ０５Ｂ１２／０８４が優先）｝
B05B12/122	｛標的の存在または形状に応答するもの（Ｂ０５Ｂ１２／１２４が優先）｝
B05B12/124	｛噴霧装置と標的との間の距離に応答するもの｝
B05B12/126	｛標的の速度，例．噴霧装置と標的との間の相対速度に関して，に応答するもの（Ｂ０５Ｂ９／０６が優先）｝
B05B12/14	複数の液体または流動性材料の中から選んだ１つ｛または選択された混合割合での数種｝を｛噴霧装置，例｝．単一の噴霧排出口に供給するためのもの
B05B12/1409	｛選択手段が放出装置の部分であるもの，例．噴霧ガンの部分｝
B05B12/1418	｛数種の液体または他の流動性材料を選択された混合割合で単一噴霧排出口へ供給するためのもの（２以上の流体の流量の比率制御Ｇ０５Ｄ１１／０２）｝
B05B12/1427	｛第２供給管内の第２の液体または他の流動性材料の状態を制御する第１供給管内の第１の液体またはその他の流動性材料の状態｝
B05B12/1436	｛第１の供給管内の第１の液体または他の流動性材料の制御する状態がその流量またはその圧力であるもの｝
B05B12/1445	｛液体または他の流動性材料のためのポンプ手段が機械的にリンクしたもの，例．主従関係にあるポンプ｝
B05B12/1454	｛材料容器とそれらに永続的に接続された噴霧装置との両方からなる分離ユニットが噴霧装置の一部に，例．ロボットアームに，取り外し可能に取り付けられたもの｝
B05B12/1463	｛噴霧される異なる材料のための分離容器が噴霧装置から流体的に接続されない当初の位置，例．充填ステーション，から次の位置，概して噴霧装置に近接する，噴霧装置に流体的に接続される位置，に移動するもの（Ｂ０５Ｂ１２／１４５４が優先）｝
B05B12/1472	｛異なる材料を噴霧装置の分離した排出口に供給する分離供給管（Ｂ０５Ｂ１２／１４５４が優先）｝
B05B12/1481	｛分離した異なる流体のためのピグ，すなわち，供給管内で密封的に収容された移動可能要素，からなるもの，例．溶剤または空気からの液体被覆材料（ピグを伴うパイプの清掃Ｂ０８Ｂ９／０５５７，ピグそのものＦ１６Ｌ５５／２６）｝
B05B12/149	｛そのための色が変化するマニフォールドまたは弁に特徴のあるもの（Ｂ０５Ｂ１２／１４０９が優先）｝
B05B12/16	噴霧領域の制御のためのもの（Ｂ０５Ｂ３／００が優先）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／１６はグループＢ０５Ｂ１２／００からの文献の再分類が未完成であり保留されている。グループＢ０５Ｂ１２／１６もまたグループＢ０５Ｂ１２／３２への再分類の影響を受ける。<br>グループＢ０５Ｂ１２／００，Ｂ０５Ｂ１２／１６，およびＢ０５Ｂ１２／３２がコンプリートサーチの完遂のために考慮されるべきである。
B05B12/18	流体を用いるもの，例．ガス流体<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／１８はグループＢ０５Ｂ１２／００からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／１８はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/20	マスキング要素，すなわち，被覆されるべき対象物上の非被覆領域を画定する要素<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／２０はグループＢ０５Ｂ１２／００からの文献の再分類が未完成である。<br>グループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／２０はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/22	噴霧領域に対して移動可能なもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／２２はグループＢ０５Ｂ１２／００からの文献の再分類が未完成であり保留されている。グループＢ０５Ｂ１２／２２もまたグループＢ０５Ｂ１２／３４への再分類の影響を受ける。<br>グループＢ０５Ｂ１２／００，Ｂ０５Ｂ１２／２２，およびＢ０５Ｂ１２／３４はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/24	少なくとも一部が可撓性材料から作成されるもの，例．紙または繊維からなるシート<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／２４はグループＢ０５Ｂ１２／００からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／２４はコンプリートサーチのために考慮されるべきである。
B05B12/26	空洞のマスキングのためのもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／２６がグループＢ０５Ｂ１２／００からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／２６はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/265	｛扉および支柱の間のもの，例．発泡ストリップ｝
B05B12/28	被覆領域内に含まれるまたは含まれない非被覆領域を画定するためのもの；例．Ｕ字型の境界線を確定するためのもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／２８はグループＢ０５Ｂ１２／００からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／２８はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/29	｛調整可能なサイズを有するもの｝
B05B12/30	車輪用に特に適合されるもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／３０はグループＢ０５Ｂ１２／００からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／３０はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/32	遮蔽要素，すなわち，オーバースプレーがスプレー対象物以外の領域に到達するのを防止する要素（一体型遮蔽要素を有するノズルＢ０５Ｂ１／２８）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／３２はグループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／１６からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１２／００，Ｂ０５Ｂ１２／１６，およびＢ０５Ｂ１２／３２はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/34	噴霧領域に対して移動可能なもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／３４はグループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／２２からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１２／００，Ｂ０５Ｂ１２／２２，およびＢ０５Ｂ１２／３４はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/36	側面遮蔽物，すなわち，スプレージェットと実質的に平行な方向に延伸する遮蔽物<br><br><u>警告</u><br><br>グループＢ０５Ｂ１２／３６はグループＢ０５Ｂ１２／００からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１２／００およびＢ０５Ｂ１２／３６はコンプリートサーチの完遂のために考慮されるべきである。
B05B12/40	｛噴霧材料のために通常は隠れた領域へのアクセスをなすための装置｝
B05B13/00	Ｂ０５Ｂ１／００〜Ｂ０５Ｂ１１／００に包含されない，噴霧によって対象物または他の加工物の表面に液体または流動性材料を適用させるための機械またはプラント（｛Ｂ０５Ｂ５／０８が優先｝；この目的のために液体または他の流動性材料を供給または放出する手段は｛先行の｝グループを参照；液体または他の流動性材料を表面に適用するための方法一般Ｂ０５Ｄ）
B05B13/002	
B05B13/005	｛車両上に装架するまたはとても大きな表面，例．道路上，巨大容器の表面上，に液体と適用するよう設計されたもの｝
B05B13/02	被加工物を支持する手段；スプレーヘッドの配置または装架；被加工物を供給する手段の適合または配置（Ｂ０５Ｂ１３／０６が優先）
B05B13/0207	｛被加工物が長尺物であるもの，例．ワイヤまたは管（Ｂ０５Ｂ１３／０４３６，Ｂ０５Ｂ１３／０４６３が優先）｝
B05B13/0214	｛液体または他の流動性材料が細長い本体の断面の全周に適用されているもの｝
B05B13/0221	｛対象物または他の被加工物を移動または運搬する手段，例．運搬ベルト，に特徴のあるもの（Ｂ０５Ｂ１３／０２０７を優先，搬送一般Ｂ６５Ｇ）｝
B05B13/0228	｛対象物の運動が回転するものであるもの（Ｂ０５Ｂ１３／０２４２が優先）｝
B05B13/0235	｛対象物の運動が回転と線状変位との組合せであるもの（Ｂ０５Ｂ１３／０２４２が優先）｝
B05B13/0242	｛対象物が回転要素によりスプレーヘッドに個別に提供されるもの，例．回転できるもの｝
B05B13/025	｛対象物または被加工物がばら状で存在するもの｝
B05B13/0257	｛移動容器内のもの，例．回転式有孔ドラム｝
B05B13/0264	｛頭上搬送手段，すなわち，対象物または他の被加工物が運送手段から吊り下げられているもの；その細部，例．吊りホック｝
B05B13/0271	｛対象物または被加工物が噴霧動作中に静止しているもの｝
B05B13/0278	｛スプレーヘッドの配置または取付け（Ｂ０５Ｂ１３／０２０７が優先）｝
B05B13/0285	｛噴霧される個々の物品，例．ドア，車両本体部分，を支持するスタンド｝
B05B13/0292	｛噴霧される個々の作業物を相対的に間隔をあけた状態で保持するための装置，例．車両のドアのスペーサ｝
B05B13/04	｛噴霧の｝操作中に動かされるスプレーヘッド
B05B13/0405	｛往復動または振動スプレーヘッドを有するもの（Ｂ０５Ｂ１３／０４３６，Ｂ０５Ｂ１３／０４４２，Ｂ０５Ｂ１３／０４４７，Ｂ０５Ｂ１３／０４６８が優先）｝
B05B13/041	｛直線に沿って往復動するスプレーヘッドを有するもの｝
B05B13/0415	｛直線方向に対するスプレーヘッドの角度位置が往復運動中に変更されるもの｝
B05B13/0421	｛回転スプレーヘッドを有するもの｝
B05B13/0426	｛閉止流路に沿って移動するスプレーヘッドを有するもの（Ｂ０５Ｂ１３／０４２１が優先）｝
B05B13/0431	｛ロボットまたは多関節アームにより移動するスプレーヘッドを有するもの，例．液体またはその他の流動性材料を三次元表面に適用するためのもの（Ｂ０５Ｂ１３／０４３６，Ｂ０５Ｂ１３／０４４２，Ｂ０５Ｂ１３／０４４７，Ｂ０５Ｂ１３／０４６３が優先）｝
B05B13/0433	
B05B13/0436	｛液体またはその他の流動性材料を長尺物に適用するための据え付け器材または装置，例．軽量ポール，パイプ（Ｂ０５Ｂ１３／０４４２，Ｂ０５Ｂ１３／０４６３が優先）｝
B05B13/0442	｛液体またはその他の流動性材料を噴霧操作中に回転する個々の物品に適用する据え付けまたは装置｝
B05B13/0447	｛液体またはその他の流動性材料を運送された個々の物品に適用する据え付けまたは装置（Ｂ０５Ｂ１３／０４４２が優先）｝
B05B13/0452	｛搬送された物品が車両本体であるもの｝
B05B13/0457	｛液体またはその他の流動性材料を物品の三次元表面に適用するために特に設計されたもの，例．数個の移動スプレーヘッドの使用によるもの（Ｂ０５Ｂ１３／０４５２が優先）｝
B05B13/0463	｛液体またはその他の流動性材料を不定長の移動被加工物に適用する据え付けまたは装置｝
B05B13/0468	｛往復動または振動スプレーヘッドを有するもの｝
B05B13/0473	｛スプレーヘッドが直線に沿って往復動するもの｝
B05B13/0478	｛スプレーヘッドの直線に対する角度位置が往復移動中に変更されるもの｝
B05B13/0484	｛円運動をするスプレーヘッドを有するもの，例．回転支持要素に取り付けられているもの（Ｂ０５Ｂ１３／０４６８が優先）｝
B05B13/0489	｛移動被加工物の周りのもの｝
B05B13/0494	｛閉止流路に沿って移動するスプレーヘッドを有するもの（Ｂ０５Ｂ１３／０４８４が優先）｝
B05B13/06	中空体の内部を処理するために特に設計されたもの（スプレーヘッドＢ０５Ｂ１／００〜Ｂ０５Ｂ７／００；｛管またはホースにおける漏水を被覆する装置，例．ホース補修具，管の内側からのものＦ１６Ｌ５５／１６２；ゴムまたはプラスチックの被覆による腐食または湯あかに対する管または管取り付け具の内部の保護Ｆ１６Ｌ５８／１０２７｝）
B05B13/0609	｛中空体が機械へ供給されまたはそこから自動的に除去されるもの｝
B05B13/0618	｛中空体の内部の一部分のみが処理されるもの｝
B05B13/0627	｛中空体の内部を処理するために特に適合されたノズルまたはスプレーヘッドの配置（Ｂ０５Ｂ１３／０６４５が優先）｝
B05B13/0636	｛可回転スプレーヘッドまたはノズルによるもの｝
B05B13/0645	｛中空体が処理操作中回転しているもの（Ｂ０５Ｂ１３／０６１８が優先）｝
B05B13/0654	｛および処理ノズルが回転軸と本質的に平行な方向に中空体を通して平行移動されるもの（Ｂ０５Ｂ１３／０６８１が優先）｝
B05B13/0663	｛および中空体が回転軸と平行な方向に平行移動されるもの（Ｂ０５Ｂ１３／０６８１が優先）｝
B05B13/0672	｛および処理ノズルの傾きまたは距離が回転軸に対して変更されるもの，例．不規則な内面を処理するためのもの｝
B05B13/0681	｛中空体が処理される閉止端からなるもの（Ｂ０５Ｂ１３／０６７２）｝
B05B13/069	｛中空体が閉止端をもつもの｝
B05B14/00	過剰の噴霧材料を回収，再利用または除去するための装置（ノズルと一体になった装置Ｂ０５Ｂ１／２８）
B05B14/10	過剰の材料が粒子であるもの（スプレーブースのためのものＢ０５Ｂ１４／４８）
B05B14/20	動いているベルトから，例．ろ過ベルトまたは搬送ベルト
B05B14/30	噴霧される対象物に近接または接触し，かつ放出された噴霧または噴流を取り囲むまたは閉じ込めるが，噴霧対象ではない囲いを含むもの
B05B14/40	スプレーブースで用いるもの
B05B14/41	ブース壁の清掃によるもの
B05B14/412	｛ブース壁が穿孔されたまたは多孔性の壁でありかつその壁が清掃されまたは流体，例．空気または水，ブースに向かうもの，の流れによる過剰の材料との接触から防止されるもの｝
B05B14/42	静電気手段を用いるもの
B05B14/43	過剰の材料を含む空気のろ過によるもの
B05B14/435	気体流，例．空気の吹き付け，によりフィルターを清掃する手段を有するもの
B05B14/437	｛フィルターの詰まりを防止するために過剰の材料を含む空気に固体材料を導入する手段を有するもの｝
B05B14/44	空気から過剰の材料の分離を促進するために特に適合した壁，例．バッフルプレートを使用するもの，（濡れた壁を用いるものＢ０５Ｂ１４／４６５）
B05B14/45	サイクロンセパレータを用いるもの
B05B14/46	過剰の材料を含む空気の洗浄によるもの
B05B14/462	洗浄液体からの過剰の材料の分離によるもの，例．回復のため
B05B14/463	｛限外ろ過の手段によるもの｝
B05B14/465	噴霧対象の背後にある実質的に垂直な液体カーテンまたは濡れた壁を使用するもの
B05B14/468	ブース床下に配置されたスクラブ手段を用いるもの
B05B14/469	｛洗浄材料が噴霧材料であるもの｝
B05B14/48	粒状の材料に特に適合されるもの
B05B14/49	溶媒に特に適合されるもの
B05B15/00	他に分類されない噴霧設備または装置の細部；付属品<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／００はグループＢ０５Ｂ１５／１４およびＢ０５Ｂ１５／１８への再分類の影響を受ける。<br>グループＢ０５Ｂ１５／００，Ｂ０５Ｂ１５／１４，およびＢ０５Ｂ１５／１８はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/14	噴霧装置またはその排出口への構造的損傷を防止または制御するための装置，例．任意の場所を壊すためのもの；破損した部品の取り扱いまたは交換のための装置<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／１４はグループＢ０５Ｂ１５／００からの文献の再分類の影響を受ける。<br>グループＢ０５Ｂ１５／００およびＢ０５Ｂ１５／１４はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/16	スプレーヘッドまたはノズルと異物との意図しない接触を防止するためのもの，例．ノズルガード
B05B15/18	耐摩耗性を向上させるためのもの，例．挿入物またはコーティング；磨耗を表示するためのもの；磨耗した部品の取り扱いまたは交換のためのもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／１８はグループＢ０５Ｂ１５／００からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１５／００およびＢ０５Ｂ１５／１８はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/20	噴霧すべき材料を攪拌するための装置，例．攪拌，混合または均質化のためのもの
B05B15/25	動く要素を用いるもの，例．回転ブレード
B05B15/30	ディップチューブ
B05B15/33	荷重したもの
B05B15/37	装飾的要素を有するもの
B05B15/40	噴霧排出口上流にフィルターが設置されているもの
B05B15/50	清掃装置；堆積，乾燥または詰まりを防止するための装置；異物の存在による不適切な排出を検出するための装置<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／５０はグループＢ０５Ｂ１５／５８への再分類の影響を受ける。<br>グループＢ０５Ｂ１５／５０およびＢ０５Ｂ１５／５８はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/52	詰まった粒子を除去するためのもの
B05B15/522	排出開口部に挿入するクリーニング要素を用いるもの
B05B15/5223	｛クリーニング要素，例．針，および排出開口部が前記開口を通じて液体または他の流動材料の流れに本質的に平行な方向で互いに相対移動可能であるもの｝
B05B15/5225	｛クリーニング要素が排出開口部の上流に位置するものまたはそこから上流に作動されるもの｝
B05B15/525	排出口の断面を広げることによるもの
B05B15/528	ノズルの弾性変形によるもの
B05B15/531	逆流を用いるもの
B05B15/534	ノズルを供給導管に対して反転させることによるもの
B05B15/55	洗浄流体を用いるもの
B05B15/555	クリーニングノズルから放出されるもの
B05B15/557	｛洗浄流体が気体と液体の混合物であるもの｝
B05B15/58	噴霧されるべき流体を排出開口部の上流から供給手段に再循環させることによる，堆積，乾燥または閉塞の防止｛（Ｂ０５Ｂ１／３０９３が優先）｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／５８はグループＢ０５Ｂ１５／５０からの再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１５／５０およびＢ０５Ｂ１５／５８はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/60	噴霧装置を取付け，支持または保持するための装置<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／６０はグループＢ０５Ｂ１５／６３への再分類の影響を受ける。<br>グループＢ０５Ｂ１５／６０およびＢ０５Ｂ１５／６３はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/62	噴霧装置を支持するための装置，例．吸盤
B05B15/622	支持台を貫通するもの
B05B15/625	支持台の上に設置するように設計されたもの
B05B15/628	可変長のもの
B05B15/63	把持するもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／６３はグループＢ０５Ｂ１５／６０からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１５／６０およびＢ０５Ｂ１５／６３はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/65	噴霧装置または排出口と流体導管を流体接続するための取付装置
B05B15/652	ジェットを配向させることができるもの
B05B15/654	ユニバーサルジョイントを用いるもの
B05B15/656	流体導管の長さが変更可能であるもの
B05B15/658	噴霧装置またはその排出口の軸が，流体導管に対して垂直であるもの
B05B15/68	噴霧ヘッドの位置を調整するための装置（Ｂ０５Ｂ１５／６２８，Ｂ０５Ｂ１５／６５２，Ｂ０５Ｂ１５／６５６が優先）
B05B15/70	スプレーヘッドを作業位置に，または作業位置から自動的に移動させるための装置<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／７０はグループＢ０５Ｂ１５／７２およびＢ０５Ｂ１５／７４への再分類の影響を受ける。<br>グループＢ０５Ｂ１５／７０，Ｂ０５Ｂ１５／７２，およびＢ０５Ｂ１５／７４はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/72	油圧または空気圧手段を用いるもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／７２はグループＢ０５Ｂ１５／７０からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１５／７０およびＢ０５ＢＢ０５Ｂ１５／７２はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/74	排出された流体によって駆動されるもの<br><br><u>警告</u><br><br>グループＢ０５Ｂ１５／７４はＢ０５Ｂ１５／７０からの文献の再分類の影響を受ける。<br>グループＢ０５Ｂ１５／７０およびＢ０５ＢＢ０５Ｂ１５／７４はコンプリートサーチの完遂のために考慮されるべきである。
B05B15/80	噴霧領域が囲まれていない装置，例．噴霧テーブル
B05B16/00	スプレーブース（スプレーブース内で過剰噴霧材料を回収，再利用または除去する装置Ｂ０５Ｂ１４／４０）
B05B16/20	他の操作，例．乾燥，と組み合わせて噴霧する装置；噴霧操作の組み合わせを可能にする装置
B05B16/25	自動噴霧および手動噴霧双方のためのもの
B05B16/40	そのために特に適合した構成要素（ブース内に流入する空気をろ過する天井要素Ｂ０５Ｂ１６／６０；過剰の材料の分離を促進するために特に適合した壁Ｂ０５Ｂ１４／４４）
B05B16/405	｛部分的または全体的な円筒壁；円形の床｝
B05B16/60	そのために特別に調整された換気装置
B05B16/80	移動可能なスプレーブース
B05B16/90	｛ブースの中または外に，例．ブースを通じて，噴霧される対象物または他の加工物を移動させるための搬送手段からなるもの｝
B05B16/95	｛噴霧される対象物または他の加工物が載置される，または搬送手段上に保持されるもの，すなわち搬送手段から吊り下げられないもの｝
B05B17/00	先行グループに包含されない，液体または他の流動性材料の霧化または噴霧装置（飛行中における粉体，液体または気体の投下または解放Ｂ６４Ｄ１／１６）
B05B17/04	特殊な方法による操作
B05B17/06	超音波｛または他の種類の｝振動を用いるもの
B05B17/0607	｛電気手段により発生するもの，例．圧電変換器｝
B05B17/0615	｛噴霧が容器内の液体または他の流体材料の自由表面から生成されかつ振動の影響を受けるもの｝
B05B17/0623	｛振動ホーンと連結されたもの｝
B05B17/063	｛液体または他の流体材料を供給するための内部溝をもつもの｝
B05B17/0638	｛噴霧が複数のオリフィスからなる板を通して液体または他の流体の放出により生成されるもの｝
B05B17/0646	｛振動板，すなわち，板が直接振動の影響を受けるもの，例．それらに取り付けられた圧電変換器をもつもの｝
B05B17/0653	｛細部｝
B05B17/0661	｛変換器の材料｝
B05B17/0669	｛励起周波数｝
B05B17/0676	｛供給手段｝
B05B17/0684	｛液体供給芯または類似のもの｝
B05B17/0692	｛流体により発生するもの（Ｂ０５Ｂ１７／０６０７が優先）｝
B05B17/08	噴水機（飲料噴水機Ｅ０３Ｂ９／２０；洗浄噴水機Ｅ０３Ｃ１／１６）
B05B17/085	｛液体のシートまたはカーテン，例．水壁，を生成するように設計されたもの｝
