B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B1/3073	｛制御要素が排出口オリフィスと連動する弁として作用する偏向器であるもの（Ｂ０５Ｂ１／３０８が優先；偏向器自体Ｂ０５Ｂ１／２６２）｝
B05B1/308	｛制御要素がリフト弁と偏向器の両方からなるもの｝
B05B1/3086	｛制御要素が排出口オリフィス内で可動の溝状体であるもの｝
B05B1/3093	｛再循環弁，すなわち，弁要素はノズルへの通路を開き，同時に供給手段の戻り通路の少なくとも一部を閉じるもの｝
B05B1/32	弁機構が流出口の一部をなすもの｛（Ｂ０５Ｂ１／３０３３が優先）｝
B05B1/323	｛弁部材が噴霧される流体の圧力により作動するもの（Ｂ０５Ｂ１１／００６２が優先）｝
B05B1/326	｛弁がゲート弁，スライド弁またはコックであるもの｝
B05B1/34	液体または他の流動性材料の流れの形を変えるように設計されたもの，例．渦流を生ずるようにするもの（流量を制御するように設計されたものＢ０５Ｂ１／３０）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／３４はグループＢ０５Ｂ１／３４０２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／３４およびＢ０５Ｂ１／３４０２はコンプリートサーチの完遂のために考慮されるべきである。
B05B1/3402	｛｛不安定流を回避または低減するためのもの，例．液体流を直進させる手段からなるもの｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／３４０２はグループＢ０５Ｂ１／３４からの再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１／３４およびＢ０５Ｂ１／３４０２はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B1/3405	｛渦流を生ずるようにするもの｝
B05B1/341	｛液体またはその他の流動性材料を排出する前のもの，例．噴霧排出口の上流の渦室内のもの｝
B05B1/3415	｛渦室の上流の挿入物を伝達する渦巻きを有するもの｝
B05B1/3421	｛渦室内で実質的に接線方向に現れる流路を有するもの｝
B05B1/3426	｛流路が排出口中心軸に垂直な渦室内に現れるもの（Ｂ０５Ｂ１／３４３６が優先）｝
B05B1/3431	｛流路が協働する要素の界面に形成されるもの，例．溝手段によるもの｝
B05B1/3436	｛界面が排出口中心軸に垂直な平面であるもの｝
B05B1/3442	｛界面が排出口と同一の中心軸を有する円錐であるもの｝
B05B1/3447	｛界面が排出口と同一の中心軸を有する円筒であるもの｝
B05B1/3452	｛協働する要素が移動可能であるもの，例．相対的に互いに調節可能であるもの｝
B05B1/3457	｛流体の圧力に応じてのもの｝
B05B1/3463	｛流路が外側へ延びるもの，例．内側から外側へ放射状のもの｝
B05B1/3468	｛渦室に入るまたは渦室から出る液体の流れを制御するための手段を有するもの（Ｂ０５Ｂ１／３４５２が優先）｝
B05B1/3473	｛流体の圧力に応じてのもの｝
B05B1/3478	｛流体が渦室に到達する前に少なくとも２つの異なる流路を流れるもの｝
B05B1/3484	｛渦室から延びるバイパス導管を有するもの｝
B05B1/3489	｛ノズルが同心の出口をもつもの｝
B05B1/3494	｛排出口が渦室の軸上にないもの｝
B05B1/36	溢流によって排出するための排出口
B05B3/00	可動排出口，可動偏向要素を有する噴霧，散布装置（Ｂ０５Ｂ５／００が優先）；｛出口の上流に位置する旋回機構を有する噴霧，散布ヘッド｝
