F16L7/02	そして他の管，ケーブルまたはスリーブ内に管またはケーブルを密封するもの
F16L9/00	剛性管
F16L9/003	｛矩形断面をもつもの（空気調和または換気用のダクトの構成Ｆ２４Ｆ１３／０２）｝
F16L9/006	｛特別な外形としたもの（Ｆ１６Ｌ９／００３が優先）｝
F16L9/01	木製（Ｆ１６Ｌ９／１６〜Ｆ１６Ｌ９／２２が優先）
F16L9/02	金属製（Ｆ１６Ｌ９／１６〜Ｆ１６Ｌ９／２２が優先）
F16L9/04	補強管
F16L9/042	｛補強材がらせん状に巻かれたコード，ワイヤまたはストリップの１以上の層からなるもの（Ｆ１６Ｌ９／０４７が優先）｝
F16L9/045	｛外形づけられたストリップを用いるもの｝
F16L9/047	｛補強リングからなるもの｝
F16L9/06	波形管
F16L9/08	コンクリート，セメント，または石綿セメント製で補強材をもつものまたはもたないもの（Ｆ１６Ｌ９／１６〜Ｆ１６Ｌ９／２２が優先）
F16L9/085	｛補強管｝
F16L9/10	ガラスまたはセラミック製，例．陶製，陶製タイル，磁器（Ｆ１６Ｌ９／１６〜Ｆ１６Ｌ９／２２が優先）
F16L9/105	｛ガラス製｝
F16L9/12	プラスチック製で補強材をもつものまたはもたないもの（Ｆ１６Ｌ９／１６〜Ｆ１６Ｌ９／２２が優先）
F16L9/121	｛３層をもつもの｝
F16L9/123	｛４層をもつもの｝
F16L9/125	｛電気伝導性をもつもの｝
F16L9/127	単一の層からなる壁
F16L9/128	強化管
F16L9/133	２層からなる壁
F16L9/14	複合チューブ，すなわち前記グループのいくつかの材料の組合せによって作られたもの（Ｆ１６Ｌ９／１６〜Ｆ１６Ｌ９／２２が優先）
F16L9/147	金属および強化したまたはしない合成樹脂の層のみからなるもの
F16L9/153	金属および強化したまたはしないコンクリートの層のみからなるもの
F16L9/16	薄板またはストリップを巻いたもので，補強材をもつものまたはもたないもの
F16L9/165	｛金属製｝
F16L9/17	シートを縦方向に曲げて端を接続することによるもの
F16L9/18	二重管；多水路管または管組立て品
F16L9/19	多水路管または管組立て品
F16L9/20	｛管組立て品｝
F16L9/21	騒音吸収材でできたものまたは騒音吸収構造を持つもの
F16L9/22	多数のセグメントからなる管
