B21C47/247	｛線材または帯材の端部の結合｝
B21C47/26	同時にまたは次に行われる材料の処理に関する特別の配置
B21C47/262	｛重なった非同心環の形をしている線材の処理　｝
B21C47/265	｛ヘリコフィルシステム｝
B21C47/267	
B21C47/28	ドラムまたは他のコイル保持具（把持手段Ｂ２１Ｃ４７／３２）
B21C47/30	膨張性のまたは収縮性のもの
B21C47/32	巻取り作業に特に適すようになっているトングまたは把持手段
B21C47/323	｛巻取られた材料の端を把持するのに適した，リール又はボビンの円筒壁上のスリットまたはピンス｝
B21C47/326	｛巻取られた材料の端をリール又はボビンの円筒壁に押し付ける装置｝
B21C47/34	特殊なタイプの装置に特に適するものでない供給またはガイド装置
B21C47/3408	
B21C47/3416	
B21C47/3425	
B21C47/3433	
B21C47/3441	
B21C47/345	
B21C47/3458	
B21C47/3466	
B21C47/3475	
B21C47/3483	
B21C47/3491	
B21C49/00	一時的に材料を蓄積する装置
B21C51/00	サブクラスＢ２１Ｂ〜Ｂ２１Ｆに従う材料の製造または取扱いの用途に特に適するメジャー，ゲージ，インディケート，カウント，またはマークする装置
B21C51/005	｛マークする装置｝
B21C99/00	このサブクラスの他のグループに分類されない主題事項　
