C10M145/10	カルボキシル基に結合した不飽和基を有する単量体，例．アクリレート，を含有するもの
C10M145/12	モノカルボン酸
C10M145/14	アクリレート；メタクリレート
C10M145/16	ポリカルボン酸
C10M145/18	炭素―炭素不飽和結合のみが関与する反応以外の反応により得られる高分子化合物
C10M145/20	アルデヒドまたはケトンの重縮合体
C10M145/22	ポリエステル
C10M145/24	ポリエーテル
C10M145/26	ポリオキシアルキレン
C10M145/28	２個のみの炭素原子を含有するアルキレンオキシドの
C10M145/30	３個のみの炭素原子を含有するアルキレンオキシドの
C10M145/32	４個以上の炭素原子を含有するアルキレンオキシドの
C10M145/34	上記の異なったタイプ２以上の
C10M145/36	エーテル化されたもの
C10M145/38	エステル化されたもの
C10M145/40	多糖類，例．セルロース
C10M147/00	ハロゲンを含有する高分子化合物である添加剤によって特徴づけられる潤滑組成物
C10M147/02	炭素，水素およびハロゲンのみを含有する単量体
C10M147/04	炭素，水素，ハロゲンおよび酸素を含有する単量体
C10M149/00	窒素を含有する高分子化合物である添加剤によって特徴づけられる潤滑組成物
C10M149/02	炭素―炭素不飽和結合のみが関与する反応により得られる高分子化合物
C10M149/04	アミノ基に結合した不飽和基を有する単量体を含有するもの
C10M149/06	アミド基またはイミド基に結合した不飽和基を有する単量体を含有するもの
C10M149/08	ニトリル基に結合した不飽和基を有する単量体を含有するもの
C10M149/10	窒素含有複素環に結合した不飽和基を有する単量体を含有するもの
C10M149/12	炭素―炭素不飽和結合のみが関与する反応以外の反応により得られる高分子化合物
C10M149/14	縮合反応が関与するもの
C10M149/16	窒素含有単量体とアルデヒドまたはケトンとの間での
C10M149/18	ポリアミド
C10M149/20	ポリ尿素
C10M149/22	ポリアミン
C10M151/00	いおう，セレンまたはテルルを含有する高分子化合物である添加剤によって特徴づけられる潤滑組成物
C10M151/02	炭素―炭素不飽和結合のみが関与する反応により得られる高分子化合物
C10M151/04	炭素―炭素不飽和結合のみが関与する反応以外の反応により得られる高分子化合物
C10M153/00	りんを含有する高分子化合物である添加剤によって特徴づけられる潤滑組成物
C10M153/02	炭素―炭素不飽和結合のみが関与する反応により得られる高分子化合物
C10M153/04	炭素―炭素不飽和結合のみが関与する反応以外の反応により得られる高分子化合物
C10M155/00	グループＣ１０Ｍ１４３／００〜Ｃ１０Ｍ１５３／００に分類されない元素の原子を含有する高分子化合物である添加剤によって特徴づけられる潤滑組成物
C10M155/02	けい素を含有する単量体
C10M155/04	ほう素を含有する単量体
C10M157/00	メイングループＣ１０Ｍ１４３／００〜Ｃ１０Ｍ１５５／００の２以上のメイングループによって包含される２以上の高分子化合物の混合物であり，かつそれらの化合物がいずれも本質的成分である添加剤によって特徴づけられる潤滑組成物
C10M157/02	少なくとも１個の高分子化合物がハロゲン含有化合物であるもの
C10M157/04	少なくとも１個の高分子化合物が窒素含有化合物であるもの
C10M157/06	少なくとも１個の高分子合化物が，いおう，セレンまたはテルル含有化合物であるもの
C10M157/08	少なくとも１個の高分子化合物がりん含有化合物であるもの
C10M157/10	少なくともそれらの１つが，グループＣ１０Ｍ１５７／０２〜Ｃ１０Ｍ１５７／０８に分類されない元素の原子を含有する化合物であるもの
C10M159/00	構造が不明または不明確な化合物である添加剤によって特徴づけられる潤滑組成物（３０個より少ない炭素原子数の炭素鎖を有し構造が不明または不明確なカルボン酸Ｃ１０Ｍ１２９／５６）
C10M159/005	｛高分子化合物，例．同じメイングループに分類されないそれぞれ特定された単量体から構成された高分子化合物｝
C10M159/02	天然物
C10M159/04	石油留分，例．タール，ソルベント
C10M159/06	ワックス，例．オゾケライト，セレシン，ペトロラタム，スラックワックス
C10M159/08	脂肪油
C10M159/10	ゴム
C10M159/12	反応生成物
C10M159/123	｛りんまたはりん含有化合物により得られたもの，例．　Ｐ　ｘ　Ｓ　ｘ　と有機化合物｝
C10M159/126	｛炭化水素重合体とのもの｝
C10M159/14	フリーデル・クラフツ縮合によって得られるもの
C10M159/16	マンニッヒ反応によって得られるもの
C10M159/18	金属錯体
C10M159/20	過剰の中和用塩基を有する反応混合物，例．いわゆる過塩基性または高塩基性生成物
C10M159/22	フェノール基を含有するもの
C10M159/24	スルホン酸基を含有するもの
C10M161/00	高分子化合物と非高分子化合物との混合物であり，かつそれらの化合物がいずれも本質的成分である添加剤によって特徴づけられる潤滑組成物
