G01N9/06	ピボットにより支持された組子を通して連続的循環機構をもつもの
G01N9/08	固体材料を大気中および液体中の両方で重量測定し，浮力を測定することによるもの
G01N9/10	流体材料に全部または部分的に浸された物体の観察によるもの
G01N9/12	物体の沈下の度合いの観測によるもの，例．浮きばかり
G01N9/14	物体が容器状であるもの
G01N9/16	物体が軸支されているもの
G01N9/18	指示，記録または制御のための特殊な適用
G01N9/20	諸物体の重量のつり合わせによるもの
G01N9/22	液体の連続的循環機構をもつもの
G01N9/24	材料に対する波動性または粒子性の放射線の透過度の観測によるもの
G01N9/26	圧力の差異の測定によるもの
G01N2009/263	垂直可動の圧力変換器を用いるもの
G01N9/266	｛ガス濃度を測定するためのもの｝
G01N9/28	液体中の異なる深度でノズルから発生する気泡の放出圧力の測定によるもの
G01N9/30	遠心効果によるもの
G01N9/32	液体の流動性によるもの，例．管または開口の流れ
G01N9/34	液体により作動する機素，例．羽根，の利用によるもの
G01N9/36	比重または密度の測定による材料の分析，例．水分の測定（測定方法一般Ｇ０１Ｎ９／０２〜Ｇ０１Ｎ９／３２）
G01N11/00	材料の流動性，例．粘度，塑性，の調査；流動性の測定による材料分析
G01N2011/0006	粘度計を較正または清浄するもの
G01N2011/0013	
G01N2011/002	
G01N2011/0026	非ニュートン流体の特定のフロー特性を調査するもの
G01N2011/0033	降伏点；せん断速度が零の時の残留応力
G01N2011/004	応力緩和時間
G01N2011/0046	混合プロセス時のその場での測定
G01N2011/0053	運動力測定を用いるもの；消費電力を測定するもの
G01N2011/006	
G01N2011/0066	
G01N2011/0073	
G01N2011/008	
G01N2011/0086	
G01N2011/0093	
G01N11/02	材料の流れの測定によるもの
G01N11/04	せばめられた通路，例．管，開口，を通すもの
G01N11/06	一定量の流出時間の測定によるもの
G01N11/08	一定の流れを生ずるのに要する圧力の測定によるもの
G01N11/10	材料内で物体を作動させるもの
G01N11/105	｛被試験流体を搬送するダクト内のフロート平衡位置を検出するもの｝
G01N11/12	物体の上昇または落下速度の測定によるもの；くさび形ゲージの入り込みの測定によるもの（Ｇ０１Ｎ１１／１６が優先）
G01N11/14	回転体，例．羽根，の利用によるもの（Ｇ０１Ｎ１１／１６が優先）
G01N11/142	｛回転軸に実質的に直交する二部材間に保持された試料，例．並行板粘度計｝
G01N2011/145	回転する両部材
G01N2011/147	マグネティクカップリング
G01N11/16	振動体の減衰効果の測定によるもの
G01N11/162	｛ねじり振動，例．回転体によるもの｝
G01N11/165	｛回転軸に実質的に直交する二部材間に保持された試料，例．並行板粘度計｝
G01N11/167	｛試料ホルダの振動，例．回転るつぼ｝
G01N13/00	表面または境界効果，例．湿潤力の調査；拡散効果の調査；表面，境界，または拡散効果の測定による材料の分析；原子領域の表面構造の調査または分析
G01N2013/003	拡散；液体間の拡散率
G01N2013/006	タブレットまたは類似のものの溶解
G01N13/02	液体の表面張力の調査
G01N2013/0208	接触角の測定によるもの
G01N2013/0216	表面摩擦またはせん断力の測定によるもの
G01N2013/0225	液体状金属またはハンダの
G01N2013/0233	ラングミュア槽；薄膜バランス
G01N2013/0241	バブル法；ペンダントドロップ法；液滴法
G01N2013/025	発泡安定性を測定するもの
G01N2013/0258	振動液滴法
G01N2013/0266	バブル法
G01N2013/0275	表面活性剤を含むもの
G01N2013/0283	表面張力を計算する方法
G01N2013/0291	ウィルヘルミー板
G01N13/04	浸透効果の調査
G01N15/00	粒子の特徴の調査；多孔性材料の透過率，気孔量，または表面積の調査（微生物の同定Ｃ１２Ｑ）
G01N2015/0003	
G01N2015/0007	気体分散の調査
G01N2015/0011	液体内，例．気泡体
G01N2015/0015	固体内
G01N2015/0019	
G01N2015/0023	液体分散の調査
G01N2015/0026	気体内，例．霧
G01N2015/003	液体内，例．乳濁液体
G01N2015/0034	固体内
G01N2015/0038	
G01N2015/0042	固体分散の調査
G01N2015/0046	気体内，例．煙
