A47L9/0633	10	{with retractable brushes, combs, lips or pads}	A47L9/06	A47L9/06		139
A47L9/064	11	{actuating means therefor}	A47L9/06	A47L9/06		20
A47L9/0646	12	{with pneumatic actuation}	A47L9/06	A47L9/06		36
A47L9/0653	12	{with mechanical actuation, e.g. using a lever}	A47L9/06	A47L9/06		366
A47L9/066	10	{with adjustably mounted brushes, combs, lips or pads; Height adjustment of nozzle or dust loosening tools (for suction cleaners with handles and nozzles fixed on the casing A47L5/34)}	A47L9/06	A47L9/06		330
A47L9/0666	10	{with tilting, floating or similarly arranged brushes, combs, lips or pads}	A47L9/06	A47L9/06		222
A47L9/0673	10	{with removable brushes, combs, lips or pads}	A47L9/06	A47L9/06		507
A47L9/068	10	{Nozzles combined with a different cleaning side, e.g. duplex nozzles or dual purpose nozzles}	A47L9/06	A47L9/06		231
A47L9/0686	10	{Nozzles with cleaning cloths, e.g. using disposal fabrics for covering the nozzle}	A47L9/06	A47L9/06		289
A47L9/0693	10	{Specially shaped nozzles, e.g. for cleaning radiators, tubes, fans or the like; Dusters}	A47L9/06	A47L9/06		377
A47L9/08	9	with means adapted for blowing	A47L9/08	A47L9/08		638
A47L9/10	8	Filters (in general  B01D; cyclones  B04C); Dust separators; Dust removal; Automatic exchange of filters {(for machines for cleaning floors A47L11/40)}	A47L9/10	A47L9/10		1367
A47L9/102	9	{Dust separators (cyclones A47L9/16)}	A47L9/10	A47L9/10		722
A47L9/104	10	{Means for intercepting small objects}	A47L9/10	A47L9/10		207
A47L9/106	9	{Dust removal}	A47L9/10	A47L9/10		976
A47L9/108	10	{Dust compression means}	A47L9/10	A47L9/10		333
A47L9/12	9	Dry filters	A47L9/12	A47L9/12		679
A47L9/122	10	{flat}	A47L9/12	A47L9/12		1305
A47L9/125	10	{funnel-shaped}	A47L9/12	A47L9/12		281
A47L9/127	10	{tube- or sleeve-shaped}	A47L9/12	A47L9/12		880
A47L9/14	9	Bags or the like; {Rigid filtering receptacles;} Attachment of, or closures for, bags {or receptacles}	A47L9/14	A47L9/14		1241
A47L9/1409	10	{Rigid filtering receptacles (dust collecting receptacles for cyclones A47L9/1683)}	A47L9/14	A47L9/14		704
A47L9/1418	10	{Impermeable dust collecting bags}	A47L9/14	A47L9/14		222
A47L9/1427	10	{Means for mounting or attaching bags or filtering receptacles in suction cleaners; Adapters}	A47L9/14	A47L9/14		1137
A47L9/1436	11	{Connecting plates, e.g. collars, end closures}	A47L9/14	A47L9/14		464
A47L9/1445	12	{with closure means}	A47L9/14	A47L9/14		315
A47L9/1454	13	{Self-sealing closures, e.g. valves}	A47L9/14	A47L9/14		217
A47L9/1463	11	{specially adapted for rigid filtering receptacles}	A47L9/14	A47L9/14		176
A47L9/1472	11	{combined with security means, e.g. for preventing use, e.g. in case of absence of the bag}	A47L9/14	A47L9/14		178
A47L9/1481	10	{Means for removing bags in suction cleaners, e.g. ejecting means; Means for exchanging bags}	A47L9/14	A47L9/14		200
A47L9/149	10	{Emptying means; Reusable bags}	A47L9/14	A47L9/14		508
A47L9/16	9	Arrangement or disposition of cyclones or other devices with centrifugal action	A47L9/16	A47L9/16		1306
A47L9/1608	10	{Cyclonic chamber constructions}	A47L9/16	A47L9/16		1627
A47L9/1616	10	{Multiple arrangement thereof}	A47L9/16	A47L9/16		207
A47L9/1625	11	{for series flow}	A47L9/16	A47L9/16		641
A47L9/1633	12	{Concentric cyclones}	A47L9/16	A47L9/16		381
A47L9/1641	11	{for parallel flow}	A47L9/16	A47L9/16		713
A47L9/165	10	{Construction of inlets}	A47L9/16	A47L9/16		987
A47L9/1658	10	{Construction of outlets}	A47L9/16	A47L9/16		483
A47L9/1666	11	{with filtering means}	A47L9/16	A47L9/16		1239
A47L9/1675	12	{movable, revolving or rotary}	A47L9/16	A47L9/16		139
A47L9/1683	10	{Dust collecting chambers; Dust collecting receptacles}	A47L9/16	A47L9/16		2496
A47L9/1691	10	{Mounting or coupling means for cyclonic chamber or dust receptacles}	A47L9/16	A47L9/16		923
A47L9/18	9	Liquid filters	A47L9/18	A47L9/18		154
A47L9/181	10	{Separating by passing the air through a liquid bath}	A47L9/18	A47L9/18		257
A47L9/182	10	{Separating by passing the air over a liquid bath (arrangement of cyclones A47L9/16)}	A47L9/18	A47L9/18		107
A47L9/183	10	{Spray cleaning}	A47L9/18	A47L9/18		101
A47L9/185	10	{Means for the mechanical control of flow of air, e.g. deflectors, baffles or labyrinths}	A47L9/18	A47L9/18		152
A47L9/186	10	{Construction of outlets}	A47L9/18	A47L9/18		25
A47L9/187	11	{with filtering means, e.g. separators}	A47L9/18	A47L9/18		56
A47L9/188	12	{movable, revolving or rotary}	A47L9/18	A47L9/18		55
A47L9/19	9	Means for monitoring filtering operation	A47L9/19	A47L9/19		852
A47L9/20	8	Means for cleaning filters	A47L9/20	A47L9/20		1552
A47L9/22	8	Mountings for motor fan assemblies	A47L9/22	A47L9/22		2071
A47L9/24	8	Hoses {or pipes}; Hose {or pipe} couplings (hoses or hose joints in general F16L)	A47L9/24	A47L9/24		912
A47L9/242	9	{Hose or pipe couplings}	A47L9/24	A47L9/24		1749
A47L9/244	10	{for telescopic or extensible hoses or pipes}	A47L9/24	A47L9/24		924
A47L9/246	10	{with electrical connectors}	A47L9/24	A47L9/24		478
A47L9/248	9	{Parts, details or accessories of hoses or pipes (nozzles A47L9/02)}	A47L9/24	A47L9/24		1591
A47L9/26	8	Incorporation of winding devices for electric cables (devices specially adapted for repeatedly paying-out or re-storing cables B65H75/34; arrangements of electrical cables or lines between relatively-movable parts H02G11/00)	A47L9/26	A47L9/26		913
A47L9/28	8	Installation of the electric equipment, e.g. adaptation or attachment to the suction cleaner; Controlling suction cleaners by electric means	A47L9/28	A47L9/28		2337
A47L9/2805	9	{Parameters or conditions being sensed}	A47L9/28	A47L9/28		2410
A47L9/281	10	{the amount or condition of incoming dirt or dust}	A47L9/28	A47L9/28		385
A47L9/2815	11	{using optical detectors}	A47L9/28	A47L9/28		249
A47L9/2821	10	{Pressure, vacuum level or airflow}	A47L9/28	A47L9/28		517
A47L9/2826	10	{the condition of the floor}	A47L9/28	A47L9/28		815
A47L9/2831	10	{Motor parameters, e.g. motor load or speed}	A47L9/28	A47L9/28		482
A47L9/2836	9	{characterised by the parts which are controlled}	A47L9/28	A47L9/28		506
A47L9/2842	10	{Suction motors or blowers}	A47L9/28	A47L9/28		1877
A47L9/2847	10	{Surface treating elements}	A47L9/28	A47L9/28		704
A47L9/2852	10	{Elements for displacement of the vacuum cleaner or the accessories therefor, e.g. wheels, casters or nozzles}	A47L9/28	A47L9/28		1859
A47L9/2857	9	{User input or output elements for control, e.g. buttons, switches or displays}	A47L9/28	A47L9/28		2656
A47L9/2863	10	{Control elements activated by pivoting movement of the upright vacuum cleaner handle}	A47L9/28	A47L9/28		110
A47L9/2868	9	{Arrangements for power supply of vacuum cleaners or the accessories thereof}	A47L9/28	A47L9/28		741
A47L9/2873	10	{Docking units or charging stations (for autonomous or robotic vacuum cleaners A47L2201/02)}	A47L9/28	A47L9/28		1075
A47L9/2878	10	{Dual-powered vacuum cleaners, i.e. devices which can be operated with mains power supply or by batteries}	A47L9/28	A47L9/28		215
A47L9/2884	10	{Details of arrangements of batteries or their installation}	A47L9/28	A47L9/28		1573
A47L9/2889	9	{Safety or protection devices or systems, e.g. for prevention of motor over-heating or for protection of the user}	A47L9/28	A47L9/28		1313
A47L9/2894	9	{Details related to signal transmission in suction cleaners}	A47L9/28	A47L9/28		1189
A47L9/30	9	Arrangement of illuminating devices	A47L9/30	A47L9/30		651
A47L9/32	8	Handles	A47L9/32	A47L9/32		610
A47L9/322	9	{for hand-supported suction cleaners}	A47L9/32	A47L9/32		978
A47L9/325	9	{for wheeled suction cleaners with steering handle}	A47L9/32	A47L9/32		755
A47L9/327	9	{for suction cleaners with hose between nozzle and casing}	A47L9/32	A47L9/32		686
A47L11/00	7	Machines for cleaning floors, carpets, furniture, walls, or wall coverings	A47L11/00	A47L11/00		1774
A47L11/02	8	Floor surfacing or polishing machines (polishing machines in general B24B29/00)	A47L11/02	A47L11/02		62
A47L11/03	9	characterised by having provisions for supplying cleaning or polishing agents {(A47L11/065, A47L11/085, A47L11/125, A47L11/145, A47L11/161, A47L11/1625, A47L11/185, A47L11/201 take precedence)}	A47L11/03	A47L11/03		274
A47L11/04	9	hand-driven	A47L11/04	A47L11/04		108
A47L11/06	10	with reciprocating or oscillating tools	A47L11/06	A47L11/06		65
A47L11/065	11	{with supply of cleaning agents}	A47L11/06	A47L11/06		14
A47L11/08	10	with rotating tools	A47L11/08	A47L11/08		197
A47L11/085	11	{with supply of cleaning agents}	A47L11/08	A47L11/08		138
A47L11/10	9	motor-driven	A47L11/10	A47L11/10		134
A47L11/12	10	with reciprocating or oscillating tools	A47L11/12	A47L11/12		275
A47L11/125	11	{with supply of cleaning agents}	A47L11/12	A47L11/12		54
A47L11/14	10	with rotating tools	A47L11/14	A47L11/14		235
A47L11/145	11	{with supply of cleaning agents}	A47L11/14	A47L11/14		112
A47L11/16	11	the tools being disc brushes	A47L11/16	A47L11/16		418
A47L11/161	12	{with supply of cleaning agents}	A47L11/16	A47L11/16		136
A47L11/162	12	having only a single disc brush	A47L11/162	A47L11/162		309
A47L11/1625	13	{with supply of cleaning agents}	A47L11/162	A47L11/162		134
A47L11/164	12	Parts or details of the brushing tools	A47L11/164	A47L11/164		605
A47L11/18	11	the tools being roll brushes	A47L11/18	A47L11/18		268
A47L11/185	12	{with supply of cleaning agents}	A47L11/18	A47L11/18		140
A47L11/19	12	Parts or details of the brushing tools	A47L11/19	A47L11/19		153
A47L11/20	9	combined with vacuum cleaning devices	A47L11/20	A47L11/20		419
A47L11/201	10	{with supply of cleaning agents}	A47L11/20	A47L11/20		349
A47L11/202	10	having separate drive for the cleaning brushes	A47L11/202	A47L11/202		130
A47L11/2025	11	{the tools being disc brushes}	A47L11/202	A47L11/202		70
A47L11/204	10	having combined drive for brushes and for vacuum cleaning	A47L11/204	A47L11/204		185
A47L11/205	11	for reciprocating brushes	A47L11/205	A47L11/205		12
A47L11/206	11	for rotary disc brushes	A47L11/206	A47L11/206		116
A47L11/2065	12	{having only one disc brush}	A47L11/206	A47L11/206		93
A47L11/22	8	Floor-sweeping machines, hand-driven	A47L11/22	A47L11/22		362
A47L11/24	8	Floor-sweeping machines, motor-driven	A47L11/24	A47L11/24		8225
A47L11/26	8	Floor-scrubbing machines, hand-driven (A47L11/29 takes precedence)	A47L11/26	A47L11/26		402
A47L11/28	8	Floor-scrubbing machines, motor-driven (A47L11/29 takes precedence)	A47L11/28	A47L11/28		2153
A47L11/282	9	having rotary tools	A47L11/282	A47L11/282		1990
A47L11/283	10	the tools being disc brushes	A47L11/283	A47L11/283		933
A47L11/284	9	having reciprocating tools	A47L11/284	A47L11/284		413
A47L11/29	8	Floor-scrubbing machines characterised by means for taking-up dirty liquid	A47L11/29	A47L11/29		507
A47L11/292	9	having rotary tools (A47L11/30 takes precedence)	A47L11/292	A47L11/292		733
A47L11/293	10	the tools being disc brushes	A47L11/293	A47L11/293		247
A47L11/294	9	having reciprocating tools (A47L11/30 takes precedence)	A47L11/294	A47L11/294		55
A47L11/30	9	by suction	A47L11/30	A47L11/30		1558
A47L11/302	10	{having rotary tools}	A47L11/30	A47L11/30		1401
A47L11/305	11	{the tools being disc brushes}	A47L11/30	A47L11/30		544
A47L11/307	10	{having reciprocating tools}	A47L11/30	A47L11/30		89
A47L11/32	8	Carpet-sweepers (combined with suction cleaners A47L7/02)	A47L11/32	A47L11/32		420
A47L11/325	9	{Shampoo devices for carpet-sweepers}	A47L11/32	A47L11/32		310
A47L11/33	9	having means for storing dirt	A47L11/33	A47L11/33		1330
A47L11/34	8	Machines for treating carpets in position by liquid, foam, or vapour, e.g. by steam	A47L11/34	A47L11/34		1978
A47L11/36	8	Machines for beating upholstery	A47L11/36	A47L11/36		133
A47L11/38	8	Machines, specially adapted for cleaning walls, ceilings, roofs, or the like	A47L11/38	A47L11/38		2667
A47L11/40	8	Parts or details of machines not {provided for in} groups A47L11/02&#160;-&#160;A47L11/38, {or not restricted to one of these groups}, e.g. handles, arrangements of switches, skirts, buffers, levers	A47L11/40	A47L11/40		10007
A47L11/4002	9	{Installations of electric equipment}	A47L11/40	A47L11/40		2672
A47L11/4005	10	{Arrangements of batteries or cells; Electric power supply arrangements}	A47L11/40	A47L11/40		1556
A47L11/4008	10	{Arrangements of switches, indicators or the like}	A47L11/40	A47L11/40		1554
