E02F3/402	12	{with means for facilitating the loading thereof, e.g. conveyors}	E02F3/40	E02F3/40		199
E02F3/404	13	{comprising two parts movable relative to each other, e.g. for gripping}	E02F3/40	E02F3/40		922
E02F3/405	13	{using vibrating means (blades or levelling tools with vibrating teeth E02F3/8155; vibrating rippers E02F5/326)}	E02F3/40	E02F3/40		235
E02F3/407	12	with ejecting {or other unloading} device	E02F3/407	E02F3/407		596
E02F3/4075	13	{Dump doors; Control thereof}	E02F3/407	E02F3/407		412
E02F3/413	12	with grabbing device ({E02F3/404 takes precedence; with grab buckets moved by cables or hoisting ropes E02F3/47;} grab equipment for cranes B66C)	E02F3/413	E02F3/413		694
E02F3/4131	13	{mounted on a floating substructure (floating substructures per seE02F9/06)}	E02F3/413	E02F3/413		105
E02F3/4133	13	{grabs carried out as loaders or mounted on a tractor}	E02F3/413	E02F3/413		115
E02F3/4135	13	{with grabs mounted directly on a boom}	E02F3/413	E02F3/413		454
E02F3/4136	13	{with grabs mounted on a slidable or telescopic boom or arm}	E02F3/413	E02F3/413		132
E02F3/4138	13	{the grab being emptied by flushing}	E02F3/413	E02F3/413		9
E02F3/42	11	Drives for dippers, buckets, dipper-arms or bucket-arms	E02F3/42	E02F3/42		1011
E02F3/422	12	{Drive systems for bucket-arms, front-end loaders, dumpers or the like}	E02F3/42	E02F3/42		565
E02F3/425	12	{Drive systems for dipper-arms, backhoes or the like}	E02F3/42	E02F3/42		948
E02F3/427	12	{with mechanical drives (by cables or hoisting ropes E02F3/46 take precedence)}	E02F3/42	E02F3/42		341
E02F3/43	12	Control of dipper or bucket position; Control of sequence of drive operations	E02F3/43	E02F3/43		787
E02F3/431	13	{for bucket-arms, front-end loaders, dumpers or the like}	E02F3/43	E02F3/43		553
E02F3/432	14	{for keeping the bucket in a predetermined position or attitude}	E02F3/43	E02F3/43		274
E02F3/433	15	{horizontal, e.g. self-levelling}	E02F3/43	E02F3/43		285
E02F3/434	14	{providing automatic sequences of movements, e.g. automatic dumping or loading, automatic return-to-dig}	E02F3/43	E02F3/43		336
E02F3/435	13	{for dipper-arms, backhoes or the like}	E02F3/43	E02F3/43		1409
E02F3/436	14	{for keeping the dipper in the horizontal position, e.g. self-levelling}	E02F3/43	E02F3/43		114
E02F3/437	14	{providing automatic sequences of movements, e.g. linear excavation, keeping dipper angle constant}	E02F3/43	E02F3/43		782
E02F3/438	14	{Memorising movements for repetition, e.g. play-back capability}	E02F3/43	E02F3/43		109
E02F3/439	14	{Automatic repositioning of the implement, e.g. automatic dumping, auto-return (E02F3/438 takes precedence)}	E02F3/43	E02F3/43		221
E02F3/46	9	with reciprocating digging or scraping elements moved by cables or hoisting ropes {; Drives or control devices therefor (E02F3/205, E02F3/905 take precedence)}	E02F3/46	E02F3/46		214
E02F3/47	10	with grab buckets (grab equipment for cranes B66C)	E02F3/47	E02F3/47		356
E02F3/475	11	{for making foundation slots (slotting machines with a pair of digging wheels E02F3/205)}	E02F3/47	E02F3/47		82
