B41M5/337	10	Additives; Binders {(B41M5/46 takes precedence)}	B41M5/337	B41M5/337		150
B41M5/3372	11	{Macromolecular compounds}	B41M5/337	B41M5/337		466
B41M5/3375	11	{Non-macromolecular compounds}	B41M5/337	B41M5/337		1266
B41M5/3377	11	{Inorganic compounds, e.g. metal salts of organic acids}	B41M5/337	B41M5/337		219
B41M5/34	9	Multicolour thermography	B41M5/34	B41M5/34		523
B41M5/345	10	{by thermal transfer of dyes or pigments}	B41M5/34	B41M5/34		518
B41M5/36	9	using a polymeric layer, which may be particulate and which is deformed or structurally changed with modification of its&apos; properties, e.g. of its&apos; optical hydrophobic-hydrophilic, solubility or permeability properties {(B41C1/10 takes precedence)}	B41M5/36	B41M5/36		412
B41M5/361	10	{using a polymeric matrix with inorganic particles forming an image by orientation or agglomeration}	B41M5/36	B41M5/36		9
B41M5/363	10	{using materials comprising a polymeric matrix containing a low molecular weight organic compound such as a fatty acid, e.g. for reversible recording}	B41M5/36	B41M5/36		157
B41M5/366	10	{using materials comprising a polymeric matrix containing a polymeric particulate material, e.g. hydrophobic heat coalescing particles}	B41M5/36	B41M5/36		128
B41M5/368	10	{involving the creation of a soluble/insoluble or hydrophilic/hydrophobic permeability pattern; Peel development (B41M5/366 takes precedence)}	B41M5/36	B41M5/36		276
B41M5/382	9	Contact thermal transfer or sublimation processes (sublistatic printing using a pre-formed image B41M5/035; ink-, dye- or pigment-receptive coatings B41M5/52)	B41M5/382	B41M5/382		734
B41M5/38207	10	{characterised by aspects not provided for in groups B41M5/385&#160;-&#160;B41M5/395}	B41M5/382	B41M5/382		1207
B41M5/38214	11	{Structural details, e.g. multilayer systems (composition of individual layers B41M5/42)}	B41M5/382	B41M5/382		624
B41M5/38221	11	{Apparatus features}	B41M5/382	B41M5/382		339
B41M5/38228	10	{characterised by the use of two or more ink layers}	B41M5/382	B41M5/382		298
B41M5/38235	10	{characterised by transferable colour-forming materials}	B41M5/382	B41M5/382		238
B41M5/38242	10	{characterised by the use of different kinds of energy to effect transfer, e.g. heat and light}	B41M5/382	B41M5/382		90
B41M5/3825	10	{Electric current carrying heat transfer sheets}	B41M5/382	B41M5/382		341
B41M5/38257	10	{characterised by the use of an intermediate receptor}	B41M5/382	B41M5/382		217
B41M5/38264	10	{Overprinting of thermal transfer images}	B41M5/382	B41M5/382		90
B41M5/38271	10	{using microcapsules}	B41M5/382	B41M5/382		66
B41M5/38278	10	{using ink-containing structures, e.g. porous or microporous layers, alveoles or cellules}	B41M5/382	B41M5/382		138
B41M5/38285	10	{characterised by magnetic components in the transfer ink}	B41M5/382	B41M5/382		81
B41M5/38292	10	{with correction means}	B41M5/382	B41M5/382		29
B41M5/385	10	characterised by the transferable dyes or pigments {(infrared absorbing dyes B41M5/465)}	B41M5/385	B41M5/385		587
B41M5/3852	11	{Anthraquinone or naphthoquinone dyes}	B41M5/385	B41M5/385		184
B41M5/3854	11	{Dyes containing one or more acyclic carbon-to-carbon double bonds, e.g., di- or tri-cyanovinyl, methine}	B41M5/385	B41M5/385		318
B41M5/3856	11	{Dyes characterised by an acyclic -X=C group, where X can represent both nitrogen and a substituted carbon atom}	B41M5/385	B41M5/385		59
B41M5/3858	11	{Mixtures of dyes, at least one being a dye classifiable in one of groups B41M5/385&#160;-&#160;B41M5/39}	B41M5/385	B41M5/385		144
B41M5/388	11	Azo dyes	B41M5/388	B41M5/388		333
B41M5/39	11	Dyes containing one or more carbon-to-nitrogen double bonds, e.g. azomethine	B41M5/39	B41M5/39		352
B41M5/392	10	Additives, other than colour forming substances, dyes or pigments, e.g. sensitisers, transfer promoting agents	B41M5/392	B41M5/392		744
B41M5/395	11	Macromolecular additives, e.g. binders	B41M5/395	B41M5/395		895
B41M5/398	9	Processes based on the production of stickiness patterns using powders	B41M5/398	B41M5/398		241
B41M5/40	9	characterised by the base {backcoat}, intermediate, or covering layers, {e.g. for thermal transfer dye-donor or dye-receiver sheets}; Heat, radiation filtering or absorbing means or layers; combined with other image registration layers or compositions; Special originals for reproduction by thermography {(macromolecular ink- or dye-receptive coatings B41M5/52)}	B41M5/40	B41M5/40		717
B41M5/405	10	{characterised by layers cured by radiation (layers cured after recording B41M7/0072)}	B41M5/40	B41M5/40		212
B41M5/41	10	Base layers {supports or substrates}	B41M5/41	B41M5/41		1260
B41M5/42	10	Intermediate, {backcoat}, or covering layers {(B41M5/405 takes precedence; multilayer thermal transfer systems in general B41M5/38214)}<br><br><u>NOTE</u><br><br> When the invention information lies in the combination of features covered by more than one of the subgroups of B41M5/42, classification is made in B41M5/42, using the corresponding indexing codes of its subgroups to identify the individual featues 	B41M5/42	B41M5/42		2146
B41M5/423	11	{characterised by non-macromolecular compounds, e.g. waxes}	B41M5/42	B41M5/42		851
B41M5/426	11	{characterised by inorganic compounds, e.g. metals, metal salts, metal complexes}	B41M5/42	B41M5/42		1139
B41M5/44	11	characterised by the macromolecular compounds	B41M5/44	B41M5/44		2484
B41M5/443	12	{Silicon-containing polymers, e.g. silicones, siloxanes}	B41M5/44	B41M5/44		508
B41M5/446	12	{Fluorine-containing polymers}	B41M5/44	B41M5/44		120
B41M5/46	10	characterised by the light-to-heat converting means; characterised by the heat or radiation filtering or absorbing means or layers	B41M5/46	B41M5/46		451
B41M5/465	11	{Infrared radiation-absorbing materials, e.g. dyes, metals, silicates, C black}	B41M5/46	B41M5/46		480
B41M5/48	10	combined with other image registration layers or compositions; Special originals for reproduction by thermography	B41M5/48	B41M5/48		122
