E04G7/28	9	Clips or connections for securing boards (brackets E04G5/06{; scaffolds comprising special means for supporting or forming platforms, platforms E04G1/15; scaffold boards or planks E04G5/08})	E04G7/28	E04G7/28		1035
E04G2007/285	10	{specially adapted for toe boards}	E04G7/28	E04G7/28		330
E04G7/30	8	Scaffolding bars or members with non-detachably fixed coupling elements	E04G7/30	E04G7/30		216
E04G7/301	9	{for connecting bars or members which are parallel or in end-to-end relation}	E04G7/30	E04G7/30		369
E04G7/302	9	{for connecting crossing or intersecting bars or members}	E04G7/30	E04G7/30		87
E04G7/303	10	{the added coupling elements are only fixed at one of the bars or members to connect}	E04G7/30	E04G7/30		49
E04G7/304	11	{with tying means for connecting the bars or members}	E04G7/30	E04G7/30		284
E04G7/305	11	{without tying means for connecting the bars or members}	E04G7/30	E04G7/30		271
E04G7/306	10	{the added coupling elements are fixed at several bars or members to connect}	E04G7/30	E04G7/30		99
E04G7/307	11	{with tying means for connecting the bars or members}	E04G7/30	E04G7/30		618
E04G7/308	11	{without tying means for connecting the bars or members}	E04G7/30	E04G7/30		313
E04G7/32	9	with coupling elements using wedges	E04G7/32	E04G7/32		481
E04G7/34	9	with coupling elements using positive engagement, e.g. hooks or pins	E04G7/34	E04G7/34		474
E04G9/00	7	Forming or shuttering elements for general use {(for prefabrication of concrete elements in a plant B28B7/00)}	E04G9/00	E04G9/00		193
E04G9/02	8	Forming boards or similar elements (E04G9/08, E04G9/10 take precedence)	E04G9/02	E04G9/02		1276
E04G9/021	9	{the form surface being of cardboard}	E04G9/02	E04G9/02		105
E04G2009/023	9	{with edge protection}	E04G9/02	E04G9/02		163
E04G2009/025	10	{by a flange of the board&apos;s frame}	E04G9/02	E04G9/02		420
E04G2009/026	10	{specific for corners}	E04G9/02	E04G9/02		67
E04G2009/028	9	{with reinforcing ribs on the underside}	E04G9/02	E04G9/02		632
E04G9/04	9	the form surface being of wood	E04G9/04	E04G9/04		605
E04G9/05	9	the form surface being of plastics	E04G9/05	E04G9/05		1142
E04G9/06	9	the form surface being of metal	E04G9/06	E04G9/06		1564
E04G9/065	10	{the form surface being of wire mesh}	E04G9/06	E04G9/06		140
E04G9/08	8	Forming boards or similar elements, which are collapsible, foldable, or able to be rolled up	E04G9/08	E04G9/08		663
E04G9/083	9	{which are foldable}	E04G9/08	E04G9/08		169
E04G9/086	9	{which are specially adapted to be degradable in time, e.g. by moisture or water}	E04G9/08	E04G9/08		22
E04G9/10	8	with additional peculiarities such as surface shaping, insulating or heating, permeability to water or air	E04G9/10	E04G9/10		2060
E04G11/00	7	Forms, shutterings, or falsework for making walls, floors, ceilings, or roofs {(for prefabrication of concrete elements in a plant B28B7/00)}	E04G11/00	E04G11/00		254
E04G11/02	8	for rooms as a whole {by which walls and floors are cast simultaneously}, whole storeys, or whole buildings	E04G11/02	E04G11/02		750
E04G11/04	8	for structures of spherical, spheroid or similar shape, or for cupola structures of circular or polygonal horizontal or vertical section; Inflatable forms (connection of valves to inflatable elastic bodies B60C29/00{; structures made from masses cast in situ with permanent forms E04B1/16})	E04G11/04	E04G11/04		482
E04G11/045	9	{Inflatable forms}	E04G11/04	E04G11/04		283
E04G11/06	8	for walls, e.g. curved {end panels for wall shutterings; filler elements for wall shutterings; shutterings for vertical ducts}(E04G11/04 takes precedence)	E04G11/06	E04G11/06		1359
E04G11/062	9	{Forms for curved walls (E04G11/20 takes precedence)}	E04G11/06	E04G11/06		399
E04G11/065	10	{with mechanical means to modify the curvature}	E04G11/06	E04G11/06		213
E04G2011/067	9	{Integrated forms comprising shuttering skin, bracing or strutting arrangements, workplatforms and railings}	E04G11/06	E04G11/06		498
E04G11/08	9	Forms, which are completely dismantled after setting of the concrete and re-built for next pouring ({E04G11/062 takes precedence}; connecting or supporting means for forms E04G17/00; {walls made by casting, pouring, in situ made in permanent forms E04B2/84})	E04G11/08	E04G11/08		1404
E04G11/082	10	{Retractable forms for the inside face of at least three walls (for rooms as a whole E04G11/02)}	E04G11/08	E04G11/08		170
E04G11/085	10	{End form panels for walls (for floors E04G11/365)}	E04G11/08	E04G11/08		294
E04G11/087	10	{Fill-in form panels in the plane of two adjacent forms}	E04G11/08	E04G11/08		137
E04G11/10	10	of elements without beams {which are mounted during erection of the shuttering to brace or couple the elements}(E04G11/18 takes precedence)	E04G11/10	E04G11/10		421
E04G11/12	10	of elements and beams {which are mounted during erection of the shuttering to brace or couple the elements}(E04G11/18 takes precedence)	E04G11/12	E04G11/12		689
