A46B13/08	8	hand-driven	A46B13/08	A46B13/08		499
A46B15/00	7	Other brushes; Brushes with additional arrangements	A46B15/00	A46B15/00		2412
A46B15/0002	8	{Arrangements for enhancing monitoring or controlling the brushing process}	A46B15/00	A46B15/00		1209
A46B15/0004	9	{with a controlling means}	A46B15/00	A46B15/00		421
A46B15/0006	10	{with a controlling brush technique device, e.g. stroke movement measuring device}	A46B15/00	A46B15/00		508
A46B15/0008	10	{with means for controlling duration, e.g. time of brushing}	A46B15/00	A46B15/00		413
A46B15/001	10	{with means indicating the remaining useful life of brush}	A46B15/00	A46B15/00		148
A46B15/0012	10	{with a pressure controlling device}	A46B15/00	A46B15/00		397
A46B15/0014	10	{with a controlling temperature device}	A46B15/00	A46B15/00		59
A46B15/0016	9	{with enhancing means}	A46B15/00	A46B15/00		183
A46B15/0018	10	{with antistatic properties}	A46B15/00	A46B15/00		28
A46B15/002	10	{with a means for removing or creating static electricity}	A46B15/00	A46B15/00		55
A46B15/0022	10	{with an electrical means}	A46B15/00	A46B15/00		271
A46B15/0024	10	{with means generating ions}	A46B15/00	A46B15/00		127
A46B15/0026	10	{with a magnetic means}	A46B15/00	A46B15/00		141
A46B15/0028	10	{with an acoustic means}	A46B15/00	A46B15/00		121
A46B15/003	10	{Enhancing with heat}	A46B15/00	A46B15/00		197
A46B15/0032	10	{with protrusion for polishing teeth}	A46B15/00	A46B15/00		97
A46B15/0034	10	{with a source of radiation, e.g. UV, IR, LASER, X-ray for irradiating the teeth and associated surfaces}	A46B15/00	A46B15/00		298
A46B15/0036	10	{with a lighting means, e.g. laser, bulb (A46B15/0034 takes precedence)}	A46B15/00	A46B15/00		438
A46B15/0038	9	{with signalling means}	A46B15/00	A46B15/00		199
A46B15/004	10	{with an acoustic signalling means, e.g. noise}	A46B15/00	A46B15/00		256
A46B15/0042	11	{with musical signalling means}	A46B15/00	A46B15/00		163
A46B15/0044	10	{with light signalling means (A46B15/0034, A46B15/0036 takes precedence)}	A46B15/00	A46B15/00		308
