B23F21/08	9	having the same profile as a tooth or teeth of a rack	B23F21/08	B23F21/08		31
B23F21/083	10	{with inserted cutting elements}	B23F21/08	B23F21/08		2
B23F21/086	11	{in exchangeable arrangement}	B23F21/08	B23F21/08		22
B23F21/10	9	Gear-shaper cutters having a shape similar to a spur wheel or part thereof	B23F21/10	B23F21/10		125
B23F21/103	10	{with inserted cutting elements}	B23F21/10	B23F21/10		4
B23F21/106	11	{in exchangeable arrangement}	B23F21/10	B23F21/10		26
B23F21/12	8	Milling tools	B23F21/12	B23F21/12		154
B23F21/122	9	{having a shape similar to that of a gear or part thereof, with cutting edges situated on the tooth contour lines}	B23F21/12	B23F21/12		58
B23F21/124	9	{with cutting teeth disposed on the inner periphery of a ring}	B23F21/12	B23F21/12		7
B23F21/126	9	{with inserted cutting elements}	B23F21/12	B23F21/12		15
B23F21/128	10	{in exchangeable arrangement}	B23F21/12	B23F21/12		49
B23F21/14	9	Profile cutters of disc type	B23F21/14	B23F21/14		75
B23F21/143	10	{with inserted cutting elements}	B23F21/14	B23F21/14		11
B23F21/146	11	{in exchangeable arrangement}	B23F21/14	B23F21/14		43
B23F21/16	9	Hobs	B23F21/16	B23F21/16		483
B23F21/163	10	{with inserted cutting elements}	B23F21/16	B23F21/16		31
B23F21/166	11	{in exchangeable arrangement}	B23F21/16	B23F21/16		242
B23F21/18	10	Taper hobs, e.g. for bevel gears	B23F21/18	B23F21/18		51
B23F21/183	11	{with inserted cutting elements}	B23F21/18	B23F21/18		1
B23F21/186	12	{in exchangeable arrangement}	B23F21/18	B23F21/18		5
B23F21/20	9	Fly cutters	B23F21/20	B23F21/20		11
B23F21/203	10	{with inserted cutting elements}	B23F21/20	B23F21/20		3
B23F21/206	11	{in exchangeable arrangement}	B23F21/20	B23F21/20		20
B23F21/22	9	Face-mills for longitudinally-curved gear teeth	B23F21/22	B23F21/22		56
B23F21/223	10	{with inserted cutting elements}	B23F21/22	B23F21/22		11
B23F21/226	11	{in exchangeable arrangement}	B23F21/22	B23F21/22		318
B23F21/23	10	with cutter teeth arranged on a spiral curve for continuous generating processes	B23F21/23	B23F21/23		16
B23F21/233	11	{with inserted cutting elements}	B23F21/23	B23F21/23		
B23F21/236	12	{in exchangeable arrangement}	B23F21/23	B23F21/23		9
B23F21/24	8	Broach-milling tools	B23F21/24	B23F21/24		21
B23F21/241	9	{with inserted cutting elements}	B23F21/24	B23F21/24		1
B23F21/243	10	{in exchangeable arrangement}	B23F21/24	B23F21/24		10
B23F21/245	9	{Face broach mills}	B23F21/24	B23F21/24		21
B23F21/246	10	{with inserted cutting elements}	B23F21/24	B23F21/24		
B23F21/248	11	{in exchangeable arrangement}	B23F21/24	B23F21/24		18
