F16F7/08	8	with friction surfaces rectilinearly movable along each other (F16F7/01 takes precedence {; one of the members being a spring F16F13/02})	F16F7/08	F16F7/08		909
F16F7/082	9	{and characterised by damping force adjustment means}	F16F7/08	F16F7/08		210
F16F7/085	10	{resulting in the damping effects being different according to direction of movement}	F16F7/08	F16F7/08		32
F16F7/087	9	{Elastomeric surface effect dampers}	F16F7/08	F16F7/08		49
F16F7/09	9	in dampers of the cylinder-and-piston type	F16F7/09	F16F7/09		858
F16F7/095	10	{frictional elements brought into engagement by movement along a surface oblique to the axis of the cylinder, e.g. interaction of wedge-shaped elements}	F16F7/09	F16F7/09		63
F16F7/10	8	using inertia effect (F16F13/108, F16F13/22, F16F15/10, F16F15/22 take precedence; stabilising vehicle bodies by means of movable masses B62D37/04; protection of buildings against vibrations or shocks by mass dampers E04H9/0215; arrangements or devices for damping mechanical oscillations of power lines H02G7/14)	F16F7/10	F16F7/10		790
F16F7/1005	9	{characterised by active control of the mass}	F16F7/10	F16F7/10		381
F16F7/1011	10	{by electromagnetic means}	F16F7/10	F16F7/10		353
F16F7/1017	10	{by fluid means}	F16F7/10	F16F7/10		89
F16F7/1022	9	{the linear oscillation movement being converted into a rotational movement of the inertia member, e.g. using a pivoted mass}	F16F7/10	F16F7/10		229
F16F7/1028	9	{the inertia-producing means being a constituent part of the system which is to be damped}	F16F7/10	F16F7/10		253
F16F7/1034	9	{of movement of a liquid}	F16F7/10	F16F7/10		171
F16F7/104	9	the inertia member being resiliently mounted {(F16F7/1022 takes precedence)}	F16F7/104	F16F7/104		1195
F16F7/108	10	on plastics springs	F16F7/108	F16F7/108		984
F16F7/112	10	on fluid springs	F16F7/112	F16F7/112		122
F16F7/116	10	on metal springs	F16F7/116	F16F7/116		669
F16F7/12	8	using plastic deformation of members {(F16F9/30 takes precedence; yieldable means for mounting bumpers on vehicles B60R19/26; yieldable or collapsible steering columns B62D1/192)}	F16F7/12	F16F7/12		1443
F16F7/121	9	{the members having a cellular, e.g. honeycomb, structure}	F16F7/12	F16F7/12		549
F16F7/122	10	{characterised by corrugations, e.g. of rolled corrugated material}	F16F7/12	F16F7/12		53
F16F7/123	9	{Deformation involving a bending action, e.g. strap moving through multiple rollers, folding of members (F16F7/125, F16F7/128 take precedence)}	F16F7/12	F16F7/12		542
