A47F7/0035	9	{in a horizontal position}	A47F7/00	A47F7/00		131
A47F7/0042	8	{for flat articles, e.g. panels, tiles (A47F7/0014, A47F7/14, A47F7/16 take precedence)}	A47F7/00	A47F7/00		686
A47F7/005	8	{for flexible long articles in rolls, e.g. electrical cords, cables, chains, waterhoses (for textile articles on rolls A47F7/17)}	A47F7/00	A47F7/00		139
A47F7/0057	8	{for disklike articles (A47F7/0064 takes precedence)}	A47F7/00	A47F7/00		70
A47F7/0064	8	{for crockery, e.g. plates, glasses}	A47F7/00	A47F7/00		174
A47F7/0071	8	{for perishable goods}	A47F7/00	A47F7/00		656
A47F7/0078	9	{for plants or flowers}	A47F7/00	A47F7/00		527
A47F2007/0085	8	{for light bulbs, lamps, lampshades or the like}	A47F7/00	A47F7/00		113
A47F2007/0092	8	{for toy or miniature vehicles}	A47F7/00	A47F7/00		75
A47F7/02	8	for jewellery, dentures, watches, eye-glasses, lenses, or the like	A47F7/02	A47F7/02		1269
A47F7/021	9	{for eye-glasses (A47F7/03 takes precedence; with theft prevention A47F7/0243)}	A47F7/02	A47F7/02		475
A47F7/022	9	{for watches or for bracelets therefor (A47F7/03 takes precedence)}	A47F7/02	A47F7/02		334
A47F7/024	9	with provisions for preventing unauthorised removal {(show cases with devices for prevention of theft A47F3/002; devices for locking portable objects against unauthorised removal E05B73/0017)}	A47F7/024	A47F7/024		649
A47F7/0243	10	{for eye glasses}	A47F7/024	A47F7/024		83
A47F7/0246	10	{for rectangular articles, e.g. books, cassettes (on the article itself E05B73/0023)}	A47F7/024	A47F7/024		151
A47F7/03	9	of box shape; Adaptations of boxes to display purposes	A47F7/03	A47F7/03		538
A47F7/04	8	for tyres; for wheels {(holders for bicycles B62H3/00)}	A47F7/04	A47F7/04		308
A47F7/06	8	for hats {or wigs}	A47F7/06	A47F7/06		335
A47F7/065	9	{for wigs (wig cases A45C11/00)}	A47F7/06	A47F7/06		68
A47F7/08	8	for shoes {(shoe hangers A47G25/005; shoe hangers with anti-theft means E05B69/003)}	A47F7/08	A47F7/08		893
A47F7/10	8	for hosiery	A47F7/10	A47F7/10		210
A47F7/12	8	for ties (household necktie holders A47G25/74); for collars {, belts, braces, zip fasteners}	A47F7/12	A47F7/12		225
A47F7/14	8	for pictures, e.g. in combination with books or seed-bags {; for cards, magazines, newspapers, books or booklike articles, e.g. audio/video cassettes (racks or containers with dispensing arrangements A47F1/04; for cardboard panels, e.g. posters, A47F7/0042)}	A47F7/14	A47F7/14		755
A47F7/141	9	{for stacking vertically, e.g. newspaper holders}	A47F7/14	A47F7/14		102
A47F7/142	9	{for only one article}	A47F7/14	A47F7/14		194
A47F7/143	9	{hanging or attached on show stands by means of brackets, clips, slits or the like}	A47F7/14	A47F7/14		283
A47F7/144	9	{the show stands or the like being provided with trays, shelves or adjustable partitioning means therefor}	A47F7/14	A47F7/14		228
A47F7/145	10	{Terraced shelves}	A47F7/14	A47F7/14		252
A47F7/146	9	{the show stands or the like being provided with compartments or pockets (with theft prevention A47F7/0246)}	A47F7/14	A47F7/14		514
A47F7/147	10	{being individually detachable}	A47F7/14	A47F7/14		189
A47F7/148	9	{the show stands or the like being made of wire, tubes or metal strips}	A47F7/14	A47F7/14		249
A47F7/16	8	for carpets; for wallpaper; for textile materials {(for ceramic tiles A47F7/0042)}	A47F7/16	A47F7/16		394
A47F7/163	9	{in the form of flat shaped samples (G09F5/02; sample cards G09F5/04)}	A47F7/16	A47F7/16		512
A47F7/166	9	{with mechanical or electrical handling means}	A47F7/16	A47F7/16		185
A47F7/17	9	in rolls or rolled tapes	A47F7/17	A47F7/17		211
A47F7/175	10	{of carpets, wallpapers or fabrics}	A47F7/17	A47F7/17		452
A47F7/18	9	for clothing materials (A47F7/17 takes precedence {; for zip fasteners A47F7/12})	A47F7/18	A47F7/18		161
