G09F1/00	7	Cardboard or like show-cards of foldable or flexible material	G09F1/00	G09F1/00		442
G09F7/00	7	Signs, name or number plates, letters, numerals, or symbols (vehicle registration number plates B60R13/10); Panels or boards (show-cards G09F1/00; indicating arrangements for variable information G09F9/00, G09F11/00; illuminated signs G09F13/00; boards for notices or posters G09F15/00)	G09F7/00	G09F7/00		3497
G09F7/002	8	{weather-proof panels or boards (G09F7/02&#160;-&#160;G09F7/14, G09F7/18&#160;-&#160;G09F7/22 take precedence)}	G09F7/00	G09F7/00		528
G09F2007/005	8	{Signs associated with a sensor}	G09F7/00	G09F7/00		152
G09F2007/007	8	{Signs without covering windows}	G09F7/00	G09F7/00		38
G09F7/02	8	Signs, plates, panels or boards using readily-detachable elements bearing or forming symbols	G09F7/02	G09F7/02		1485
G09F7/04	9	the elements being secured or adapted to be secured by magnetic means	G09F7/04	G09F7/04		1434
G09F7/06	9	the elements being secured or adapted to be secured by means of pins and holes	G09F7/06	G09F7/06		671
G09F7/08	9	the elements being secured or adapted to be secured by means of grooves, rails, or slits	G09F7/08	G09F7/08		1897
G09F7/10	10	and slideably mounted	G09F7/10	G09F7/10		961
G09F7/12	9	the elements being secured or adapted to be secured by self-adhesion, moisture, suction, slow-drying adhesive or the like	G09F7/12	G09F7/12		1288
G09F2007/122	10	{by suction}	G09F7/12	G09F7/12		140
G09F2007/125	10	{by electrostatic force}	G09F7/12	G09F7/12		27
G09F2007/127	10	{by adhesive}	G09F7/12	G09F7/12		279
G09F7/14	9	Constructional features of the symbol bearing or forming elements	G09F7/14	G09F7/14		469
G09F7/16	8	Letters, numerals, or other symbols adapted for permanent fixing to a support	G09F7/16	G09F7/16		821
G09F7/165	9	{obtained by a treatment of the support}	G09F7/16	G09F7/16		506
G09F7/18	8	Means for attaching signs, plates, panels, or boards to a supporting structure	G09F7/18	G09F7/18		7090
G09F2007/1804	9	{for fastening to a post}	G09F7/18	G09F7/18		524
G09F2007/1808	10	{using tensioned bonds, e.g. metallic}	G09F7/18	G09F7/18		192
G09F2007/1813	10	{using brackets having two parts for clamping the post}	G09F7/18	G09F7/18		225
G09F2007/1817	10	{using fastening means to grip the post}	G09F7/18	G09F7/18		265
G09F2007/1821	10	{the post having slots or flanges to fasten the sign}	G09F7/18	G09F7/18		175
G09F2007/1826	10	{using channels on the rear of the sign board to be connected to the post, e.g. via clamps}	G09F7/18	G09F7/18		127
G09F2007/183	10	{the sign being formed by two parts clamping the post}	G09F7/18	G09F7/18		58
G09F2007/1834	9	{Signs or the like supported by two lateral posts}	G09F7/18	G09F7/18		212
G09F2007/1839	9	{for fastening to cables}	G09F7/18	G09F7/18		133
G09F2007/1843	9	{Frames or housings to hold signs}	G09F7/18	G09F7/18		1203
G09F2007/1847	9	{Brackets to grip the sign board}	G09F7/18	G09F7/18		829
G09F2007/1852	9	{for fastening magnetically or by suction or the like}	G09F7/18	G09F7/18		460
G09F2007/1856	9	{characterised by the supporting structure}	G09F7/18	G09F7/18		546
G09F2007/186	10	{suspended, e.g. secured to the ceiling}	G09F7/18	G09F7/18		682
G09F2007/1865	10	{on vehicles}	G09F7/18	G09F7/18		689
G09F2007/1869	10	{plates fixed to instruments}	G09F7/18	G09F7/18		133
G09F2007/1873	9	{characterised by the type of sign}	G09F7/18	G09F7/18		197
G09F2007/1878	10	{Traffic orientation, street markers}	G09F7/18	G09F7/18		492
G09F2007/1882	10	{Emblems, e.g. fixed by pins or screws}	G09F7/18	G09F7/18		208
G09F2007/1886	10	{Tensioned flexible signs}	G09F7/18	G09F7/18		179
G09F2007/1891	10	{modular}	G09F7/18	G09F7/18		389
G09F2007/1895	10	{Licence number plates}	G09F7/18	G09F7/18		300
G09F7/20	9	for adjustably mounting<br><br><u>WARNING</u><br>Group G09F7/20 is impacted by reclassification into group G09F7/205. <br>Groups G09F7/20 and G09F7/205 should be considered in order to perform a complete search.	G09F7/20	G09F7/20		1278
G09F7/205	10	{for adjustably raising or lowering suspended signs}<br><br><u>WARNING</u><br>Group G09F7/205 is incomplete pending reclassification of documents from group G09F7/20.<br>Groups G09F7/20 and G09F7/205 should be considered in order to perform a complete search.	G09F7/20	G09F7/20		180
G09F7/22	9	for rotatably or swingably mounting, e.g. for boards adapted to be rotated by the wind	G09F7/22	G09F7/22		1978
G09F9/00	7	Indicating arrangements for variable information in which the information is built-up on a support by selection or combination of individual elements (in which the variable information is permanently attached to a movable support G09F11/00; abacus G06C1/00; slide-rules G06G1/00)<br><br><u>NOTE</u><br><br>Group G09F9/302 takes precedence over groups G09F9/305 - G09F9/37.<br>This Note corresponds to IPC Note (1) relating to G09F9/302 - G09F9/37.	G09F9/00	G09F9/00		11303
G09F9/30	8	in which the desired character or characters are formed by combining individual elements (panels comprising a number of electrodes in a single cell controlling light arriving from an independent light source, e.g. electro-optical or magneto-optical cell, G02F1/00)	G09F9/30	G09F9/30		13266
G09F9/301	9	{flexible foldable or roll-able electronic displays, e.g. thin LCD, OLED}	G09F9/30	G09F9/30		13873
G09F9/302	9	characterised by the form or geometrical disposition of the individual elements	G09F9/302	G09F9/302		2736
G09F9/3023	10	{Segmented electronic displays}	G09F9/302	G09F9/302		707
G09F9/3026	10	{Video wall, i.e. stackable semiconductor matrix display modules (video wall control systems G06F3/1446, G09G2300/026)}	G09F9/302	G09F9/302		3029
G09F9/305	9	being the ends of optical fibres (G09F9/302 takes precedence)	G09F9/305	G09F9/305		880
G09F2009/3055	10	{for traffic signs}	G09F9/305	G09F9/305		98
G09F9/307	9	being incandescent filaments (G09F9/302 takes precedence; incandescent panels comprising a number of separate incandescent bodies, per seH01K9/00)	G09F9/307	G09F9/307		227
G09F9/313	9	being gas discharge devices (G09F9/302 takes precedence; gas discharge panels comprising a number of discharge gaps per seH01J17/49)	G09F9/313	G09F9/313		318
G09F9/33	9	being semiconductor devices, e.g. diodes<br><br><u>WARNING</u><br>Group G09F9/33 is impacted by reclassification into group G09F9/335. <br>Groups G09F9/33 and G09F9/335 should be considered in order to perform a complete search.	G09F9/33	G09F9/33		18265
G09F9/335	10	{being organic light emitting diodes [OLED]}<br><br><u>WARNING</u><br>Group G09F9/335 is incomplete pending reclassification of documents from group G09F9/33. <br>Groups G09F9/33 and G09F9/335 should be considered in order to perform a complete search.	G09F9/33	G09F9/33		2429
G09F9/35	9	being liquid crystals (G09F9/302 takes precedence; liquid crystal materials C09K19/00; {liquid crystal panels comprising a number of electrodes in a single cell per seG02F1/13})	G09F9/35	G09F9/35		5121
G09F9/37	9	being movable elements (G09F9/302 takes precedence)	G09F9/37	G09F9/37		850
G09F9/372	10	{the positions of the elements being controlled by the application of an electric field}	G09F9/37	G09F9/37		936
G09F9/375	10	{the position of the elements being controlled by the application of a magnetic field}	G09F9/37	G09F9/37		757
G09F9/377	10	{the positions of the elements being controlled by pneumatic means}	G09F9/37	G09F9/37		85
G09F9/40	8	in which the desired character is selected from a number of characters arranged one beside the other, e.g. on a common carrier plate	G09F9/40	G09F9/40		271
G09F9/405	9	{the selected character being projected on a common screen accommodating only one character at a time, to provide the same display position for all characters}	G09F9/40	G09F9/40		100
G09F9/46	8	in which the desired character is selected from a number of characters arranged one behind the other	G09F9/46	G09F9/46		135
G09F11/00	7	Indicating arrangements for variable information in which the complete information is permanently attached to a movable support which brings it to the display position (showcases or showcabinets with arrangements for continuously or intermittently moving the merchandise A47F3/08; using static means to present variable information G09F9/00)	G09F11/00	G09F11/00		679
G09F2011/0009	8	{Roller-band displays}	G09F11/00	G09F11/00		115
G09F2011/0018	9	{having one motor for each roller}	G09F11/00	G09F11/00		59
G09F2011/0027	9	{illuminated}	G09F11/00	G09F11/00		140
G09F2011/0036	9	{Multiple-loop bands}	G09F11/00	G09F11/00		26
G09F2011/0045	9	{Methods of fixing the images on a rolling band}	G09F11/00	G09F11/00		27
G09F2011/0054	10	{using a support in the form of an envelope}	G09F11/00	G09F11/00		2
G09F2011/0063	9	{Markings on a roller-band}	G09F11/00	G09F11/00		34
G09F2011/0072	9	{Methods of keeping tensioned a roller-band}	G09F11/00	G09F11/00		46
G09F2011/0081	9	{Roller-band displays used on vehicles}	G09F11/00	G09F11/00		69
G09F2011/009	9	{Means to prevent misalignement during the rolling of the band}	G09F11/00	G09F11/00		8
G09F11/02	8	the display elements being secured to rotating members, e.g. drums, spindles	G09F11/02	G09F11/02		1249
G09F11/025	9	{the members being rotated simultaneously, each face of the member carrying a part of the sign}	G09F11/02	G09F11/02		1170
G09F11/04	9	the elements being secured to rotating discs {(G09F11/025 takes precedence)}	G09F11/04	G09F11/04		382
G09F11/06	9	the elements being stiff plates or cards (on rotating discs G09F11/04)	G09F11/06	G09F11/06		522
G09F11/08	9	the elements being flexible sheets (on rotating discs G09F11/04)	G09F11/08	G09F11/08		195
G09F11/10	9	Electrical control therefor	G09F11/10	G09F11/10		674
G09F11/12	8	the display elements being carried by endless belts, chains, or the like	G09F11/12	G09F11/12		756
G09F11/14	9	the elements being in the form of stiff flaps, boards, cards, or the like	G09F11/14	G09F11/14		82
G09F11/15	9	the elements being flexible sheets	G09F11/15	G09F11/15		256
G09F11/16	9	Electric control therefor	G09F11/16	G09F11/16		189
G09F11/18	8	the display elements being carried by belts, chains, or the like other than endless	G09F11/18	G09F11/18		284
G09F11/20	9	the elements being in the form of stiff flaps, boards, cards or the like	G09F11/20	G09F11/20		37
G09F11/21	9	the elements being flexible sheets	G09F11/21	G09F11/21		205
G09F11/22	9	Electric control therefor	G09F11/22	G09F11/22		111
G09F11/23	8	the advertising or display material forming part of rotating members, e.g. in the form of perforations, prints, or transparencies on a drum or disc	G09F11/23	G09F11/23		1738
G09F11/232	9	{Disc card or folded disc shaped card information display devices}	G09F11/23	G09F11/23		53
G09F11/235	9	Electric control therefor	G09F11/235	G09F11/235		45
G09F11/24	8	the advertising or display material forming part of a moving band, e.g. in the form of perforations, prints, or transparencies	G09F11/24	G09F11/24		175
G09F11/26	9	of an endless band	G09F11/26	G09F11/26		860
G09F11/28	10	Electric control therefor	G09F11/28	G09F11/28		102
G09F11/29	9	of a band other than endless	G09F11/29	G09F11/29		1240
G09F11/295	10	Electric control therefor	G09F11/295	G09F11/295		342
G09F11/30	8	the display elements being fed one by one from storage place to a display position	G09F11/30	G09F11/30		420
G09F11/32	9	the feeding means comprising belts or chains, e.g. endless belts or chains	G09F11/32	G09F11/32		133
G09F11/325	10	{the display elements being stored in the form of rolls fixed in between transporting belts or chains}	G09F11/32	G09F11/32		83
G09F11/34	9	the feeding means comprising electromagnets	G09F11/34	G09F11/34		360
G09F13/00	7	Illuminated signs; Luminous advertising (G09F9/00, G09F11/00 take precedence; control of displays in general using static means to present variable information G09G)	G09F13/00	G09F13/00		3274
G09F13/005	8	{Illumination controller or illuminated signs including an illumination control system}	G09F13/00	G09F13/00		1074
G09F13/02	8	Signs, boards, or panels, illuminated by artificial light sources positioned in front of the insignia	G09F13/02	G09F13/02		1065
