A61J17/1011	10	{Emitting sound, e.g. having rattles or music boxes}	A61J17/00	A61J17/1011		221
A61J17/1012	10	{Emitting light}	A61J17/00	A61J17/1012		85
A61J17/103	9	{Temperature sensing means}	A61J17/00	A61J17/103		108
A61J17/105	9	{Nipple attachments}	A61J17/00	A61J17/105		263
A61J17/107	9	{having specific orthodontic properties}	A61J17/00	A61J17/107		112
A61J17/109	9	{Decorative elements}	A61J17/00	A61J17/109		117
A61J17/111	9	{Holders therefor, e.g. to prevent loss or to hold in place}	A61J17/00	A61J17/111		209
A61J17/1111	10	{conjoined with soft cushions or toys}	A61J17/00	A61J17/1111		122
A61J17/1115	10	{Straps, cords or chains}	A61J17/00	A61J17/1115		171
A61J17/113	9	{Protective covers therefor, e.g. for protecting during disuse}	A61J17/00	A61J17/113		224
A61J19/00	7	Devices for receiving spittle, e.g. spittoons (for dentists A61C17/14)	A61J19/00	A61J19/00		1194
A61J19/02	8	Sputum flasks	A61J19/02	A61J19/02		91
A61J19/04	8	Spittoons with water supply	A61J19/04	A61J19/04		463
A61J19/06	8	Combustible sputum cups	A61J19/06	A61J19/06		140
A61J2200/00	7	General characteristics or adaptations	CPCONLY	A61J2200/00		26
A61J2200/10	8	Coring prevention means, e.g. for plug or septum piecing members	CPCONLY	A61J2200/10		88
A61J2200/20	8	Extrusion means, e.g. for producing pharmaceutical forms	CPCONLY	A61J2200/20		373
A61J2200/30	8	Compliance analysis for taking medication	CPCONLY	A61J2200/30		1034
A61J2200/40	8	Heating or cooling means; Combinations thereof	CPCONLY	A61J2200/40		119
A61J2200/42	9	Heating means	CPCONLY	A61J2200/42		1983
A61J2200/44	9	Cooling means	CPCONLY	A61J2200/44		407
A61J2200/50	8	Insulating means	CPCONLY	A61J2200/50		73
A61J2200/60	8	biodegradable	CPCONLY	A61J2200/60		44
A61J2200/70	8	Device provided with specific sensor or indicating means	CPCONLY	A61J2200/70		1399
A61J2200/72	9	for temperature	CPCONLY	A61J2200/72		940
A61J2200/74	9	for weight	CPCONLY	A61J2200/74		505
A61J2200/76	9	for fluid level	CPCONLY	A61J2200/76		599
A61J2205/00	7	General identification or selection means	CPCONLY	A61J2205/00		192
A61J2205/10	8	Bar codes	CPCONLY	A61J2205/10		517
A61J2205/20	8	Colour codes	CPCONLY	A61J2205/20		584
A61J2205/30	8	Printed labels	CPCONLY	A61J2205/30		772
A61J2205/40	8	by shape or form, e.g. by using shape recognition	CPCONLY	A61J2205/40		182
A61J2205/50	8	using icons or symbolic figures, e.g. by a graphical representation symbolising the type of pathology or the organ by an image	CPCONLY	A61J2205/50		239
A61J2205/60	8	using magnetic or electronic identifications, e.g. chips, RFID, electronic tags	CPCONLY	A61J2205/60		700
A61J2205/70	8	Audible labels, e.g. for pre-recorded info or messages	CPCONLY	A61J2205/70		426
