B07C5/366	11	{during free fall of the articles}	B07C5/36	B07C5/36		455
B07C5/367	10	{using a plurality of separation means}	B07C5/36	B07C5/36		233
B07C5/368	11	{actuated independently}	B07C5/36	B07C5/36		265
B07C5/38	9	Collecting or arranging articles in groups	B07C5/38	B07C5/38		6526
B07C7/00	7	Sorting by hand only {e.g. of mail}	B07C7/00	B07C7/00		244
B07C7/005	8	{Computer assisted manual sorting, e.g. for mail}	B07C7/00	B07C7/00		244
B07C7/02	8	Compartmented furniture, e.g. pigeon-holes ({B07C7/005 takes precedence; furniture per seA47B}; storage racks B65G)	B07C7/02	B07C7/02		283
B07C7/04	8	Apparatus or accessories for hand picking	B07C7/04	B07C7/04		460
B07C99/00	7	Subject matter not provided for in other groups of this subclass	B07C99/00	B07C99/00		118
B07C2201/00	7	Measures preceding sorting according to destination	CPCONLY	B07C2201/00		3
B07C2201/003	8	Cancellation, e.g. stamps by stamping, printing	CPCONLY	B07C2201/003		3
B07C2201/006	8	Hazardous Substances, e.g. checking for contamination, explosives, anthrax	CPCONLY	B07C2201/006		17
B07C2301/00	7	Sorting according to destination	CPCONLY	B07C2301/00		12
B07C2301/0008	8	Electronic Devices, e.g. keyboard, displays	CPCONLY	B07C2301/0008		464
B07C2301/0016	8	RFID-tags	CPCONLY	B07C2301/0016		101
B07C2301/0025	8	Recipient identification providing a unique ID for a mail recipient	CPCONLY	B07C2301/0025		13
B07C2301/0033	8	Returning of unsold articles, e.g. magazines	CPCONLY	B07C2301/0033		2
B07C2301/0041	8	Sequencing items to a carrier walk sequence or delivery order	CPCONLY	B07C2301/0041		10
B07C2301/005	8	Redirection or forwarding of mail pieces	CPCONLY	B07C2301/005		12
B07C2301/0058	8	Verification for the correct postage amount	CPCONLY	B07C2301/0058		5
B07C2301/0066	8	Check for destination address in a database or list	CPCONLY	B07C2301/0066		33
B07C2301/0075	8	Packaging or wrapping of sorted mail pieces	CPCONLY	B07C2301/0075		6
B07C2301/0083	8	Merging of mail pieces of different categories, e.g. letters with flats	CPCONLY	B07C2301/0083		13
B07C2301/0091	8	Creating a signature of fingerprint based on graphic appearance of the mail piece, e.g. to avoid barcode printing	CPCONLY	B07C2301/0091		2
B07C2501/00	7	Sorting according to a characteristic or feature of the articles or material to be sorted	CPCONLY	B07C2501/00		41
B07C2501/0009	8	Sorting of fasteners, e.g. screws, nuts, bolts	CPCONLY	B07C2501/0009		201
B07C2501/0018	8	Sorting the articles during free fall	CPCONLY	B07C2501/0018		120
B07C2501/0027	8	Sorting the articles according to a sound	CPCONLY	B07C2501/0027		17
B07C2501/0036	8	Sorting out metallic particles	CPCONLY	B07C2501/0036		247
B07C2501/0045	8	Return vending of articles, e.g. bottles	CPCONLY	B07C2501/0045		44
B07C2501/0054	8	Sorting of waste or refuse	CPCONLY	B07C2501/0054		893
B07C2501/0063	8	Using robots	CPCONLY	B07C2501/0063		1865
B07C2501/0072	8	Sorting of glass	CPCONLY	B07C2501/0072		137
B07C2501/0081	8	Sorting of food items	CPCONLY	B07C2501/0081		826
B07C2501/009	8	Sorting of fruit	CPCONLY	B07C2501/009		942
