E21D9/1093	9	{Devices for supporting, advancing or orientating the machine or the tool-carrier (measuring devices for guiding machines E21D9/003; anchoring in the borehole E21B4/18)}	E21D9/10	E21D9/10		1070
E21D9/11	9	with a rotary drilling-head cutting simultaneously the whole cross-section, i.e. full-face machines	E21D9/11	E21D9/11		686
E21D9/111	10	{by means of heads or tool-carrying sectors implementing an oscillating rotary motion}	E21D9/11	E21D9/11		18
E21D9/112	10	{by means of one single rotary head or of concentric rotary heads (E21D9/111 takes precedence)}	E21D9/11	E21D9/11		300
E21D9/113	11	{having a central part for making a pilot tunnel and a follow-up part for enlarging the pilot tunnel (E21D9/115 takes precedence; similar apparatus for enlarging drilled boreholes E21B7/28)}	E21D9/11	E21D9/11		56
E21D9/115	11	{with cutting tools mounted pivotably or slidable on the head}	E21D9/11	E21D9/11		63
E21D9/116	10	{by means of non-concentric rotary heads (E21D9/111 takes precedence)}	E21D9/11	E21D9/11		131
E21D9/117	11	{mounted for orientating or sideways shifting relative to the frame}	E21D9/11	E21D9/11		34
E21D9/118	11	{with independently driven central head}	E21D9/11	E21D9/11		18
E21D9/12	8	Devices for removing or hauling away excavated material or spoil; Working or loading platforms (underground transport E21F13/00)	E21D9/12	E21D9/12		2098
E21D9/122	9	{Working or loading platforms (underground transport E21F13/00)}	E21D9/12	E21D9/12		506
E21D9/124	9	{Helical conveying means therefor (E21D9/13 takes precedence)}	E21D9/12	E21D9/12		679
E21D9/126	9	{Loading devices or installations (loading platforms E21D9/122; soil-shifting machines E02F3/00)}	E21D9/12	E21D9/12		534
E21D9/128	10	{Loader-conveyors with gathering arms}	E21D9/12	E21D9/12		302
E21D9/13	9	using hydraulic or pneumatic conveying means	E21D9/13	E21D9/13		358
E21D9/14	8	Layout of tunnels or galleries; Constructional features of tunnels or galleries, not otherwise provided for, e.g. portals, day-light attenuation at tunnel openings	E21D9/14	E21D9/14		2555
E21D11/00	7	Lining tunnels, galleries or other underground cavities, e.g. large underground chambers; Linings therefor; Making such linings in situ, e.g. by assembling (E21D15/00&#160;-&#160;E21D23/00 take precedence; specially for shafts E21D5/00; {driving shields in combination with means for lining the tunnel E21D9/06}; lining pressure water galleries, linings therefor E02B9/06)	E21D11/00	E21D11/00		1959
E21D11/003	8	{Linings or provisions thereon, specially adapted for traffic tunnels, e.g. with built-in cleaning devices (E21D11/38 takes precedence)}	E21D11/00	E21D11/00		1388
E21D11/006	8	{Lining anchored in the rock (setting anchoring-bolts E21D20/00; anchoring-bolts E21D21/00)}	E21D11/00	E21D11/00		746
E21D11/02	8	Lining predominantly with wood	E21D11/02	E21D11/02		61
E21D11/03	9	using timber- setting machines	E21D11/03	E21D11/03		39
E21D11/04	8	Lining with building materials (E21D11/02, E21D11/14 take precedence {; compositions of mortars, concrete or like building materials C04B; placing filling-up materials in underground workings E21F15/00})	E21D11/04	E21D11/04		417
E21D11/05	9	using compressible insertions	E21D11/05	E21D11/05		223
E21D11/06	9	with bricks	E21D11/06	E21D11/06		71
E21D11/07	10	using brick- laying machines {(brick-laying machines per seE04G21/22)}	E21D11/07	E21D11/07		40
E21D11/08	9	with preformed concrete slabs {(backfilling the space between the slabs and the rock E21D11/105)}	E21D11/08	E21D11/08		3213
E21D11/083	10	{Methods or devices for joining adjacent concrete segments}	E21D11/08	E21D11/08		1280
E21D11/086	10	{Methods of making concrete lining segments}	E21D11/08	E21D11/08		280
E21D11/10	9	with concrete cast in situ; Shuttering {also lost shutterings, e.g. made of blocks, of metal plates} or other equipment adapted therefor	E21D11/10	E21D11/10		7904
E21D11/102	10	{Removable shuttering; Bearing or supporting devices therefor}	E21D11/10	E21D11/10		1907
E21D11/105	10	{Transport or application of concrete specially adapted for the lining of tunnels or galleries (in building E04F21/08, E04G21/02); Backfilling the space between main building element and the surrounding rock, e.g. with concrete}	E21D11/10	E21D11/10		5136
E21D11/107	10	{Reinforcing elements therefor; Holders for the reinforcing elements}	E21D11/10	E21D11/10		1619
E21D11/12	9	Temporary supports for use during building {(removable shutterings E21D11/102)}; Accessories {(provisional protective covers E21D19/04)}	E21D11/12	E21D11/12		308
E21D11/14	8	Lining predominantly with metal {(backfilling the space between the lining elements and the rock E21D11/105)}	E21D11/14	E21D11/14		1222
E21D11/15	9	Plate linings; Laggings, i.e. linings designed for holding back formation material or for transmitting the load to main supporting members (insulation E21D11/38)	E21D11/15	E21D11/15		729
