F16K3/24	9	with cylindrical valve members	F16K3/24	F16K3/24		1155
F16K3/243	10	{Packings (F16K3/246 takes precedence)}	F16K3/24	F16K3/24		550
F16K3/246	10	{Combination of a sliding valve and a lift valve}	F16K3/24	F16K3/24		572
F16K3/26	10	with fluid passages in the valve member	F16K3/26	F16K3/26		1220
F16K3/262	11	{with a transverse bore in the valve member}	F16K3/26	F16K3/26		483
F16K3/265	11	{with a sleeve sliding in the direction of the flow line}	F16K3/26	F16K3/26		408
F16K3/267	11	{Combination of a sliding valve and a lift valve (F16K3/262, F16K3/265 take precedence)}	F16K3/26	F16K3/26		300
F16K3/28	8	with resilient valve members	F16K3/28	F16K3/28		488
F16K3/30	8	Details	F16K3/30	F16K3/30		2910
F16K3/312	9	Line blinds	F16K3/312	F16K3/312		384
F16K3/314	9	Forms or constructions of slides; Attachment of the slide to the spindle	F16K3/314	F16K3/314		4799
F16K3/316	9	Guiding of the slide	F16K3/316	F16K3/316		827
F16K3/3165	10	{with rollers or balls}	F16K3/316	F16K3/316		149
F16K3/32	9	Means for additional adjustment of the rate of flow	F16K3/32	F16K3/32		577
F16K3/34	9	Arrangements for modifying the way in which the rate of flow varies during the actuation of the valve	F16K3/34	F16K3/34		633
F16K3/36	9	Features relating to lubrication	F16K3/36	F16K3/36		407
F16K5/00	7	{Plug valves;} Taps or cocks comprising only cut-off apparatus having at least one of the sealing faces shaped as a more or less complete surface of a solid of revolution, the opening and closing movement being predominantly rotary (taps of the lift-valve type F16K1/00)	F16K5/00	F16K5/00		377
F16K5/02	8	with plugs having conical surfaces; Packings therefor	F16K5/02	F16K5/02		368
F16K5/0207	9	{with special plug arrangement, e.g. special shape or built in means}	F16K5/02	F16K5/02		427
F16K5/0214	9	{Plug channel at 90 degrees to the inlet}	F16K5/02	F16K5/02		268
F16K5/0221	9	{Fixed plug and turning sleeve}	F16K5/02	F16K5/02		23
F16K5/0228	9	{with a conical segment mounted around a supply pipe}	F16K5/02	F16K5/02		4
F16K5/0235	9	{with the angle the spindle makes housing being other than 90 degrees}	F16K5/02	F16K5/02		21
F16K5/0242	9	{Spindles and actuating means}	F16K5/02	F16K5/02		220
F16K5/025	9	{Particular coverings or materials}	F16K5/02	F16K5/02		186
F16K5/0257	9	{Packings}	F16K5/02	F16K5/02		34
F16K5/0264	10	{in the housing}	F16K5/02	F16K5/02		61
F16K5/0271	10	{between housing and plug}	F16K5/02	F16K5/02		203
F16K5/0278	10	{on the plug}	F16K5/02	F16K5/02		97
F16K5/0285	10	{spindle sealing}	F16K5/02	F16K5/02		139
F16K5/0292	9	{Easy mounting or dismounting means}	F16K5/02	F16K5/02		108
F16K5/04	8	with plugs having cylindrical surfaces; Packings therefor	F16K5/04	F16K5/04		582
F16K5/0407	9	{with particular plug arrangements, e.g. particular shape or built-in means}	F16K5/04	F16K5/04		937
F16K5/0414	9	{Plug channel at 90 degrees to the inlet}	F16K5/04	F16K5/04		417
F16K5/0421	9	{Fixed plug and turning sleeve}	F16K5/04	F16K5/04		73
F16K5/0428	9	{with a cylindrical segment mounted around a supply pipe}	F16K5/04	F16K5/04		29
F16K5/0435	9	{the angle the spindle makes with the housing being other than 90 degrees}	F16K5/04	F16K5/04		27
F16K5/0442	9	{Spindles and actuating means}	F16K5/04	F16K5/04		379
F16K5/045	9	{Particular coverings and materials}	F16K5/04	F16K5/04		128
F16K5/0457	9	{Packings}	F16K5/04	F16K5/04		117
F16K5/0464	10	{in the housing}	F16K5/04	F16K5/04		250
F16K5/0471	10	{between housing and plug}	F16K5/04	F16K5/04		395
F16K5/0478	10	{on the plug}	F16K5/04	F16K5/04		348
F16K5/0485	10	{Spindle sealing}	F16K5/04	F16K5/04		111
F16K5/0492	9	{Easy mounting or dismounting means}	F16K5/04	F16K5/04		152
F16K5/06	8	with plugs having spherical surfaces; Packings therefor	F16K5/06	F16K5/06		2667
F16K5/0605	9	{with particular plug arrangements, e.g. particular shape or built-in means}	F16K5/06	F16K5/06		2329
F16K5/061	9	{knee-joint}	F16K5/06	F16K5/06		219
F16K5/0615	9	{the angle the spindle makes with the housing being other than 90 degrees}	F16K5/06	F16K5/06		47
F16K5/0621	9	{with a spherical segment mounted around a supply pipe}	F16K5/06	F16K5/06		83
F16K5/0626	9	{Easy mounting or dismounting means}	F16K5/06	F16K5/06		459
F16K5/0631	10	{between two flanges}	F16K5/06	F16K5/06		227
F16K5/0636	10	{the spherical plug being insertable from the top of the housing}	F16K5/06	F16K5/06		324
F16K5/0642	10	{the spherical plug being insertable from one and only one side of the housing}	F16K5/06	F16K5/06		337
F16K5/0647	9	{Spindles or actuating means}	F16K5/06	F16K5/06		2013
F16K5/0652	10	{for remote operation}	F16K5/06	F16K5/06		95
F16K5/0657	9	{Particular coverings or materials}	F16K5/06	F16K5/06		429
F16K5/0663	9	{Packings}	F16K5/06	F16K5/06		754
F16K5/0668	10	{Single packings}	F16K5/06	F16K5/06		452
F16K5/0673	10	{Composite packings}	F16K5/06	F16K5/06		718
F16K5/0678	11	{in which only one of the components of the composite packing is contacting the plug}	F16K5/06	F16K5/06		247
F16K5/0684	10	{on the plug}	F16K5/06	F16K5/06		161
F16K5/0689	10	{between housing and plug}	F16K5/06	F16K5/06		1293
F16K5/0694	10	{Spindle sealings}	F16K5/06	F16K5/06		883
F16K5/08	8	Details	F16K5/08	F16K5/08		3586
F16K5/10	9	Means for additional adjustment of the rate of flow	F16K5/10	F16K5/10		811
F16K5/103	10	{specially adapted for gas valves}	F16K5/10	F16K5/10		224
F16K5/106	11	{with pilot flame}	F16K5/10	F16K5/10		202
F16K5/12	9	Arrangements for modifying the way in which the rate of flow varies during the actuation of the valve	F16K5/12	F16K5/12		655
