G08B13/1663	10	{using seismic sensing means}	G08B13/16	G08B13/16		180
G08B13/1672	10	{using sonic detecting means, e.g. a microphone operating in the audio frequency range}	G08B13/16	G08B13/16		1026
G08B13/1681	10	{using infrasonic detecting means, e.g. a microphone operating below the audible frequency range}	G08B13/16	G08B13/16		155
G08B13/169	10	{using cable transducer means}	G08B13/16	G08B13/16		75
G08B13/18	8	Actuation by interference with heat, light, or radiation of shorter wavelength; Actuation by intruding sources of heat, light, or radiation of shorter wavelength	G08B13/18	G08B13/18		614
G08B13/181	9	using active radiation detection systems	G08B13/181	G08B13/181		623
G08B13/183	10	by interruption of a radiation beam or barrier	G08B13/183	G08B13/183		886
G08B13/184	11	using radiation reflectors	G08B13/184	G08B13/184		302
G08B13/186	11	using light guides, e.g. optical fibres	G08B13/186	G08B13/186		448
G08B13/187	10	by interference of a radiation field	G08B13/187	G08B13/187		265
G08B13/189	9	using passive radiation detection systems	G08B13/189	G08B13/189		245
G08B13/1895	10	{using light change detection systems (G08B13/194 takes precedence)}	G08B13/189	G08B13/189		196
G08B13/19	10	using infrared-radiation detection systems {(G08B13/194 takes precedence)}	G08B13/19	G08B13/19		2143
G08B13/191	11	using pyroelectric sensor means	G08B13/191	G08B13/191		618
G08B13/193	11	using focusing means	G08B13/193	G08B13/193		525
G08B13/194	10	using image scanning and comparing systems	G08B13/194	G08B13/194		289
G08B13/196	11	using television cameras	G08B13/196	G08B13/196		3606
G08B13/19602	12	{Image analysis to detect motion of the intruder, e.g. by frame subtraction}	G08B13/196	G08B13/196		1970
G08B13/19604	13	{involving reference image or background adaptation with time to compensate for changing conditions, e.g. reference image update on detection of light level change}	G08B13/196	G08B13/196		325
G08B13/19606	13	{Discriminating between target movement or movement in an area of interest and other non-signicative movements, e.g. target movements induced by camera shake or movements of pets, falling leaves, rotating fan}	G08B13/196	G08B13/196		371
G08B13/19608	13	{Tracking movement of a target, e.g. by detecting an object predefined as a target, using target direction and or velocity to predict its new position}	G08B13/196	G08B13/196		1266
G08B13/1961	13	{Movement detection not involving frame subtraction, e.g. motion detection on the basis of luminance changes in the image}	G08B13/196	G08B13/196		231
G08B13/19613	13	{Recognition of a predetermined image pattern or behaviour pattern indicating theft or intrusion}	G08B13/196	G08B13/196		1571
G08B13/19615	14	{wherein said pattern is defined by the user}	G08B13/196	G08B13/196		221
G08B13/19617	12	{Surveillance camera constructional details}	G08B13/196	G08B13/196		280
G08B13/19619	13	{Details of casing}	G08B13/196	G08B13/196		944
G08B13/19621	13	{Portable camera}	G08B13/196	G08B13/196		311
G08B13/19623	13	{Arrangements allowing camera linear motion, e.g. camera moving along a rail cable or track}	G08B13/196	G08B13/196		114
G08B13/19626	13	{optical details, e.g. lenses, mirrors or multiple lenses}	G08B13/196	G08B13/196		249
G08B13/19628	14	{of wide angled cameras and camera groups, e.g. omni-directional cameras, fish eye, single units having multiple cameras achieving a wide angle view}	G08B13/196	G08B13/196		205
G08B13/1963	13	{Arrangements allowing camera rotation to change view, e.g. pivoting camera, pan-tilt and zoom [PTZ]}	G08B13/196	G08B13/196		954
G08B13/19632	13	{Camera support structures, e.g. attachment means, poles}	G08B13/196	G08B13/196		735
G08B13/19634	12	{Electrical details of the system, e.g. component blocks for carrying out specific functions}	G08B13/196	G08B13/196		429
G08B13/19636	13	{pertaining to the camera}	G08B13/196	G08B13/196		190
G08B13/19639	12	{Details of the system layout}	G08B13/196	G08B13/196		86
G08B13/19641	13	{Multiple cameras having overlapping views on a single scene}	G08B13/196	G08B13/196		508
G08B13/19643	14	{wherein the cameras play different roles, e.g. different resolution, different camera type, master-slave camera}	G08B13/196	G08B13/196		248
G08B13/19645	13	{Multiple cameras, each having view on one of a plurality of scenes, e.g. multiple cameras for multi-room surveillance or for tracking an object by view hand-over}	G08B13/196	G08B13/196		1178
G08B13/19647	13	{Systems specially adapted for intrusion detection in or around a vehicle}	G08B13/196	G08B13/196		670
G08B13/1965	14	{the vehicle being an aircraft}	G08B13/196	G08B13/196		259
G08B13/19652	13	{Systems using zones in a single scene defined for different treatment, e.g. outer zone gives pre-alarm, inner zone gives alarm}	G08B13/196	G08B13/196		293
G08B13/19654	12	{Details concerning communication with a camera}	G08B13/196	G08B13/196		263
G08B13/19656	13	{Network used to communicate with a camera, e.g. WAN, LAN, Internet}	G08B13/196	G08B13/196		1145
G08B13/19658	13	{Telephone systems used to communicate with a camera, e.g. PSTN, GSM, POTS}	G08B13/196	G08B13/196		371
G08B13/1966	13	{Wireless systems, other than telephone systems, used to communicate with a camera}	G08B13/196	G08B13/196		618
G08B13/19663	12	{Surveillance related processing done local to the camera}	G08B13/196	G08B13/196		300
G08B13/19665	12	{Details related to the storage of video surveillance data (television signal recording H04N5/76)}	G08B13/196	G08B13/196		231
G08B13/19667	13	{Details realated to data compression, encryption or encoding, e.g. resolution modes for reducing data volume to lower transmission bandwidth or memory requirements}	G08B13/196	G08B13/196		394
G08B13/19669	13	{Event triggers storage or change of storage policy}	G08B13/196	G08B13/196		656
G08B13/19671	13	{Addition of non-video data, i.e. metadata, to video stream}	G08B13/196	G08B13/196		384
G08B13/19673	14	{Addition of time stamp, i.e. time metadata, to video stream}	G08B13/196	G08B13/196		363
G08B13/19676	13	{Temporary storage, e.g. cyclic memory, buffer storage on pre-alarm}	G08B13/196	G08B13/196		219
G08B13/19678	12	{User interface}	G08B13/196	G08B13/196		81
G08B13/1968	13	{Interfaces for setting up or customising the system}	G08B13/196	G08B13/196		325
G08B13/19682	13	{Graphic User Interface [GUI] presenting system data to the user, e.g. information on a screen helping a user interacting with an alarm system}	G08B13/196	G08B13/196		683
G08B13/19684	13	{Portable terminal, e.g. mobile phone, used for viewing video remotely}	G08B13/196	G08B13/196		615
G08B13/19686	13	{Interfaces masking personal details for privacy, e.g. blurring faces, vehicle license plates}	G08B13/196	G08B13/196		293
G08B13/19689	13	{Remote control of cameras, e.g. remote orientation or image zooming control for a PTZ camera}	G08B13/196	G08B13/196		340
G08B13/19691	13	{Signalling events for better perception by user, e.g. indicating alarms by making display brighter, adding text, creating a sound}	G08B13/196	G08B13/196		353
G08B13/19693	14	{using multiple video sources viewed on a single or compound screen}	G08B13/196	G08B13/196		292
G08B13/19695	12	{Arrangements wherein non-video detectors start video recording or forwarding but do not generate an alarm themselves}	G08B13/196	G08B13/196		1233
G08B13/19697	12	{Arrangements wherein non-video detectors generate an alarm themselves}	G08B13/196	G08B13/196		754
G08B13/20	8	Actuation by change of fluid pressure	G08B13/20	G08B13/20		292
G08B13/22	8	Electrical actuation	G08B13/22	G08B13/22		2147
G08B13/24	9	by interference with electromagnetic field distribution	G08B13/24	G08B13/24		603
G08B13/2402	10	{Electronic Article Surveillance [EAS], i.e. systems using tags for detecting removal of a tagged item from a secure area, e.g. tags for detecting shoplifting (mechanical aspects of the tags, e.g. related to locking E05B73/0017; RFID readers G06K7/00; RFID tags G06K19/00; access control systems G07C9/00; anti-theft control in point of sale systems G07G3/003; security seals G09F3/03)}	G08B13/24	G08B13/24		468
