B41J2/1433	12	{Structure of nozzle plates}	B41J2/14	B41J2/14		2002
B41J2002/14338	12	{Multiple pressure elements per ink chamber}	B41J2/14	B41J2/14		156
B41J2002/14346	12	{Ejection by pressure produced by thermal deformation of ink chamber, e.g. buckling}	B41J2/14	B41J2/14		158
B41J2002/14354	12	{Sensor in each pressure chamber}	B41J2/14	B41J2/14		433
B41J2002/14362	12	{Assembling elements of heads}	B41J2/14	B41J2/14		1344
B41J2002/1437	12	{Back shooter}	B41J2/14	B41J2/14		269
B41J2002/14379	12	{Edge shooter}	B41J2/14	B41J2/14		572
B41J2002/14387	12	{Front shooter}	B41J2/14	B41J2/14		891
B41J2002/14395	12	{Electrowetting}	B41J2/14	B41J2/14		64
B41J2002/14403	12	{including a filter}	B41J2/14	B41J2/14		789
B41J2002/14411	12	{Groove in the nozzle plate}	B41J2/14	B41J2/14		340
B41J2002/14419	12	{Manifold}	B41J2/14	B41J2/14		2001
B41J2/14427	12	{Structure of ink jet print heads with thermal bend detached actuators}	B41J2/14	B41J2/14		521
B41J2002/14435	13	{Moving nozzle made of thermal bend detached actuator}	B41J2/14	B41J2/14		223
B41J2002/14443	13	{Nozzle guard}	B41J2/14	B41J2/14		69
B41J2/14451	12	{Structure of ink jet print heads discharging by lowering surface tension of meniscus}	B41J2/14	B41J2/14		86
B41J2002/14459	12	{Matrix arrangement of the pressure chambers}	B41J2/14	B41J2/14		1079
B41J2002/14467	12	{Multiple feed channels per ink chamber}	B41J2/14	B41J2/14		308
B41J2002/14475	12	{characterised by nozzle shapes or number of orifices per chamber}	B41J2/14	B41J2/14		815
B41J2002/14483	12	{Separated pressure chamber}	B41J2/14	B41J2/14		63
B41J2002/14491	12	{Electrical connection}	B41J2/14	B41J2/14		2641
B41J2/145	11	Arrangement thereof	B41J2/145	B41J2/145		1188
B41J2/15	12	for serial printing	B41J2/15	B41J2/15		573
B41J2/155	12	for line printing	B41J2/155	B41J2/155		1881
B41J2/16	11	Production of nozzles	B41J2/16	B41J2/16		855
B41J2/1601	12	{Production of bubble jet print heads (B41J2/1606, B41J2/162 take precedence)}	B41J2/16	B41J2/16		550
B41J2/1603	13	{of the front shooter type}	B41J2/16	B41J2/16		1641
B41J2/1604	13	{of the edge shooter type}	B41J2/16	B41J2/16		561
B41J2/1606	12	{Coating the nozzle area or the ink chamber}	B41J2/16	B41J2/16		856
B41J2/1607	12	{Production of print heads with piezoelectric elements (B41J2/1606, B41J2/162 take precedence)}	B41J2/16	B41J2/16		430
B41J2/1609	13	{of finger type, chamber walls consisting integrally of piezoelectric material}	B41J2/16	B41J2/16		490
B41J2/161	13	{of film type, deformed by bending and disposed on a diaphragm}	B41J2/16	B41J2/16		1623
B41J2/1612	13	{of stacked structure type, deformed by compression/extension and disposed on a diaphragm}	B41J2/16	B41J2/16		270
B41J2/1614	13	{of cantilever type}	B41J2/16	B41J2/16		30
B41J2/1615	13	{of tubular type}	B41J2/16	B41J2/16		56
B41J2/1617	13	{of disc type}	B41J2/16	B41J2/16		52
B41J2/1618	13	{Fixing the piezoelectric elements}	B41J2/16	B41J2/16		104
B41J2/162	12	{Manufacturing of the nozzle plates}	B41J2/16	B41J2/16		1164
B41J2/1621	12	{Manufacturing processes}	B41J2/16	B41J2/16		138
B41J2/1623	13	{bonding and adhesion}	B41J2/16	B41J2/16		3392
B41J2/1625	13	{electroforming}	B41J2/16	B41J2/16		278
B41J2/1626	13	{etching}	B41J2/16	B41J2/16		1445
B41J2/1628	14	{dry etching}	B41J2/16	B41J2/16		2238
B41J2/1629	14	{wet etching}	B41J2/16	B41J2/16		1961
B41J2/1631	13	{photolithography}	B41J2/16	B41J2/16		3253
B41J2/1632	13	{machining}	B41J2/16	B41J2/16		2144
B41J2/1634	14	{laser machining}	B41J2/16	B41J2/16		1080
B41J2/1635	13	{dividing the wafer into individual chips}	B41J2/16	B41J2/16		769
B41J2/1637	13	{molding}	B41J2/16	B41J2/16		678
B41J2/1639	14	{sacrificial molding}	B41J2/16	B41J2/16		1064
B41J2/164	13	{thin film formation}	B41J2/16	B41J2/16		425
B41J2/1642	14	{thin film formation by CVD [chemical vapor deposition]}	B41J2/16	B41J2/16		1995
B41J2/1643	14	{thin film formation by plating}	B41J2/16	B41J2/16		1061
B41J2/1645	14	{thin film formation by spincoating}	B41J2/16	B41J2/16		1501
B41J2/1646	14	{thin film formation by sputtering}	B41J2/16	B41J2/16		1967
B41J2/1648	12	{Production of print heads with thermal bend detached actuators}	B41J2/16	B41J2/16		367
B41J2/165	11	Prevention {or detection} of nozzle clogging, e.g. cleaning, capping or moistening for nozzles	B41J2/165	B41J2/165		1568
B41J2/16502	12	{Printhead constructions to prevent nozzle clogging or facilitate nozzle cleaning}	B41J2/165	B41J2/165		332
B41J2/16505	12	{Caps, spittoons or covers for cleaning or preventing drying out}<br><br><u>WARNING</u><br>Group B41J2/16505 is impacted by reclassification into groups B41J2/16507 and B41J2/16508.<br>Groups B41J2/16505, B41J2/16507 and B41J2/16508 should be considered in order to perform a complete search.	B41J2/165	B41J2/165		228
B41J2/16507	13	{integral with the printhead}<br><br><u>WARNING</u><br>Group B41J2/16507 is incomplete pending reclassification of documents from group B41J2/16505. <br>Groups B41J2/16505 and B41J2/16507 should be considered in order to perform a complete search.	B41J2/165	B41J2/165		97
B41J2/16508	13	{connected with the printer frame}<br><br><u>WARNING</u><br>Group B41J2/16508 is incomplete pending reclassification of documents from group B41J2/16505. <br>Groups B41J2/16505 and B41J2/16508 should be considered in order to perform a complete search.	B41J2/165	B41J2/165		2557
B41J2/16511	14	{Constructions for cap positioning (B41J2/16547 takes precedence)}	B41J2/165	B41J2/165		693
B41J2/16514	15	{creating a distance between cap and printhead, e.g. for suction or pressurising}	B41J2/165	B41J2/165		103
B41J2/16517	12	{Cleaning of print head nozzles (B41J2/16505, B41J2/1707 take precedence)}	B41J2/165	B41J2/165		1089
B41J2/1652	13	{by driving a fluid through the nozzles to the outside thereof, e.g. by applying pressure to the inside or vacuum at the outside of the print head}	B41J2/165	B41J2/165		751
B41J2/16523	14	{Waste ink transport from caps or spittoons, e.g. by suction (Collecting or collectors of waste ink B41J2/1721)}<br><br><u>WARNING</u><br>Group B41J2/16523 is impacted by reclassification into group B41J2/1721.<br>Groups B41J2/16523 and B41J2/1721 should be considered in order to perform a complete search.	B41J2/165	B41J2/165		860
B41J2/16526	14	{by applying pressure only}	B41J2/165	B41J2/165		1253
B41J2/16529	15	{Idle discharge on printing matter}	B41J2/165	B41J2/165		110
B41J2/16532	14	{by applying vacuum only}	B41J2/165	B41J2/165		754
B41J2/16535	13	{using wiping constructions (B41J2/16552 takes precedence)}	B41J2/165	B41J2/165		1272
B41J2/16538	14	{with brushes or wiper blades perpendicular to the nozzle plate}	B41J2/165	B41J2/165		1080
B41J2/16541	14	{Means to remove deposits from wipers or scrapers}	B41J2/165	B41J2/165		418
B41J2/16544	14	{Constructions for the positioning of wipers}	B41J2/165	B41J2/165		578
B41J2/16547	15	{the wipers and caps or spittoons being on the same movable support}	B41J2/165	B41J2/165		600
B41J2002/1655	14	{with wiping surface parallel with nozzle plate and mounted on reels, e.g. cleaning ribbon cassettes}	B41J2/165	B41J2/165		344
B41J2/16552	13	{using cleaning fluids}	B41J2/165	B41J2/165		1526
B41J2002/16555	14	{Air or gas for cleaning}	B41J2/165	B41J2/165		132
B41J2002/16558	14	{Using cleaning liquid for wet wiping}	B41J2/165	B41J2/165		336
B41J2002/16561	13	{by an electrical field}	B41J2/165	B41J2/165		15
B41J2002/16564	13	{Heating means therefor, e.g. for hot melt inks}	B41J2/165	B41J2/165		62
B41J2002/16567	13	{using ultrasonic or vibrating means}	B41J2/165	B41J2/165		133
B41J2002/1657	13	{Cleaning of only nozzles or print head parts being selected}	B41J2/165	B41J2/165		155
B41J2002/16573	13	{Cleaning process logic, e.g. for determining type or order of cleaning processes}	B41J2/165	B41J2/165		459
B41J2002/16576	13	{Cleaning means pushed or actuated by print head movement}	B41J2/165	B41J2/165		75
B41J2/16579	12	{Detection means therefor, e.g. for nozzle clogging}	B41J2/165	B41J2/165		1044
B41J2002/16582	12	{Maintenance means fixed on the print head or its carriage}	B41J2/165	B41J2/165		81
B41J2/16585	12	{for paper-width or non-reciprocating print heads}	B41J2/165	B41J2/165		1603
B41J2/16588	13	{Print heads movable towards the cleaning unit}	B41J2/165	B41J2/165		320
B41J2002/16591	13	{for line print heads above an endless belt}	B41J2/165	B41J2/165		149
B41J2002/16594	12	{Pumps or valves for cleaning}	B41J2/165	B41J2/165		142
B41J2002/16597	13	{Pumps for idle discharge of liquid through nozzles}	B41J2/165	B41J2/165		20
B41J2/17	10	characterised by ink handling {(cleaning by driving a fluid through the nozzles to the outside thereof B41J2/1652; for treating before, during or after printing or for uniform coating or laminating the copy material before or after printing B41J11/0015)}	B41J2/17	B41J2/17		656
B41J2/1707	11	{Conditioning of the inside of ink supply circuits, e.g. flushing during start-up or shut-down}	B41J2/17	B41J2/17		482
