G07B2017/00379	10	{Calculation of different sending options for a mail piece}	G07B17/00	G07B17/00		102
G07B2017/00387	10	{Currency calculation, e.g. from DEM to EUR}	G07B17/00	G07B17/00		9
G07B2017/00395	10	{Memory organization}	G07B17/00	G07B17/00		149
G07B2017/00403	11	{Memory zones protected from unauthorized reading or writing}	G07B17/00	G07B17/00		61
G07B2017/00411	11	{Redundant storage, e.g. back-up of registers}	G07B17/00	G07B17/00		48
G07B2017/00419	10	{Software organization, e.g. separation into objects}	G07B17/00	G07B17/00		52
G07B2017/00427	10	{Special accounting procedures, e.g. storing special information}	G07B17/00	G07B17/00		206
G07B17/00435	9	{Details specific to central, non-customer apparatus, e.g. servers at post office or vendor}	G07B17/00	G07B17/00		398
G07B2017/00443	10	{Verification of mailpieces, e.g. by checking databases}	G07B17/00	G07B17/00		299
G07B2017/00451	10	{Address hygiene, i.e. checking and correcting addresses to be printed on mail pieces using address databases}	G07B17/00	G07B17/00		63
G07B17/00459	8	{Details relating to mailpieces in a franking system}	G07B17/00	G07B17/00		19
G07B17/00467	9	{Transporting mailpieces (postal sorting B07C)}	G07B17/00	G07B17/00		706
G07B2017/00475	10	{Sorting mailpieces}	G07B17/00	G07B17/00		109
G07B2017/00483	10	{Batch processing of mailpieces}	G07B17/00	G07B17/00		174
G07B2017/00491	10	{Mail/envelope/insert handling system}	G07B17/00	G07B17/00		279
G07B2017/005	10	{Measures for preventing or handling mailpieces stoppages}	G07B17/00	G07B17/00		21
G07B17/00508	9	{Printing or attaching on mailpieces (printing mechanisms B41J; security printing B41M3/14; marking methods B41M5/00; inks C09D11/00; record carriers with at least a part designed to carry digital markings G06K19/00)}	G07B17/00	G07B17/00		1455
G07B2017/00516	10	{Details of printing apparatus}	G07B17/00	G07B17/00		61
G07B2017/00524	11	{Printheads}	G07B17/00	G07B17/00		36
G07B2017/00532	12	{Inkjet}	G07B17/00	G07B17/00		161
G07B2017/0054	12	{Thermal printhead}	G07B17/00	G07B17/00		60
G07B2017/00548	12	{Mechanical printhead}	G07B17/00	G07B17/00		402
G07B2017/00556	11	{Ensuring quality of print}	G07B17/00	G07B17/00		105
G07B2017/00564	12	{Ensuring correct position of print on mailpiece}	G07B17/00	G07B17/00		64
G07B2017/00572	10	{Details of printed item}	G07B17/00	G07B17/00		69
G07B2017/0058	11	{Printing of code}	G07B17/00	G07B17/00		229
G07B2017/00588	12	{Barcode}	G07B17/00	G07B17/00		247
G07B2017/00596	11	{Printing of address}	G07B17/00	G07B17/00		148
G07B2017/00604	11	{Printing of advert or logo}	G07B17/00	G07B17/00		116
G07B2017/00612	10	{Attaching item on mailpiece}	G07B17/00	G07B17/00		10
G07B2017/0062	11	{Label}	G07B17/00	G07B17/00		284
G07B2017/00629	11	{Circuit, e.g. transponder}	G07B17/00	G07B17/00		98
G07B2017/00637	10	{Special printing techniques, e.g. interlacing}	G07B17/00	G07B17/00		91
G07B2017/00645	11	{Separating print into fixed and variable parts}	G07B17/00	G07B17/00		40
G07B2017/00653	10	{Special inks, e.g. fluorescent}	G07B17/00	G07B17/00		57
G07B17/00661	9	{Sensing or measuring mailpieces (weighing G01G19/00)}	G07B17/00	G07B17/00		617
G07B2017/00669	10	{Sensing the position of mailpieces}	G07B17/00	G07B17/00		90
G07B2017/00677	11	{Keeping track of mailpieces inside apparatus}	G07B17/00	G07B17/00		52
G07B2017/00685	10	{Measuring the dimensions of mailpieces}	G07B17/00	G07B17/00		203
G07B2017/00693	10	{Measuring the speed of mailpieces inside apparatus}	G07B17/00	G07B17/00		34
G07B2017/00701	10	{Measuring the weight of mailpieces}	G07B17/00	G07B17/00		386
